time,frequency,confidence
0.000,584.023,0.038776
0.010,658.128,0.061528
0.020,623.592,0.088011
0.030,99.374,0.123106
0.040,100.324,0.165664
0.050,32.893,0.153875
0.060,99.320,0.061546
0.070,634.069,0.112318
0.080,32.500,0.124301
0.090,32.728,0.137909
0.100,32.762,0.192969
0.110,32.687,0.081669
0.120,33.027,0.276363
0.130,34.232,0.254965
0.140,79.856,0.069934
0.150,623.109,0.081656
0.160,624.791,0.064139
0.170,1018.272,0.043384
0.180,971.069,0.068313
0.190,646.350,0.074397
0.200,641.889,0.110959
0.210,94.101,0.065172
0.220,582.735,0.067467
0.230,33.123,0.072004
0.240,33.102,0.158246
0.250,34.896,0.776775
0.260,34.138,0.114331
0.270,82.348,0.140905
0.280,98.333,0.063390
0.290,99.324,0.061917
0.300,32.113,0.054197
0.310,633.344,0.110084
0.320,635.630,0.108075
0.330,32.496,0.165026
0.340,32.639,0.290715
0.350,32.782,0.293423
0.360,32.583,0.171897
0.370,32.787,0.213263
0.380,34.333,0.120205
0.390,178.038,0.020191
0.400,627.986,0.095118
0.410,99.980,0.107504
0.420,32.638,0.094612
0.430,32.159,0.159730
0.440,31.986,0.117528
0.450,32.197,0.189515
0.460,33.857,0.708220
0.470,33.027,0.622808
0.480,33.056,0.167402
0.490,32.794,0.083930
0.500,35.509,0.192805
0.510,98.231,0.116407
0.520,95.800,0.072733
0.530,85.758,0.081664
0.540,99.751,0.075985
0.550,32.662,0.101244
0.560,34.221,0.126084
0.570,34.807,0.760217
0.580,34.227,0.687121
0.590,34.303,0.394411
0.600,97.888,0.123047
0.610,96.748,0.188932
0.620,97.708,0.155141
0.630,32.519,0.067899
0.640,32.219,0.012360
0.650,533.333,0.134317
0.660,259.130,0.523472
0.670,260.286,0.864528
0.680,261.177,0.895307
0.690,261.221,0.918011
0.700,261.648,0.944066
0.710,261.157,0.931242
0.720,261.080,0.927007
0.730,261.069,0.928896
0.740,261.648,0.949347
0.750,261.678,0.949065
0.760,261.714,0.946599
0.770,261.711,0.954849
0.780,261.665,0.948171
0.790,261.624,0.950296
0.800,261.839,0.955491
0.810,262.000,0.959609
0.820,261.745,0.956294
0.830,261.967,0.959297
0.840,261.832,0.950731
0.850,261.782,0.944643
0.860,261.640,0.947596
0.870,261.526,0.943466
0.880,261.515,0.944449
0.890,261.870,0.953059
0.900,261.759,0.949614
0.910,261.645,0.942983
0.920,261.665,0.955400
0.930,261.734,0.956221
0.940,261.710,0.952182
0.950,261.580,0.953719
0.960,261.703,0.956659
0.970,261.685,0.951352
0.980,261.784,0.957399
0.990,261.739,0.943877
1.000,261.698,0.937823
1.010,261.672,0.942307
1.020,261.902,0.948605
1.030,261.624,0.933161
1.040,261.554,0.929464
1.050,261.292,0.926082
1.060,261.490,0.937075
1.070,261.413,0.946049
1.080,261.380,0.948792
1.090,261.546,0.956029
1.100,261.384,0.936435
1.110,261.873,0.953708
1.120,261.971,0.957007
1.130,261.561,0.934119
1.140,261.536,0.942093
1.150,262.003,0.933118
1.160,261.549,0.905788
1.170,261.798,0.909189
1.180,261.788,0.911328
1.190,261.616,0.844307
1.200,262.416,0.799982
1.210,263.648,0.732154
1.220,265.300,0.376903
1.230,290.069,0.330624
1.240,294.443,0.770200
1.250,294.268,0.870855
1.260,293.797,0.886950
1.270,294.527,0.858525
1.280,295.784,0.829836
1.290,295.236,0.823737
1.300,295.618,0.900373
1.310,295.060,0.929423
1.320,295.009,0.932576
1.330,295.241,0.932481
1.340,294.769,0.933476
1.350,294.597,0.908153
1.360,294.331,0.921278
1.370,294.401,0.929956
1.380,294.466,0.924806
1.390,294.374,0.929557
1.400,294.146,0.932721
1.410,294.013,0.928753
1.420,294.085,0.930933
1.430,294.131,0.902721
1.440,294.447,0.901295
1.450,294.346,0.893976
1.460,294.268,0.889392
1.470,294.180,0.888937
1.480,294.061,0.872324
1.490,294.216,0.895287
1.500,294.167,0.909861
1.510,294.224,0.911052
1.520,294.128,0.919884
1.530,294.144,0.938596
1.540,294.055,0.922383
1.550,294.472,0.886652
1.560,294.020,0.871571
1.570,294.011,0.840529
1.580,294.069,0.828984
1.590,294.449,0.849339
1.600,294.500,0.815176
1.610,294.131,0.875337
