time,frequency,confidence
0.000,580.880,0.070853
0.010,32.858,0.027953
0.020,140.085,0.017572
0.030,32.850,0.213532
0.040,34.572,0.400242
0.050,933.061,0.080410
0.060,1023.001,0.072425
0.070,1016.743,0.091747
0.080,985.955,0.059727
0.090,661.397,0.048459
0.100,175.576,0.099277
0.110,35.029,0.102365
0.120,35.822,0.168728
0.130,34.927,0.148246
0.140,128.247,0.051431
0.150,129.779,0.119812
0.160,32.654,0.336221
0.170,32.735,0.083249
0.180,252.600,0.037596
0.190,100.409,0.093327
0.200,1019.828,0.031600
0.210,1018.837,0.035717
0.220,83.730,0.041066
0.230,645.839,0.058723
0.240,32.878,0.157275
0.250,32.959,0.257757
0.260,33.087,0.102668
0.270,32.579,0.101189
0.280,32.598,0.364539
0.290,32.782,0.660879
0.300,32.874,0.551848
0.310,32.399,0.271255
0.320,32.441,0.156240
0.330,32.625,0.543090
0.340,32.782,0.632806
0.350,32.912,0.281165
0.360,32.736,0.159569
0.370,32.303,0.179060
0.380,94.112,0.080335
0.390,97.626,0.040149
0.400,32.629,0.031056
0.410,32.432,0.070622
0.420,32.595,0.445253
0.430,33.180,0.462835
0.440,34.147,0.388159
0.450,34.217,0.168250
0.460,33.443,0.230973
0.470,34.175,0.595993
0.480,32.621,0.035016
0.490,634.232,0.041565
0.500,634.888,0.055283
0.510,647.286,0.070217
0.520,32.714,0.081047
0.530,32.624,0.067910
0.540,168.978,0.051205
0.550,34.320,0.399824
0.560,34.402,0.326052
0.570,32.289,0.036855
0.580,658.688,0.125661
0.590,658.830,0.080488
0.600,203.898,0.016742
0.610,35.667,0.034990
0.620,37.793,0.272185
0.630,36.763,0.550738
0.640,34.687,0.411838
0.650,33.205,0.625430
0.660,32.528,0.347736
0.670,32.323,0.159415
0.680,32.558,0.317367
0.690,33.619,0.288905
0.700,33.993,0.412529
0.710,33.000,0.284597
0.720,31.997,0.243171
0.730,32.054,0.042148
0.740,32.079,0.037667
0.750,32.209,0.031356
0.760,32.155,0.051815
0.770,32.387,0.021111
0.780,33.115,0.040116
0.790,34.028,0.173128
0.800,34.346,0.356538
0.810,34.413,0.091216
0.820,32.263,0.089441
0.830,32.644,0.198124
0.840,32.833,0.456312
0.850,33.137,0.436156
0.860,32.527,0.233419
0.870,32.520,0.214883
0.880,32.437,0.216925
0.890,32.409,0.035257
0.900,32.663,0.039190
0.910,32.286,0.085005
0.920,32.255,0.225229
0.930,32.681,0.754513
0.940,32.798,0.675824
0.950,34.815,0.339017
0.960,36.127,0.106123
0.970,34.899,0.155909
0.980,33.153,0.058689
0.990,85.037,0.088275
1.000,85.589,0.074547
1.010,100.442,0.048252
1.020,32.208,0.041300
1.030,32.121,0.061461
1.040,32.254,0.283043
1.050,32.183,0.149503
1.060,32.261,0.053376
1.070,32.169,0.034345
1.080,32.250,0.033487
1.090,1042.565,0.257769
1.100,1046.039,0.267519
1.110,1041.365,0.462048
1.120,1042.371,0.584420
1.130,1042.036,0.561294
1.140,1040.693,0.552089
1.150,1042.623,0.662724
1.160,1042.662,0.615981
1.170,1042.099,0.758805
1.180,1041.099,0.645586
1.190,1045.967,0.656409
1.200,1048.902,0.666821
1.210,1046.594,0.467343
1.220,1044.595,0.300126
1.230,1040.410,0.581008
1.240,1039.847,0.678666
1.250,1041.720,0.574584
1.260,1046.589,0.781936
1.270,1045.615,0.847474
1.280,1043.842,0.651814
1.290,1044.921,0.630215
1.300,1044.995,0.730687
1.310,1049.298,0.446665
1.320,1049.508,0.317965
1.330,1042.684,0.482205
1.340,35.086,0.198437
1.350,34.215,0.440142
1.360,32.808,0.278429
1.370,32.817,0.230792
1.380,34.256,0.311002
1.390,1044.132,0.491866
1.400,1039.164,0.626875
1.410,1043.616,0.546931
1.420,1044.586,0.384285
1.430,32.663,0.345533
1.440,32.572,0.518628
1.450,34.236,0.225211
1.460,34.386,0.565222
1.470,33.146,0.390945
1.480,32.391,0.181455
1.490,32.503,0.105662
1.500,32.216,0.126371
1.510,32.218,0.168355
1.520,32.660,0.133728
1.530,32.212,0.111431
1.540,32.166,0.070590
1.550,32.272,0.217809
1.560,33.067,0.502676
1.570,34.314,0.570511
1.580,34.393,0.552369
1.590,35.190,0.394794
1.600,32.439,0.148506
1.610,32.260,0.082814
1.620,32.498,0.066109
1.630,32.279,0.225972
1.640,32.291,0.222227
1.650,32.782,0.547052
1.660,33.056,0.657994
1.670,34.553,0.275891
1.680,35.393,0.233815
1.690,35.822,0.301612
1.700,36.135,0.357499
1.710,36.376,0.173634
1.720,36.678,0.064825
1.730,35.956,0.181692
1.740,35.654,0.742233
1.750,35.452,0.735440
1.760,33.974,0.386643
1.770,32.268,0.262667
1.780,32.339,0.453740
1.790,32.477,0.233206
1.800,32.404,0.450167
1.810,32.541,0.715926
1.820,34.220,0.220184
1.830,34.063,0.510414
1.840,33.169,0.507223
1.850,32.516,0.425917
1.860,32.381,0.487173
1.870,32.203,0.528119
1.880,32.139,0.297992
1.890,32.272,0.178601
1.900,32.243,0.180276
1.910,32.119,0.236466
1.920,32.279,0.147248
1.930,34.670,0.673348
1.940,34.076,0.535027
1.950,34.000,0.254875
1.960,1047.607,0.334157
1.970,1047.917,0.185525
1.980,34.956,0.246468
1.990,32.346,0.141657
2.000,32.468,0.110449
2.010,32.269,0.028083
2.020,1124.433,0.015408
2.030,786.721,0.122083
2.040,779.124,0.504603
2.050,778.688,0.811361
2.060,780.495,0.832671
2.070,784.155,0.611194
2.080,785.302,0.609595
2.090,783.654,0.792915
2.100,785.118,0.653280
2.110,785.710,0.774716
2.120,784.889,0.842737
2.130,782.642,0.873917
2.140,782.235,0.859830
2.150,783.138,0.898862
2.160,783.259,0.904262
2.170,784.269,0.850720
2.180,782.520,0.810621
2.190,782.278,0.690485
2.200,783.037,0.789733
2.210,783.299,0.853225
2.220,784.365,0.864618
2.230,783.636,0.858227
2.240,784.279,0.862750
2.250,784.304,0.841136
2.260,783.013,0.805457
2.270,782.975,0.874882
2.280,783.720,0.840313
