time,frequency,confidence
0.000,1979.000,0.026797
0.010,1974.442,0.013975
0.020,1051.019,0.012641
0.030,545.124,0.074891
0.040,551.727,0.227739
0.050,218.286,0.186899
0.060,220.214,0.530948
0.070,219.661,0.609252
0.080,218.731,0.624140
0.090,218.199,0.674415
0.100,108.676,0.701039
0.110,108.420,0.729720
0.120,108.225,0.751925
0.130,108.023,0.795666
0.140,108.085,0.827988
0.150,108.121,0.813596
0.160,108.130,0.811257
0.170,108.017,0.828578
0.180,107.885,0.841935
0.190,107.936,0.834779
0.200,107.776,0.819638
0.210,107.651,0.817209
0.220,107.740,0.791314
0.230,107.695,0.774239
0.240,107.697,0.819978
0.250,107.705,0.862332
0.260,107.842,0.875806
0.270,107.784,0.878884
0.280,107.913,0.883806
0.290,108.035,0.880840
0.300,108.133,0.883875
0.310,108.238,0.894693
0.320,108.319,0.899899
0.330,108.304,0.903584
0.340,108.510,0.909549
0.350,108.514,0.906945
0.360,108.524,0.903772
0.370,108.551,0.907770
0.380,108.671,0.911850
0.390,108.650,0.904398
0.400,108.638,0.909078
0.410,108.496,0.900148
0.420,108.484,0.904104
0.430,108.452,0.899102
0.440,108.291,0.893819
0.450,108.473,0.901643
0.460,108.448,0.896563
0.470,108.444,0.901639
0.480,108.495,0.901094
0.490,108.538,0.903263
0.500,108.575,0.907973
0.510,108.395,0.884644
0.520,108.356,0.870107
0.530,108.608,0.888879
0.540,108.745,0.905736
0.550,108.627,0.881640
0.560,108.665,0.892598
0.570,108.620,0.891935
0.580,108.582,0.904932
0.590,108.482,0.895897
0.600,108.517,0.905734
0.610,108.641,0.915538
0.620,108.595,0.909779
0.630,108.568,0.893942
0.640,108.593,0.880203
0.650,108.604,0.880315
0.660,108.331,0.873469
0.670,108.156,0.887071
0.680,108.229,0.890479
0.690,108.284,0.888001
0.700,108.318,0.892601
0.710,108.224,0.886093
0.720,108.317,0.890226
0.730,108.446,0.903261
0.740,108.611,0.909635
0.750,108.555,0.897118
0.760,108.567,0.880715
0.770,108.269,0.851644
0.780,107.822,0.831192
0.790,107.460,0.781314
0.800,107.556,0.738096
0.810,107.660,0.698777
0.820,107.917,0.718364
0.830,107.905,0.714848
0.840,107.766,0.574352
0.850,107.365,0.366097
0.860,107.383,0.406614
0.870,107.328,0.419953
0.880,107.655,0.525325
0.890,107.867,0.657758
0.900,107.919,0.807658
0.910,108.301,0.862094
0.920,108.520,0.893486
0.930,108.514,0.903028
0.940,108.446,0.896058
0.950,108.333,0.886194
0.960,108.362,0.869329
0.970,108.535,0.878737
0.980,108.590,0.871868
0.990,108.429,0.845042
1.000,108.278,0.830212
1.010,108.276,0.829364
1.020,108.097,0.868669
1.030,107.929,0.869952
1.040,107.986,0.877840
1.050,108.127,0.881319
1.060,108.170,0.884517
1.070,108.140,0.897427
1.080,108.282,0.886243
1.090,108.393,0.886474
1.100,108.123,0.894502
1.110,107.922,0.892014
1.120,107.887,0.869280
1.130,107.854,0.853988
1.140,107.885,0.865797
1.150,107.977,0.860913
1.160,108.079,0.866243
1.170,108.106,0.831275
1.180,107.987,0.789752
1.190,107.952,0.761861
1.200,108.291,0.737045
1.210,108.362,0.729227
1.220,107.999,0.749836
1.230,108.070,0.796488
1.240,107.946,0.847775
1.250,108.096,0.860840
1.260,108.180,0.883007
1.270,108.115,0.864550
1.280,108.092,0.813958
1.290,108.091,0.779963
1.300,108.102,0.774732
1.310,107.872,0.743131
1.320,107.918,0.714694
