time,frequency,confidence
0.000,696.674,0.083414
0.010,640.415,0.104264
0.020,588.761,0.157139
0.030,588.097,0.184284
0.040,585.576,0.150385
0.050,550.149,0.134314
0.060,266.062,0.295508
0.070,259.779,0.483421
0.080,262.566,0.651154
0.090,262.019,0.818041
0.100,262.151,0.877717
0.110,262.863,0.930798
0.120,262.639,0.942239
0.130,262.671,0.950659
0.140,262.490,0.950915
0.150,262.230,0.951439
0.160,262.076,0.952572
0.170,262.284,0.951926
0.180,262.125,0.950384
0.190,262.263,0.951812
0.200,261.841,0.947128
0.210,261.966,0.947679
0.220,262.104,0.943511
0.230,262.293,0.949906
0.240,262.231,0.948127
0.250,262.146,0.952818
0.260,261.708,0.944844
0.270,262.094,0.954031
0.280,262.064,0.946071
0.290,262.142,0.950445
0.300,261.830,0.946584
0.310,261.733,0.948273
0.320,261.834,0.946723
0.330,262.015,0.944143
0.340,261.938,0.937894
0.350,262.326,0.943095
0.360,261.959,0.944373
0.370,261.927,0.946878
0.380,262.032,0.945966
0.390,262.012,0.944214
0.400,261.861,0.948002
0.410,261.623,0.948369
0.420,261.374,0.943387
0.430,261.697,0.940061
0.440,261.759,0.935874
0.450,262.299,0.938737
0.460,262.258,0.946238
0.470,261.940,0.949939
0.480,261.918,0.951164
0.490,261.879,0.950616
0.500,261.977,0.953130
0.510,261.840,0.958281
0.520,261.599,0.953111
0.530,261.244,0.948584
0.540,261.376,0.946960
0.550,261.369,0.943972
0.560,261.837,0.955232
0.570,261.718,0.953296
0.580,261.586,0.943173
0.590,261.447,0.943609
0.600,261.585,0.948944
0.610,261.796,0.956502
0.620,261.737,0.954878
0.630,261.368,0.948206
0.640,261.387,0.951883
0.650,261.402,0.947110
0.660,261.652,0.954613
0.670,261.712,0.948453
0.680,261.604,0.944605
0.690,261.800,0.946747
0.700,261.774,0.943761
0.710,261.908,0.938846
0.720,262.106,0.950145
0.730,261.851,0.945896
0.740,261.672,0.948678
0.750,261.619,0.951994
0.760,261.457,0.940443
0.770,261.888,0.944716
0.780,261.843,0.937591
0.790,261.797,0.940414
0.800,261.595,0.941096
0.810,261.705,0.944726
0.820,261.820,0.943491
0.830,261.899,0.948473
0.840,261.644,0.929628
0.850,261.817,0.941506
0.860,261.772,0.937041
0.870,261.905,0.944813
0.880,262.107,0.943503
0.890,261.922,0.945468
0.900,261.918,0.946774
0.910,261.586,0.938906
0.920,261.597,0.938100
0.930,261.676,0.936959
0.940,261.772,0.930821
0.950,261.534,0.928680
0.960,261.554,0.938501
0.970,261.244,0.920456
