time,frequency,confidence
0.000,272.027,0.509872
0.010,249.529,0.402369
0.020,247.570,0.618642
0.030,247.168,0.815226
0.040,247.012,0.892994
0.050,246.310,0.896398
0.060,245.731,0.912239
0.070,245.137,0.928387
0.080,245.410,0.931981
0.090,245.416,0.934278
0.100,245.543,0.934978
0.110,245.369,0.934493
0.120,245.241,0.940080
0.130,245.225,0.931348
0.140,245.258,0.940219
0.150,245.009,0.936778
0.160,245.035,0.939179
0.170,245.039,0.946191
0.180,245.054,0.947027
0.190,245.259,0.948150
0.200,245.299,0.943943
0.210,245.683,0.937521
0.220,245.605,0.936447
0.230,245.569,0.939680
0.240,245.447,0.932911
0.250,245.460,0.933910
0.260,245.735,0.926250
0.270,245.532,0.934042
0.280,245.146,0.940007
0.290,244.815,0.937316
0.300,244.680,0.927769
0.310,244.796,0.928326
0.320,245.255,0.928461
0.330,245.628,0.933114
0.340,245.694,0.935382
0.350,245.824,0.928092
0.360,245.956,0.922298
0.370,245.638,0.928395
0.380,245.560,0.930749
0.390,245.681,0.931058
0.400,245.677,0.929896
0.410,245.150,0.936380
0.420,244.438,0.937844
0.430,244.079,0.932753
0.440,244.679,0.953499
0.450,245.042,0.954455
0.460,245.065,0.954474
0.470,245.076,0.949519
0.480,245.276,0.949280
0.490,245.377,0.936159
0.500,245.349,0.927252
0.510,245.319,0.916382
0.520,245.446,0.903148
0.530,245.109,0.857598
0.540,244.216,0.806674
0.550,243.705,0.837251
0.560,244.624,0.786723
0.570,245.777,0.798482
0.580,246.240,0.842744
0.590,246.346,0.867037
0.600,245.714,0.917965
0.610,245.601,0.919401
0.620,245.239,0.914486
0.630,245.523,0.919860
0.640,245.275,0.910319
0.650,244.920,0.895033
0.660,244.497,0.865072
0.670,243.963,0.863809
0.680,245.020,0.878720
0.690,245.669,0.879772
0.700,245.793,0.846476
0.710,245.570,0.838599
0.720,245.488,0.841587
0.730,245.776,0.855550
0.740,246.273,0.842431
0.750,246.466,0.849144
0.760,245.485,0.869319
0.770,244.189,0.812558
0.780,243.697,0.838749
0.790,243.851,0.792799
0.800,245.502,0.731712
0.810,246.010,0.785592
0.820,245.962,0.870625
0.830,245.798,0.906067
0.840,245.686,0.918738
0.850,245.285,0.913913
0.860,245.174,0.910928
0.870,245.351,0.907520
0.880,245.127,0.888281
0.890,244.352,0.811717
0.900,243.709,0.833644
0.910,243.872,0.811769
0.920,244.508,0.701076
0.930,245.265,0.680438
0.940,245.926,0.733675
0.950,246.255,0.818214
0.960,245.741,0.873041
0.970,245.258,0.849417
0.980,245.223,0.837542
0.990,245.556,0.826708
1.000,246.241,0.796617
1.010,246.875,0.788453
1.020,247.127,0.847055
1.030,246.652,0.842482
1.040,245.495,0.847971
1.050,244.364,0.781267
1.060,243.642,0.738095
1.070,243.933,0.620131
1.080,243.959,0.275326
1.090,243.980,0.186061
1.100,243.758,0.146813
1.110,246.593,0.284199
1.120,246.479,0.642756
1.130,246.151,0.808729
1.140,245.379,0.870871
1.150,245.160,0.871117
1.160,245.232,0.842513
1.170,245.653,0.763570
1.180,246.436,0.723567
1.190,246.978,0.772113
1.200,247.096,0.859560
1.210,246.518,0.850705
1.220,245.013,0.871987
1.230,244.417,0.849199
1.240,244.346,0.842303
1.250,245.117,0.831212
1.260,245.611,0.824801
1.270,245.540,0.784952
1.280,245.296,0.745171
1.290,243.760,0.604134
1.300,243.539,0.354484
1.310,244.077,0.112696
1.320,595.982,0.116500
1.330,531.692,0.153420
1.340,83.346,0.191335
1.350,243.208,0.196013
1.360,82.817,0.133593
1.370,245.396,0.248330
1.380,246.321,0.598038
1.390,245.468,0.814529
1.400,244.657,0.803453
1.410,244.356,0.836825
1.420,244.918,0.831622
1.430,244.666,0.778889
1.440,244.536,0.728050
1.450,244.970,0.590282
1.460,244.606,0.650891
1.470,244.420,0.604497
1.480,244.581,0.606662
1.490,246.855,0.670372
1.500,246.805,0.543135
1.510,244.476,0.574341
1.520,243.607,0.506977
1.530,244.321,0.532750
1.540,246.236,0.598438
1.550,245.212,0.761754
1.560,245.066,0.725773
1.570,244.440,0.716547
1.580,244.901,0.672018
1.590,246.235,0.551354
1.600,246.862,0.546908
1.610,247.244,0.637253
1.620,246.522,0.714778
1.630,245.884,0.845299
1.640,244.782,0.866569
1.650,245.058,0.818961
1.660,245.413,0.828434
1.670,245.121,0.756566
1.680,244.051,0.536623
1.690,243.224,0.423367
1.700,243.631,0.147403
1.710,597.037,0.135454
1.720,648.124,0.144303
1.730,248.422,0.303111
1.740,246.479,0.386984
1.750,244.994,0.644942
1.760,244.692,0.680044
1.770,245.292,0.726457
1.780,244.884,0.660955
1.790,244.078,0.655679
1.800,246.328,0.578816
1.810,245.185,0.440612
1.820,243.838,0.401978
1.830,242.164,0.362912
1.840,590.632,0.123519
1.850,592.221,0.156452
1.860,650.313,0.153228
1.870,243.583,0.446318
1.880,243.185,0.573103
1.890,243.006,0.533704
1.900,246.298,0.538227
1.910,245.181,0.325202
1.920,244.153,0.130299
1.930,585.332,0.103019
1.940,594.970,0.160847
1.950,594.556,0.110439
1.960,583.339,0.124180
1.970,583.178,0.133149
1.980,651.365,0.126184
1.990,250.059,0.121875
2.000,244.001,0.276045
2.010,242.676,0.336820
2.020,242.793,0.342222
2.030,247.257,0.141284
2.040,248.006,0.072904
2.050,326.927,0.064752
2.060,655.784,0.066896
2.070,633.687,0.077827
2.080,584.464,0.149120
2.090,585.614,0.171576
2.100,585.708,0.097473
2.110,582.930,0.107709
2.120,581.517,0.141178
2.130,595.625,0.106598
2.140,598.974,0.063094
2.150,327.015,0.023433
2.160,322.323,0.032569
2.170,305.734,0.067790
2.180,335.035,0.076698
2.190,330.606,0.074047
2.200,330.694,0.045609
2.210,331.313,0.038798
2.220,428.282,0.091149
2.230,429.715,0.075650
2.240,247.779,0.193427
2.250,495.978,0.151663
2.260,1976.242,0.161198
2.270,1977.579,0.066742
2.280,1974.835,0.030657
2.290,644.288,0.037102
2.300,705.591,0.114969
2.310,577.142,0.182367
2.320,584.166,0.157056
2.330,584.936,0.141458
2.340,595.052,0.135310
2.350,597.629,0.080323
2.360,603.201,0.044628
2.370,326.302,0.026408
2.380,305.176,0.051618
2.390,304.813,0.041571
2.400,331.179,0.052066
2.410,330.769,0.059512
2.420,416.473,0.109324
2.430,649.961,0.085281
2.440,1960.411,0.018221
2.450,97.682,0.011707
2.460,241.954,0.080107
2.470,241.977,0.075068
2.480,466.799,0.043465
2.490,501.355,0.052026
2.500,658.547,0.063663
2.510,651.045,0.130077
2.520,640.650,0.104812
2.530,582.738,0.190860
2.540,584.260,0.168511
2.550,583.481,0.144123
2.560,595.539,0.126948
2.570,597.585,0.080361
2.580,603.790,0.055229
2.590,602.433,0.037017
2.600,327.437,0.037104
2.610,328.220,0.051007
