time,frequency,confidence
0.000,1976.565,0.023955
0.010,1050.460,0.011309
0.020,539.131,0.117009
0.030,530.197,0.548455
0.040,522.256,0.836785
0.050,520.307,0.895689
0.060,518.691,0.921047
0.070,518.174,0.939594
0.080,519.010,0.945420
0.090,518.719,0.949838
0.100,518.970,0.952949
0.110,519.148,0.948668
0.120,518.907,0.952315
0.130,519.303,0.954481
0.140,519.879,0.954556
0.150,519.366,0.956304
0.160,519.283,0.952283
0.170,519.978,0.944227
0.180,520.120,0.932766
0.190,520.167,0.911227
0.200,520.614,0.911141
0.210,520.626,0.925002
0.220,520.665,0.928583
0.230,520.818,0.934593
0.240,520.335,0.945905
0.250,520.452,0.939307
0.260,519.993,0.939465
0.270,519.770,0.929580
0.280,520.265,0.913089
0.290,520.576,0.932729
0.300,520.493,0.942023
0.310,520.656,0.944389
0.320,520.035,0.951841
0.330,519.105,0.950856
0.340,519.015,0.948531
0.350,519.013,0.953541
0.360,518.610,0.948135
0.370,518.487,0.945190
0.380,517.992,0.948884
0.390,518.122,0.945446
0.400,518.796,0.943219
0.410,518.625,0.946779
0.420,518.377,0.942848
0.430,518.339,0.946220
0.440,519.160,0.943403
0.450,519.840,0.922520
0.460,520.010,0.896925
0.470,520.248,0.881782
0.480,520.888,0.876692
0.490,520.843,0.906466
0.500,520.007,0.924394
0.510,519.813,0.916877
0.520,519.217,0.919491
0.530,519.242,0.923233
0.540,519.390,0.891283
0.550,519.657,0.873799
0.560,520.259,0.876450
0.570,520.756,0.903451
0.580,520.583,0.921514
0.590,519.584,0.917050
0.600,519.437,0.894646
0.610,518.563,0.897031
0.620,517.687,0.890773
0.630,516.819,0.853288
0.640,516.889,0.839124
0.650,518.158,0.779247
0.660,521.003,0.602678
0.670,523.624,0.556576
0.680,524.570,0.586924
0.690,524.189,0.595336
0.700,522.053,0.654920
0.710,519.485,0.627852
0.720,518.710,0.518117
0.730,518.439,0.462422
0.740,517.300,0.598205
0.750,517.447,0.620740
0.760,519.162,0.559034
0.770,519.476,0.659681
0.780,520.491,0.745955
0.790,521.042,0.817161
0.800,521.309,0.815964
0.810,521.369,0.823086
0.820,520.941,0.870048
0.830,520.702,0.893437
0.840,520.136,0.893685
0.850,519.711,0.905157
0.860,520.137,0.863003
0.870,521.540,0.730704
0.880,522.411,0.641510
0.890,521.672,0.689014
0.900,521.259,0.793972
0.910,520.160,0.893376
0.920,519.670,0.887991
0.930,519.358,0.883714
0.940,518.009,0.896120
0.950,517.361,0.895466
0.960,517.506,0.870121
0.970,518.506,0.863110
0.980,519.151,0.851604
0.990,519.389,0.857251
1.000,519.631,0.905785
1.010,520.744,0.877018
1.020,520.998,0.836465
1.030,520.610,0.823970
1.040,520.834,0.845150
1.050,522.401,0.831736
1.060,522.209,0.764938
1.070,522.872,0.682009
1.080,524.738,0.649041
1.090,524.693,0.592660
1.100,525.194,0.527333
1.110,522.917,0.564579
1.120,520.162,0.602408
1.130,518.916,0.587064
1.140,518.550,0.511984
1.150,518.243,0.582158
1.160,518.791,0.566406
1.170,520.988,0.382643
1.180,521.518,0.501004
1.190,521.593,0.695027
1.200,521.057,0.821904
1.210,521.086,0.835801
1.220,520.981,0.822093
1.230,520.761,0.860428
1.240,520.458,0.839085
1.250,520.813,0.755563
1.260,521.587,0.671000
1.270,522.823,0.556089
1.280,523.329,0.584440
1.290,524.101,0.644099
1.300,521.067,0.535124
1.310,518.911,0.290577
1.320,519.332,0.207858
1.330,517.495,0.174102
1.340,514.963,0.179958
1.350,529.988,0.129326
1.360,531.149,0.125934
1.370,527.023,0.143657
1.380,523.592,0.243955
1.390,521.941,0.570675
1.400,523.838,0.674686
1.410,523.587,0.505350
1.420,525.032,0.447581
1.430,523.899,0.323382
1.440,526.752,0.104052
1.450,304.627,0.073782
1.460,305.515,0.147451
1.470,512.070,0.087381
1.480,513.580,0.047394
1.490,514.535,0.091674
1.500,516.141,0.193581
1.510,515.556,0.334910
1.520,512.558,0.448361
1.530,513.249,0.277274
1.540,515.121,0.114079
1.550,516.574,0.108458
1.560,519.131,0.142782
1.570,513.992,0.244189
1.580,510.754,0.406028
1.590,516.917,0.207343
1.600,526.573,0.143553
1.610,532.843,0.169917
1.620,583.345,0.193834
1.630,584.304,0.161808
1.640,525.902,0.171938
1.650,526.167,0.218230
1.660,526.084,0.207468
1.670,526.083,0.165901
1.680,520.101,0.124490
1.690,519.100,0.173174
1.700,519.229,0.237294
1.710,512.615,0.396529
1.720,506.518,0.250073
1.730,511.107,0.162235
1.740,521.803,0.046087
1.750,644.102,0.084555
1.760,581.264,0.156090
1.770,583.573,0.168722
1.780,590.530,0.127160
1.790,596.393,0.094544
1.800,598.657,0.065680
1.810,603.385,0.061680
1.820,579.278,0.075151
1.830,531.101,0.118379
1.840,531.455,0.131089
1.850,583.101,0.192249
1.860,584.174,0.175000
1.870,526.024,0.219726
1.880,522.913,0.206518
1.890,522.491,0.215682
1.900,521.759,0.196046
1.910,519.579,0.162846
1.920,519.894,0.133452
1.930,519.419,0.106943
1.940,508.302,0.111841
1.950,512.303,0.097838
1.960,528.003,0.087668
1.970,528.359,0.089087
1.980,636.321,0.061693
1.990,519.541,0.123520
2.000,524.436,0.128737
2.010,528.127,0.062179
2.020,529.774,0.053488
2.030,303.765,0.062718
2.040,399.822,0.070504
2.050,400.394,0.068359
2.060,415.493,0.066702
2.070,650.483,0.088586
2.080,651.050,0.128639
2.090,583.436,0.144123
2.100,583.871,0.121791
2.110,590.058,0.077491
2.120,596.750,0.069406
2.130,597.108,0.058734
2.140,536.953,0.043778
2.150,407.524,0.043964
2.160,414.785,0.064833
2.170,656.681,0.073228
2.180,647.210,0.143097
2.190,578.618,0.146459
2.200,583.825,0.194945
2.210,584.875,0.144616
2.220,595.513,0.130549
2.230,649.674,0.110694
2.240,597.527,0.079634
2.250,597.935,0.067393
2.260,656.899,0.055756
2.270,657.285,0.054885
2.280,648.132,0.123220
2.290,640.457,0.125213
2.300,582.886,0.203569
2.310,589.457,0.148037
2.320,595.896,0.133381
2.330,597.279,0.065154
2.340,601.353,0.044344
2.350,600.525,0.032480
2.360,303.914,0.051302
2.370,328.567,0.065554
2.380,399.840,0.085287
2.390,330.167,0.081774
2.400,326.939,0.068674
2.410,325.362,0.041540
2.420,532.419,0.054710
2.430,584.197,0.120097
2.440,586.014,0.143778
2.450,595.954,0.131765
2.460,651.024,0.126344
2.470,657.456,0.139595
2.480,635.560,0.060161
2.490,636.502,0.057984
2.500,647.139,0.088392
2.510,595.504,0.084416
2.520,594.571,0.069850
2.530,600.008,0.052411
2.540,304.149,0.042466
2.550,327.716,0.054086
2.560,329.335,0.075848
2.570,399.062,0.106975
2.580,400.094,0.088880
2.590,414.730,0.054093
2.600,648.672,0.131415
2.610,641.268,0.116839
2.620,578.929,0.178349
2.630,584.070,0.143691
2.640,535.793,0.106404
2.650,592.201,0.095447
2.660,593.388,0.121546
2.670,596.276,0.119367
2.680,649.847,0.107008
2.690,651.931,0.149698
2.700,635.046,0.131672
2.710,634.772,0.112937
2.720,584.815,0.198866
2.730,590.373,0.154778
2.740,596.657,0.095425
