time,frequency,confidence
0.000,535.938,0.112561
0.010,525.739,0.438793
0.020,520.295,0.870795
0.030,518.433,0.927644
0.040,517.964,0.943626
0.050,517.956,0.937339
0.060,517.977,0.943604
0.070,518.479,0.943046
0.080,518.822,0.927597
0.090,518.171,0.922212
0.100,518.735,0.921626
0.110,518.739,0.934322
0.120,518.960,0.938596
0.130,519.775,0.922256
0.140,520.737,0.901890
0.150,521.142,0.863088
0.160,521.567,0.845461
0.170,520.630,0.873179
0.180,520.297,0.882753
0.190,520.808,0.902984
0.200,519.942,0.930394
0.210,519.548,0.926905
0.220,518.603,0.924098
0.230,517.227,0.928739
0.240,515.854,0.880903
0.250,516.108,0.854404
0.260,516.650,0.824663
0.270,516.953,0.794383
0.280,517.341,0.757734
0.290,518.176,0.779130
0.300,519.202,0.781548
0.310,520.791,0.718879
0.320,521.582,0.752496
0.330,521.501,0.788779
0.340,521.501,0.810029
0.350,520.798,0.849820
0.360,520.165,0.812024
0.370,519.356,0.679379
0.380,516.672,0.567790
0.390,515.050,0.474810
0.400,513.862,0.467645
0.410,512.955,0.482412
0.420,516.357,0.459583
0.430,520.392,0.284958
0.440,525.782,0.271872
0.450,526.337,0.367177
0.460,526.103,0.421783
0.470,522.153,0.582362
0.480,521.488,0.518234
0.490,520.750,0.485693
0.500,517.972,0.376197
0.510,515.582,0.275777
0.520,517.251,0.376160
0.530,514.014,0.406280
0.540,515.138,0.502710
0.550,519.104,0.331161
0.560,521.318,0.336061
0.570,523.461,0.527606
0.580,524.624,0.596779
0.590,523.177,0.674874
0.600,520.856,0.705774
0.610,519.370,0.645176
0.620,518.459,0.543251
0.630,518.366,0.572407
0.640,517.440,0.638270
0.650,518.470,0.490639
0.660,520.928,0.372760
0.670,523.809,0.415073
0.680,523.952,0.475692
0.690,522.435,0.453470
0.700,522.026,0.541070
0.710,522.112,0.575573
0.720,521.100,0.589992
0.730,520.768,0.528510
0.740,520.906,0.647325
0.750,519.737,0.773004
0.760,519.819,0.726763
0.770,522.220,0.527740
0.780,523.906,0.577652
0.790,523.917,0.565044
0.800,522.050,0.597286
0.810,520.962,0.590301
0.820,518.080,0.488912
0.830,517.201,0.314408
0.840,518.518,0.358244
0.850,517.307,0.491899
0.860,517.798,0.417631
0.870,516.947,0.549933
0.880,516.331,0.710464
0.890,516.194,0.703337
0.900,516.260,0.581759
0.910,518.487,0.497078
0.920,518.861,0.393778
0.930,517.487,0.362943
0.940,515.915,0.487791
0.950,514.013,0.556294
0.960,514.567,0.398070
0.970,515.081,0.374464
0.980,518.735,0.253308
0.990,522.776,0.178362
1.000,522.745,0.254786
1.010,521.525,0.539772
1.020,522.946,0.683495
1.030,521.417,0.672398
1.040,519.051,0.544104
1.050,517.768,0.371078
1.060,514.283,0.465884
1.070,509.459,0.495584
1.080,505.376,0.251153
1.090,512.384,0.175524
1.100,529.882,0.100322
1.110,532.652,0.109912
1.120,579.341,0.156663
1.130,583.320,0.162416
1.140,529.658,0.137713
1.150,525.351,0.173440
1.160,524.991,0.262363
1.170,524.071,0.482550
1.180,521.035,0.702489
1.190,520.515,0.808689
1.200,519.625,0.796583
1.210,517.385,0.748718
1.220,517.251,0.645672
1.230,519.038,0.355268
1.240,522.655,0.223465
1.250,524.662,0.291024
1.260,524.575,0.421575
1.270,525.224,0.390149
1.280,527.294,0.122301
1.290,304.591,0.032375
1.300,304.591,0.071879
1.310,305.441,0.072164
1.320,328.331,0.026531
1.330,429.426,0.050846
1.340,430.224,0.078432
1.350,513.402,0.189799
1.360,513.862,0.399970
1.370,514.515,0.492524
1.380,517.250,0.332372
1.390,521.945,0.229954
1.400,521.379,0.192134
1.410,525.193,0.162412
1.420,528.334,0.071665
1.430,533.329,0.062510
1.440,537.499,0.202882
1.450,533.917,0.169798
1.460,530.386,0.153942
1.470,590.769,0.099052
1.480,597.581,0.076077
1.490,596.984,0.064128
1.500,604.077,0.049857
1.510,623.983,0.051371
