time,frequency,confidence
0.000,1034.451,0.019821
0.010,637.824,0.104463
0.020,633.152,0.114834
0.030,579.755,0.135033
0.040,593.590,0.115308
0.050,593.795,0.122644
0.060,396.251,0.146953
0.070,590.777,0.119816
0.080,589.504,0.099195
0.090,590.233,0.069157
0.100,395.526,0.087709
0.110,587.783,0.149286
0.120,217.790,0.067564
0.130,217.180,0.217477
0.140,217.691,0.392222
0.150,216.666,0.467083
0.160,108.378,0.739597
0.170,108.526,0.794992
0.180,108.553,0.852920
0.190,108.537,0.867956
0.200,108.581,0.886625
0.210,108.688,0.893383
0.220,108.759,0.887636
0.230,108.630,0.852746
0.240,108.446,0.802156
0.250,108.344,0.732382
0.260,107.988,0.668064
0.270,108.158,0.636841
0.280,108.338,0.703731
0.290,107.839,0.739575
0.300,107.597,0.793829
0.310,108.002,0.857843
0.320,108.484,0.879177
0.330,108.597,0.883544
0.340,108.462,0.879565
0.350,108.571,0.880717
0.360,108.707,0.895797
0.370,108.807,0.888547
0.380,108.820,0.868675
0.390,108.701,0.826925
0.400,108.958,0.815102
0.410,108.645,0.823815
0.420,108.392,0.846017
0.430,108.467,0.859578
0.440,108.549,0.868047
0.450,108.480,0.876020
0.460,108.452,0.876318
0.470,108.503,0.875998
0.480,108.550,0.886341
0.490,108.675,0.898630
0.500,108.616,0.895214
0.510,108.521,0.883800
0.520,108.548,0.891845
0.530,108.510,0.885581
0.540,108.455,0.870931
0.550,108.001,0.863225
0.560,107.877,0.857382
0.570,108.189,0.864790
0.580,108.257,0.880018
0.590,108.437,0.893879
0.600,108.446,0.882289
0.610,108.540,0.875472
0.620,108.597,0.872757
0.630,108.629,0.863054
0.640,108.518,0.841855
0.650,108.129,0.757988
0.660,108.097,0.728864
0.670,107.834,0.653182
0.680,107.770,0.550904
0.690,107.658,0.463519
0.700,107.687,0.377044
0.710,108.128,0.369870
0.720,107.719,0.456113
0.730,107.063,0.487902
0.740,106.541,0.369751
0.750,106.225,0.348257
0.760,106.378,0.396589
0.770,107.138,0.530815
0.780,107.933,0.671126
0.790,108.249,0.787183
0.800,108.387,0.856567
0.810,108.228,0.900682
0.820,108.222,0.902489
0.830,108.262,0.897455
0.840,108.332,0.862434
0.850,108.392,0.851945
0.860,108.520,0.856285
0.870,108.591,0.847111
0.880,108.348,0.800313
0.890,108.039,0.824298
0.900,107.944,0.862232
0.910,108.204,0.880589
0.920,108.276,0.882663
0.930,108.439,0.877467
0.940,108.655,0.879405
0.950,108.390,0.839617
0.960,108.064,0.843198
0.970,107.839,0.866696
0.980,107.958,0.878894
0.990,108.035,0.894675
1.000,108.046,0.881609
1.010,107.907,0.868293
1.020,107.823,0.822098
1.030,107.897,0.800614
1.040,107.924,0.810581
1.050,108.232,0.803694
1.060,108.383,0.822996
1.070,108.135,0.758177
1.080,108.313,0.750112
1.090,108.457,0.759335
1.100,108.144,0.746584
1.110,108.027,0.816053
1.120,108.133,0.875708
1.130,108.371,0.876422
1.140,108.447,0.872072
1.150,108.421,0.865529
1.160,108.385,0.848690
1.170,108.492,0.858136
1.180,108.264,0.845939
1.190,108.162,0.870322
1.200,108.213,0.863607
1.210,108.420,0.827176
1.220,108.234,0.807083
1.230,108.294,0.800358
1.240,108.312,0.798971
1.250,108.203,0.814024
1.260,108.073,0.857126
1.270,108.035,0.861549
1.280,108.169,0.805521
1.290,108.269,0.765037
1.300,108.354,0.774674
1.310,108.154,0.756826
1.320,107.896,0.766811
1.330,107.977,0.772091
1.340,108.218,0.785180
1.350,108.375,0.770461
1.360,108.248,0.729372
1.370,107.770,0.709424
1.380,107.464,0.730310
1.390,107.014,0.715592
1.400,106.971,0.707128
1.410,107.124,0.672410
1.420,107.372,0.660865
1.430,107.912,0.691641
1.440,108.171,0.700896
1.450,108.154,0.723808
1.460,108.050,0.694039
1.470,107.920,0.650712
1.480,107.877,0.578213
1.490,107.713,0.516389
1.500,107.764,0.563212
1.510,107.458,0.516921
1.520,107.336,0.575217
1.530,107.486,0.741925
1.540,107.671,0.761613
1.550,107.788,0.781891
1.560,107.844,0.801422
1.570,108.007,0.831425
1.580,108.268,0.811871
1.590,108.347,0.770588
1.600,107.902,0.746585
1.610,107.708,0.688776
1.620,107.859,0.694791
1.630,108.006,0.700677
1.640,108.053,0.737658
1.650,108.116,0.745988
1.660,108.308,0.661129
1.670,108.535,0.561480
1.680,108.536,0.379953
1.690,217.880,0.143605
1.700,216.991,0.143275
1.710,213.994,0.148259
1.720,106.503,0.133046
1.730,106.294,0.113479
1.740,106.307,0.120379
1.750,537.027,0.119378
1.760,106.748,0.125547
1.770,106.836,0.071946
1.780,217.610,0.058610
1.790,107.179,0.078401
1.800,107.230,0.181076
1.810,107.000,0.199606
1.820,106.829,0.205197
1.830,106.952,0.212375
1.840,107.226,0.275595
1.850,108.009,0.334718
1.860,107.427,0.272439
1.870,106.707,0.048033
1.880,322.683,0.053196
1.890,322.747,0.067553
1.900,323.579,0.093790
1.910,327.126,0.125278
1.920,326.169,0.190749
1.930,325.467,0.209560
1.940,214.903,0.092884
1.950,106.825,0.220402
1.960,106.897,0.347206
1.970,107.241,0.504440
1.980,107.955,0.506398
1.990,107.969,0.577249
2.000,108.270,0.592558
2.010,108.389,0.371247
2.020,108.501,0.183592
2.030,107.601,0.303352
2.040,106.774,0.186629
2.050,106.417,0.053267
2.060,106.352,0.055326
2.070,106.677,0.139013
2.080,107.647,0.345447
2.090,108.160,0.490507
