time,frequency,confidence
0.000,1039.140,0.020350
0.010,1981.552,0.053420
0.020,1985.993,0.080117
0.030,1983.578,0.036735
0.040,266.434,0.260384
0.050,256.676,0.452753
0.060,259.073,0.698555
0.070,259.577,0.897617
0.080,260.247,0.932264
0.090,260.504,0.930999
0.100,260.433,0.935376
0.110,260.463,0.934448
0.120,260.453,0.938108
0.130,260.029,0.952842
0.140,259.928,0.954119
0.150,259.864,0.954622
0.160,259.986,0.950751
0.170,260.282,0.947112
0.180,260.174,0.951763
0.190,259.879,0.951631
0.200,259.742,0.954553
0.210,259.592,0.954185
0.220,259.949,0.951066
0.230,260.150,0.953161
0.240,260.177,0.953401
0.250,259.950,0.958276
0.260,259.725,0.960742
0.270,259.747,0.958060
0.280,259.941,0.957302
0.290,260.128,0.947756
0.300,260.130,0.951388
0.310,259.881,0.955510
0.320,259.687,0.958775
0.330,259.571,0.963401
0.340,259.814,0.957822
0.350,259.963,0.953258
0.360,259.868,0.951194
0.370,259.911,0.956159
0.380,259.699,0.961846
0.390,259.657,0.961641
0.400,259.696,0.957591
0.410,259.556,0.954520
0.420,259.771,0.953889
0.430,259.869,0.953458
0.440,259.680,0.947866
0.450,259.638,0.943817
0.460,259.590,0.932052
0.470,260.005,0.922853
0.480,260.077,0.901796
0.490,260.029,0.878129
0.500,260.108,0.828186
0.510,260.358,0.834372
0.520,260.814,0.822024
0.530,260.839,0.826959
0.540,260.512,0.855772
0.550,260.439,0.867594
0.560,260.260,0.899292
0.570,260.095,0.915103
0.580,260.196,0.925960
0.590,260.227,0.924222
0.600,260.090,0.932544
0.610,259.894,0.936106
0.620,259.729,0.936628
0.630,259.724,0.933477
0.640,260.014,0.915644
0.650,260.134,0.901917
0.660,260.597,0.885774
0.670,261.034,0.846936
0.680,261.311,0.784401
0.690,261.686,0.782809
0.700,261.791,0.730268
0.710,261.815,0.665124
0.720,261.567,0.588530
0.730,260.727,0.670808
0.740,258.687,0.695099
0.750,256.615,0.560453
0.760,255.660,0.386425
0.770,257.073,0.481763
0.780,257.583,0.606499
0.790,257.536,0.678449
0.800,257.859,0.811641
0.810,258.862,0.857953
0.820,259.396,0.900493
0.830,259.832,0.922299
0.840,260.201,0.918870
0.850,260.051,0.917965
0.860,260.011,0.915090
0.870,259.881,0.911328
0.880,260.119,0.892056
0.890,260.327,0.827415
0.900,260.617,0.703886
0.910,261.864,0.681263
0.920,262.154,0.669561
0.930,261.538,0.589484
0.940,260.263,0.590768
0.950,259.764,0.775063
0.960,258.781,0.809756
0.970,258.433,0.772492
0.980,258.276,0.790190
0.990,258.565,0.832626
1.000,258.832,0.877854
1.010,259.025,0.898415
1.020,259.534,0.916025
1.030,259.874,0.932138
1.040,259.894,0.934633
1.050,259.686,0.932037
1.060,259.613,0.935167
1.070,260.153,0.931385
1.080,260.531,0.902203
1.090,260.477,0.894297
1.100,260.271,0.876842
1.110,260.207,0.869582
1.120,260.619,0.854303
1.130,260.668,0.844878
1.140,260.457,0.866572
1.150,260.367,0.891740
1.160,259.606,0.910797
1.170,259.379,0.902606
1.180,259.331,0.888287
1.190,259.259,0.888379
1.200,259.659,0.903934
1.210,259.429,0.885122
1.220,259.006,0.866440
1.230,258.969,0.848527
1.240,259.330,0.840975
1.250,259.447,0.822524
1.260,260.093,0.849721
1.270,260.614,0.850893
1.280,261.070,0.800590
1.290,261.177,0.747476
1.300,260.714,0.665803
1.310,260.785,0.633703
1.320,260.878,0.601169
1.330,523.749,0.485167
1.340,524.660,0.463493
1.350,260.463,0.428110
1.360,260.203,0.560116
1.370,259.813,0.738586
1.380,259.151,0.708878
1.390,256.815,0.525599
1.400,255.724,0.372559
1.410,256.094,0.291097
1.420,254.271,0.240852
1.430,255.832,0.116617
1.440,256.527,0.072550
1.450,256.972,0.178952
1.460,258.071,0.533033
1.470,258.812,0.700974
1.480,259.628,0.729544
1.490,259.956,0.613361
1.500,260.686,0.572476
1.510,525.977,0.339743
1.520,525.359,0.311507
1.530,525.123,0.417272
1.540,524.952,0.444415
1.550,525.488,0.413956
1.560,524.279,0.321174
1.570,259.322,0.549858
1.580,259.590,0.775476
1.590,258.860,0.825695
1.600,258.305,0.692966
1.610,257.543,0.529739
1.620,257.388,0.598150
1.630,257.984,0.633189
1.640,256.683,0.649871
1.650,257.049,0.743157
1.660,258.208,0.733196
