time,frequency,confidence
0.000,533.463,0.308188
0.010,519.885,0.521667
0.020,518.172,0.837456
0.030,517.461,0.891537
0.040,517.549,0.920880
0.050,517.535,0.929852
0.060,518.606,0.947979
0.070,519.322,0.946433
0.080,519.091,0.947505
0.090,519.385,0.946368
0.100,519.837,0.939367
0.110,519.720,0.933662
0.120,519.881,0.923297
0.130,520.206,0.924054
0.140,519.470,0.929888
0.150,519.536,0.933878
0.160,520.121,0.942511
0.170,520.285,0.951517
0.180,520.193,0.954757
0.190,519.844,0.957327
0.200,519.099,0.955237
0.210,518.979,0.951764
0.220,518.878,0.951551
0.230,518.781,0.946727
0.240,519.163,0.942952
0.250,518.015,0.939605
0.260,517.592,0.925831
0.270,518.160,0.916530
0.280,518.398,0.908099
0.290,518.220,0.891363
0.300,517.809,0.898568
0.310,517.942,0.918031
0.320,518.384,0.917683
0.330,518.502,0.920196
0.340,518.804,0.919780
0.350,519.229,0.923261
0.360,519.547,0.936978
0.370,519.743,0.938749
0.380,519.892,0.935974
0.390,519.881,0.944335
0.400,519.918,0.940679
0.410,519.926,0.930600
0.420,520.094,0.920173
0.430,520.830,0.880766
0.440,521.767,0.831905
0.450,521.266,0.839031
0.460,520.859,0.845216
0.470,520.920,0.865190
0.480,520.684,0.899377
0.490,519.472,0.879884
0.500,519.409,0.839594
0.510,517.777,0.845944
0.520,516.591,0.845802
0.530,516.839,0.835492
0.540,516.816,0.825372
0.550,516.529,0.832419
0.560,517.594,0.796804
0.570,519.370,0.776664
0.580,520.951,0.743512
0.590,521.259,0.751223
0.600,521.022,0.824637
0.610,520.555,0.876877
0.620,520.428,0.905996
0.630,519.573,0.931887
0.640,518.499,0.934846
0.650,517.432,0.927384
0.660,516.772,0.920935
0.670,517.391,0.907475
0.680,518.149,0.869157
0.690,519.130,0.874544
0.700,519.762,0.863334
0.710,520.031,0.898935
0.720,520.443,0.925589
0.730,521.105,0.912498
0.740,520.899,0.904066
0.750,520.333,0.913543
0.760,521.955,0.880825
0.770,522.006,0.783953
0.780,523.303,0.718838
0.790,523.193,0.605464
0.800,522.587,0.646082
0.810,520.872,0.729872
0.820,519.708,0.801199
