time,frequency,confidence
0.000,1978.986,0.041834
0.010,1070.133,0.025204
0.020,291.795,0.143101
0.030,324.825,0.158198
0.040,324.121,0.190567
0.050,323.570,0.561659
0.060,323.679,0.813536
0.070,325.454,0.883064
0.080,325.924,0.918346
0.090,326.345,0.934910
0.100,326.195,0.940368
0.110,326.137,0.943229
0.120,326.302,0.932050
0.130,326.908,0.923089
0.140,326.895,0.928223
0.150,326.420,0.945625
0.160,325.819,0.942825
0.170,325.356,0.934890
0.180,325.645,0.946391
0.190,325.726,0.949744
0.200,325.542,0.943305
0.210,325.035,0.929231
0.220,325.300,0.930312
0.230,325.781,0.943323
0.240,325.850,0.948821
0.250,325.916,0.946147
0.260,326.098,0.943183
0.270,326.264,0.944501
0.280,325.755,0.927040
0.290,325.165,0.898133
0.300,324.807,0.903316
0.310,325.402,0.917482
0.320,325.868,0.944290
0.330,325.895,0.953440
0.340,325.795,0.952732
0.350,325.832,0.953035
0.360,325.681,0.946960
0.370,325.748,0.944861
0.380,325.594,0.939860
0.390,325.703,0.940779
0.400,325.571,0.938802
0.410,325.744,0.942178
0.420,325.888,0.946619
0.430,326.146,0.947814
0.440,326.123,0.935284
0.450,326.441,0.921106
0.460,326.949,0.907098
0.470,327.313,0.898180
0.480,326.931,0.851110
0.490,325.648,0.777363
0.500,324.687,0.753386
0.510,324.946,0.667446
0.520,326.142,0.454512
0.530,326.464,0.404479
0.540,326.585,0.501394
0.550,327.083,0.668914
0.560,326.700,0.826029
0.570,326.113,0.829614
0.580,325.525,0.764559
0.590,327.501,0.680244
0.600,329.345,0.691406
0.610,328.794,0.697343
0.620,327.148,0.688833
0.630,326.111,0.656748
0.640,325.520,0.563397
0.650,325.030,0.366840
0.660,326.398,0.276337
0.670,327.344,0.502579
0.680,327.201,0.716100
0.690,326.382,0.667228
0.700,326.161,0.524234
0.710,327.778,0.400930
0.720,329.859,0.395312
0.730,328.965,0.499118
0.740,326.978,0.507078
0.750,325.743,0.451358
0.760,324.956,0.333535
0.770,324.773,0.236787
0.780,326.220,0.123468
0.790,326.668,0.257560
0.800,327.361,0.528027
0.810,326.831,0.592422
0.820,326.258,0.473127
0.830,326.766,0.389132
0.840,328.524,0.310957
0.850,328.815,0.315566
0.860,328.073,0.470040
0.870,327.069,0.668530
0.880,326.896,0.618574
0.890,326.395,0.506694
0.900,325.791,0.448936
0.910,326.003,0.391327
0.920,326.474,0.375818
0.930,326.861,0.630942
0.940,326.230,0.861640
0.950,325.890,0.889870
0.960,326.184,0.873143
0.970,327.100,0.843107
0.980,327.522,0.793572
0.990,326.542,0.665350
1.000,325.299,0.249543
1.010,323.869,0.105201
1.020,323.361,0.065879
1.030,536.664,0.043161
1.040,397.792,0.074532
1.050,328.394,0.122139
1.060,329.000,0.297056
1.070,328.213,0.371134
1.080,326.868,0.260564
1.090,326.041,0.238352
1.100,326.532,0.360434
1.110,325.925,0.486733
1.120,325.651,0.456145
1.130,324.338,0.376140
1.140,327.246,0.313537
1.150,329.061,0.341579
1.160,327.877,0.383746
1.170,327.104,0.611883
1.180,327.404,0.805833
1.190,326.846,0.792943
1.200,325.588,0.723709
1.210,325.289,0.560067
1.220,327.531,0.425979
1.230,328.770,0.427296
1.240,327.941,0.437048
1.250,326.559,0.568018
1.260,326.469,0.725782
1.270,325.721,0.746902
1.280,324.669,0.564009
1.290,324.061,0.483610
1.300,326.745,0.434306
1.310,328.831,0.502998
1.320,327.688,0.560551
1.330,327.495,0.641141
1.340,325.845,0.671261
1.350,325.122,0.469683
1.360,325.350,0.362418
1.370,323.671,0.293437
1.380,323.131,0.184521
1.390,582.648,0.094021
1.400,537.429,0.097267
1.410,326.510,0.047298
1.420,325.082,0.132035
1.430,325.107,0.194172
1.440,324.724,0.202103
1.450,329.577,0.280244
1.460,328.426,0.314154
1.470,327.602,0.312460
1.480,326.491,0.163079
1.490,327.109,0.281191
1.500,326.614,0.219668
1.510,324.160,0.108395
1.520,583.421,0.130140
1.530,588.483,0.093049
1.540,327.059,0.051989
1.550,326.942,0.101037
1.560,324.520,0.085322
1.570,324.623,0.083881
1.580,328.598,0.139458
1.590,327.929,0.207955
1.600,325.272,0.124397
1.610,325.121,0.055064
1.620,325.131,0.045684
1.630,325.611,0.048750
1.640,398.456,0.099430
1.650,328.418,0.118801
1.660,327.133,0.117315
1.670,324.034,0.167566
1.680,323.375,0.204537
1.690,323.656,0.167080
1.700,325.482,0.139532
1.710,326.449,0.100187
1.720,330.872,0.077481
1.730,330.723,0.100698
1.740,329.043,0.179482
1.750,327.294,0.355416
1.760,327.201,0.226568
1.770,329.724,0.160308
1.780,328.285,0.247924
1.790,326.909,0.487084
1.800,325.613,0.560773
1.810,325.124,0.482598
1.820,325.374,0.571143
1.830,323.853,0.290661
1.840,323.009,0.116873
1.850,1595.058,0.059882
1.860,580.366,0.072452
1.870,579.101,0.117745
1.880,582.302,0.121300
1.890,535.314,0.117787
1.900,537.275,0.049116
1.910,327.218,0.108245
1.920,326.796,0.132680
1.930,324.233,0.123153
1.940,325.637,0.130240
1.950,330.555,0.142789
1.960,328.516,0.161976
1.970,327.242,0.317812
1.980,322.822,0.276226
1.990,325.331,0.244704
2.000,324.538,0.066712
2.010,537.105,0.060930
2.020,594.421,0.086175
2.030,649.070,0.093044
2.040,328.817,0.156714
2.050,327.890,0.199665
2.060,109.619,0.051275
2.070,329.177,0.253004
2.080,327.470,0.078881
2.090,330.449,0.060724
2.100,332.575,0.138364
2.110,327.357,0.111015
2.120,628.138,0.089544
2.130,538.306,0.054148
2.140,538.168,0.061726
2.150,592.852,0.059321
2.160,396.311,0.088844
2.170,395.696,0.199827
2.180,396.413,0.176375
2.190,397.824,0.110396
2.200,593.831,0.096556
2.210,649.056,0.078758
2.220,328.354,0.089545
2.230,329.009,0.145925
2.240,324.700,0.083011
2.250,324.644,0.147395
2.260,326.719,0.193229
2.270,651.640,0.115133
2.280,651.818,0.064574
2.290,597.145,0.048555
2.300,600.322,0.033617
2.310,323.029,0.035882
2.320,328.018,0.052603
2.330,328.848,0.065801
2.340,329.093,0.090575
2.350,330.247,0.110381
2.360,399.975,0.111381
2.370,326.172,0.085490
2.380,636.369,0.093350
2.390,537.880,0.085125
2.400,584.101,0.121289
2.410,592.044,0.097723
2.420,398.747,0.079383
2.430,593.839,0.111385
2.440,594.915,0.124288
2.450,595.188,0.101029
2.460,777.493,0.073659
2.470,397.260,0.050577
2.480,597.275,0.051913
2.490,600.829,0.049237
2.500,531.577,0.044690
2.510,399.503,0.065839
2.520,399.341,0.087020
2.530,329.902,0.064372
2.540,327.406,0.077075
2.550,328.240,0.078888
2.560,415.438,0.073583
2.570,415.809,0.089591
2.580,648.036,0.132433
2.590,700.836,0.156221
2.600,582.352,0.145892
2.610,536.366,0.147950
2.620,535.646,0.122631
2.630,585.185,0.115313
2.640,594.458,0.139826
2.650,596.881,0.108464
2.660,649.877,0.083331
2.670,596.645,0.070104
2.680,430.601,0.043072
2.690,400.166,0.064725
2.700,413.775,0.048941
2.710,657.144,0.075703
2.720,657.671,0.113135
2.730,582.305,0.116997
2.740,584.218,0.103372
2.750,594.281,0.067050
2.760,596.435,0.066743
2.770,601.716,0.052367
2.780,466.893,0.039409
2.790,327.389,0.056545
2.800,401.110,0.096145
2.810,402.161,0.072110
2.820,647.771,0.087947
2.830,643.133,0.160597
2.840,578.078,0.164341
2.850,583.759,0.164692
2.860,584.478,0.124351
2.870,584.439,0.113344
2.880,594.578,0.127343
2.890,649.986,0.111114
2.900,597.523,0.073781
2.910,601.581,0.047889
2.920,304.594,0.042304
2.930,304.399,0.073402
2.940,333.589,0.058896
2.950,330.414,0.075317
2.960,328.425,0.046950
2.970,328.047,0.048886
2.980,650.316,0.123100
2.990,651.609,0.133087
3.000,652.236,0.100026
3.010,652.043,0.079906
3.020,661.918,0.046733
3.030,1030.999,0.048062
3.040,637.626,0.081941
3.050,635.686,0.134604
3.060,578.977,0.138170
3.070,584.841,0.154072
3.080,592.949,0.114027
3.090,593.942,0.115961
3.100,595.087,0.120199
3.110,591.442,0.096507
3.120,657.819,0.063755
3.130,597.705,0.070461
3.140,601.593,0.036840
3.150,305.205,0.034689
3.160,304.569,0.044788
3.170,333.557,0.057194
3.180,328.742,0.076950
3.190,327.992,0.083944
3.200,327.750,0.052283
3.210,643.412,0.071538
3.220,584.953,0.155939
3.230,585.721,0.126698
3.240,584.006,0.082971
3.250,581.453,0.170374
3.260,584.285,0.168413
3.270,596.956,0.117466
3.280,599.272,0.058459
3.290,602.839,0.036753
3.300,323.018,0.040232
3.310,330.620,0.053027
3.320,329.577,0.062107
3.330,429.291,0.099007
3.340,329.903,0.067131
3.350,332.298,0.069975
3.360,634.084,0.079826
3.370,537.818,0.062033
3.380,580.205,0.092934
3.390,584.731,0.108015
3.400,592.637,0.083918
3.410,593.433,0.086159
3.420,397.665,0.139100
3.430,594.701,0.162334
3.440,589.775,0.131209
3.450,582.518,0.105829
3.460,583.117,0.164871
3.470,645.253,0.131043
3.480,649.174,0.088838
3.490,596.680,0.069732
3.500,597.681,0.056782
3.510,415.392,0.040405
3.520,416.132,0.055649
3.530,648.031,0.110471
3.540,658.431,0.089282
3.550,583.688,0.108391
3.560,590.392,0.087057
3.570,598.701,0.062478
3.580,326.703,0.023104
3.590,323.227,0.034719
3.600,328.293,0.039244
3.610,428.861,0.054025
3.620,428.417,0.091484
3.630,327.896,0.107701
3.640,326.707,0.082562
3.650,643.691,0.098768
3.660,579.577,0.105722
3.670,585.175,0.162406
3.680,586.043,0.116755
3.690,583.361,0.113154
3.700,582.842,0.138535
3.710,595.007,0.128916
3.720,597.616,0.081311
3.730,604.408,0.051145
3.740,603.682,0.035617
3.750,331.165,0.041219
3.760,416.345,0.076164
3.770,647.005,0.097332
3.780,649.958,0.070674
3.790,708.586,0.105686
3.800,578.536,0.101582
3.810,582.419,0.148220
3.820,582.007,0.154097
3.830,583.979,0.114351
3.840,651.682,0.093413
3.850,602.518,0.070327
3.860,602.045,0.027604
3.870,305.598,0.049117
3.880,306.328,0.043774
3.890,331.288,0.035123
3.900,331.811,0.034995
3.910,428.886,0.063239
3.920,429.465,0.177566
3.930,1966.439,0.066548
3.940,1974.342,0.076592
3.950,1978.297,0.087895
3.960,309.930,0.071457
3.970,628.125,0.155393
3.980,631.823,0.046036
3.990,579.871,0.042073
4.000,592.524,0.030975
4.010,394.035,0.015840
4.020,392.796,0.094641
4.030,394.590,0.073914
4.040,393.784,0.052121
4.050,392.087,0.059477
4.060,393.679,0.132033
4.070,392.061,0.236542
4.080,395.063,0.203462
4.090,584.160,0.145058
4.100,594.844,0.140039
4.110,597.851,0.087599
4.120,649.360,0.082124
4.130,656.124,0.081263
4.140,441.095,0.045718
4.150,396.718,0.045421
4.160,305.821,0.056921
4.170,305.005,0.037670
4.180,328.400,0.091101
4.190,1970.748,0.089189
4.200,1972.716,0.082579
4.210,1974.903,0.030521
4.220,649.070,0.084650
4.230,643.748,0.089772
4.240,580.822,0.187718
4.250,589.357,0.126747
4.260,597.031,0.093138
4.270,602.918,0.045925
4.280,326.787,0.027087
4.290,323.432,0.037204
4.300,328.323,0.059595
4.310,411.534,0.069826
4.320,400.187,0.099109
4.330,327.236,0.092753
4.340,324.648,0.056566
4.350,537.528,0.057461
4.360,585.664,0.138156
4.370,586.662,0.149798
4.380,588.858,0.109943
4.390,584.411,0.084275
4.400,652.031,0.107561
4.410,599.071,0.069547
4.420,603.932,0.046335
4.430,603.317,0.040817
4.440,324.762,0.028770
4.450,532.190,0.044833
4.460,643.695,0.086459
4.470,586.079,0.137350
4.480,583.775,0.090249
4.490,581.869,0.074109
4.500,579.548,0.150801
4.510,582.637,0.172511
4.520,589.410,0.153411
4.530,597.230,0.110178
4.540,599.418,0.069053
4.550,655.146,0.075280
4.560,657.340,0.065401
4.570,328.167,0.064655
4.580,1976.809,0.048821
4.590,657.898,0.098371
4.600,634.681,0.097305
4.610,579.467,0.122758
4.620,586.514,0.157818
4.630,594.631,0.151967
4.640,594.875,0.146398
4.650,589.796,0.139733
4.660,588.104,0.061789
4.670,596.980,0.095339
4.680,603.542,0.037921
4.690,322.890,0.031532
4.700,323.500,0.041922
4.710,331.173,0.054590
4.720,416.158,0.077403
4.730,426.517,0.103337
4.740,1968.216,0.026360
4.750,1043.023,0.003899
4.760,1052.793,0.015568
4.770,702.776,0.061052
4.780,574.388,0.119966
4.790,576.654,0.153116
4.800,585.006,0.141279
4.810,596.062,0.087891
4.820,622.207,0.032874
4.830,325.065,0.036691
4.840,325.470,0.042419
4.850,339.798,0.055232
4.860,429.644,0.062119
4.870,430.169,0.160795
4.880,328.157,0.073926
4.890,470.719,0.044012
4.900,406.666,0.065517
4.910,400.158,0.073341
4.920,329.978,0.068296
4.930,327.533,0.063567
4.940,328.588,0.077928
4.950,417.541,0.089947
4.960,646.197,0.106732
4.970,648.433,0.031994
4.980,710.180,0.048950
4.990,575.796,0.126592
5.000,578.338,0.186163
5.010,584.765,0.153697
5.020,592.492,0.099469
5.030,584.358,0.091453
