time,frequency,confidence
0.000,583.432,0.119980
0.010,650.389,0.091081
0.020,597.825,0.062380
0.030,602.361,0.043701
0.040,430.467,0.037021
0.050,328.114,0.066529
0.060,414.284,0.072893
0.070,650.137,0.075590
0.080,647.868,0.149880
0.090,582.917,0.179030
0.100,585.505,0.196503
0.110,243.850,0.093974
0.120,244.475,0.200219
0.130,245.129,0.160714
0.140,244.798,0.111436
0.150,473.476,0.050719
0.160,472.278,0.083441
0.170,483.772,0.127718
0.180,488.144,0.226101
0.190,492.308,0.210411
0.200,495.242,0.224065
0.210,247.401,0.289559
0.220,244.482,0.241808
0.230,537.479,0.079930
0.240,584.416,0.124385
0.250,592.819,0.118972
0.260,529.750,0.112518
0.270,530.133,0.152244
0.280,530.301,0.143573
0.290,529.985,0.131495
0.300,651.875,0.093793
0.310,244.218,0.191076
0.320,244.220,0.361460
0.330,243.939,0.295086
0.340,244.178,0.323706
0.350,247.605,0.320349
0.360,247.296,0.368525
0.370,244.932,0.342476
0.380,243.938,0.406192
0.390,243.989,0.383235
0.400,243.945,0.308547
0.410,243.107,0.337810
0.420,242.804,0.223138
0.430,493.924,0.187849
0.440,495.154,0.177990
0.450,497.356,0.080293
0.460,657.996,0.091125
0.470,636.446,0.121347
0.480,582.912,0.170465
0.490,584.002,0.190094
0.500,584.477,0.156695
0.510,593.858,0.175304
0.520,597.171,0.148295
0.530,649.515,0.133113
0.540,244.021,0.199459
0.550,243.884,0.335148
0.560,243.444,0.386024
0.570,244.116,0.226994
0.580,242.675,0.136051
0.590,584.023,0.170005
0.600,586.211,0.186334
0.610,590.157,0.181231
0.620,650.803,0.176959
0.630,652.827,0.122341
0.640,243.873,0.195474
0.650,243.836,0.123895
0.660,243.300,0.090081
0.670,303.930,0.119128
0.680,304.491,0.067365
0.690,305.277,0.037240
0.700,328.880,0.031064
0.710,331.754,0.044080
0.720,428.253,0.051521
0.730,428.587,0.087849
0.740,428.030,0.144925
0.750,496.486,0.076264
0.760,247.404,0.139242
0.770,244.091,0.220293
0.780,242.667,0.160659
0.790,584.628,0.167347
0.800,584.088,0.206200
0.810,583.567,0.166122
0.820,595.890,0.140528
0.830,648.503,0.076354
0.840,243.726,0.181270
0.850,243.402,0.287013
0.860,242.996,0.240227
0.870,247.328,0.094008
0.880,428.291,0.091766
0.890,1969.435,0.077557
0.900,1971.355,0.062386
0.910,1246.303,0.028476
0.920,637.775,0.153677
0.930,577.599,0.136666
0.940,582.885,0.205149
0.950,584.400,0.155751
0.960,592.888,0.139898
0.970,595.925,0.145063
0.980,597.268,0.084950
0.990,244.084,0.074222
1.000,244.336,0.163977
1.010,243.653,0.123095
1.020,493.902,0.081973
1.030,491.931,0.063858
1.040,428.677,0.059427
1.050,412.814,0.121745
1.060,416.339,0.106003
1.070,646.859,0.077043
1.080,648.167,0.021832
1.090,241.741,0.049144
1.100,241.148,0.158253
1.110,578.228,0.118576
1.120,584.933,0.174979
1.130,594.664,0.143373
1.140,651.033,0.141060
1.150,652.146,0.086944
1.160,608.512,0.049390
1.170,307.964,0.026340
1.180,309.682,0.030887
1.190,323.904,0.037429
1.200,340.397,0.038594
1.210,429.619,0.065073
1.220,429.771,0.134505
1.230,399.346,0.097650
1.240,401.751,0.080824
1.250,414.556,0.056771
1.260,648.035,0.125222
1.270,583.218,0.118616
1.280,582.224,0.214533
1.290,582.947,0.169519
1.300,589.795,0.132347
1.310,597.671,0.092954
1.320,601.955,0.063416
1.330,244.133,0.029829
1.340,305.224,0.039839
1.350,327.524,0.036395
1.360,331.696,0.041032
1.370,428.410,0.077142
1.380,401.188,0.114519
1.390,401.288,0.091750
1.400,649.009,0.086206
1.410,643.880,0.138701
1.420,578.144,0.152364
1.430,583.291,0.199765
1.440,583.594,0.144786
1.450,536.078,0.132461
1.460,593.638,0.136597
1.470,597.043,0.102819
1.480,598.277,0.053005
1.490,599.459,0.057476
1.500,604.602,0.081883
1.510,631.765,0.112139
1.520,631.880,0.091596
1.530,585.764,0.131024
1.540,587.282,0.176228
1.550,591.249,0.135406
1.560,588.957,0.117466
1.570,583.218,0.124565
1.580,595.429,0.131753
1.590,598.827,0.103087
1.600,599.380,0.090012
1.610,597.179,0.071582
1.620,432.364,0.070198
1.630,430.212,0.047432
