time,frequency,confidence
0.000,1978.730,0.024966
0.010,696.921,0.059894
0.020,698.931,0.102586
0.030,263.036,0.142555
0.040,261.264,0.491331
0.050,259.625,0.802543
0.060,258.661,0.818561
0.070,257.437,0.720420
0.080,257.522,0.673887
0.090,257.161,0.620735
0.100,257.353,0.633434
0.110,258.652,0.736529
0.120,258.948,0.836650
0.130,258.980,0.898890
0.140,258.803,0.881193
0.150,257.828,0.752121
0.160,257.789,0.620444
0.170,257.802,0.576310
0.180,258.360,0.686115
0.190,258.336,0.770713
0.200,258.310,0.766217
0.210,258.318,0.608518
0.220,258.740,0.418724
0.230,261.528,0.366596
0.240,264.087,0.454015
0.250,262.927,0.315347
0.260,260.595,0.337581
0.270,257.507,0.411409
0.280,256.513,0.214175
0.290,253.741,0.153659
0.300,254.650,0.235305
0.310,254.934,0.239300
0.320,255.780,0.206263
0.330,256.656,0.235644
0.340,256.874,0.292642
0.350,257.429,0.546464
0.360,258.448,0.686913
0.370,258.583,0.695652
0.380,259.307,0.701321
0.390,259.902,0.589296
0.400,260.133,0.400206
0.410,259.361,0.191921
0.420,259.111,0.075581
0.430,535.673,0.048149
0.440,396.717,0.091809
0.450,393.451,0.210549
0.460,392.702,0.199555
0.470,261.000,0.118568
0.480,259.181,0.233871
0.490,258.115,0.426290
0.500,258.415,0.506176
0.510,257.290,0.490090
0.520,257.421,0.593216
0.530,257.707,0.651260
0.540,257.435,0.703023
0.550,258.261,0.555375
0.560,258.393,0.524686
0.570,258.550,0.531848
0.580,256.734,0.414552
0.590,254.664,0.419674
0.600,253.508,0.390904
0.610,252.753,0.276288
0.620,251.874,0.177889
0.630,256.076,0.136936
0.640,258.430,0.194727
0.650,259.259,0.177984
0.660,255.082,0.125449
0.670,260.063,0.239895
0.680,260.513,0.330032
0.690,260.318,0.392408
0.700,256.983,0.198535
0.710,250.667,0.144876
0.720,250.109,0.064218
0.730,305.086,0.073599
0.740,327.569,0.066739
0.750,328.514,0.082550
0.760,326.963,0.106282
0.770,316.543,0.094534
0.780,635.485,0.111854
0.790,631.248,0.063014
0.800,585.832,0.097850
0.810,586.352,0.112616
0.820,397.617,0.109080
0.830,530.743,0.107149
0.840,593.380,0.126980
0.850,642.819,0.093383
0.860,256.344,0.115238
0.870,254.177,0.237482
0.880,254.410,0.283406
0.890,256.480,0.185874
0.900,257.027,0.172461
0.910,264.972,0.111600
0.920,265.945,0.182488
0.930,261.861,0.140182
0.940,597.061,0.070361
0.950,604.093,0.033744
0.960,322.691,0.031062
0.970,323.606,0.050310
0.980,328.309,0.078939
0.990,399.122,0.127804
1.000,397.407,0.054289
1.010,254.720,0.049251
1.020,644.993,0.078611
1.030,635.038,0.071668
1.040,584.436,0.160049
1.050,590.194,0.125937
1.060,649.583,0.102971
1.070,597.413,0.058111
1.080,244.080,0.078650
1.090,243.130,0.076682
1.100,304.161,0.059413
1.110,330.002,0.051510
1.120,326.962,0.093482
1.130,626.803,0.098599
1.140,631.354,0.046335
1.150,538.784,0.042462
1.160,592.359,0.034442
1.170,593.617,0.021645
1.180,393.020,0.054631
1.190,392.261,0.121667
1.200,393.539,0.234272
1.210,395.006,0.277098
1.220,592.996,0.134155
1.230,584.162,0.135943
1.240,596.895,0.110247
1.250,599.048,0.035443
1.260,329.895,0.055275
1.270,319.889,0.070340
1.280,327.446,0.081886
1.290,429.434,0.091834
1.300,634.655,0.054830
1.310,308.312,0.088457
1.320,309.049,0.060320
1.330,331.009,0.073539
1.340,329.040,0.071637
1.350,429.306,0.138815
1.360,1964.308,0.087681
1.370,1972.923,0.085845
1.380,326.535,0.059022
1.390,1972.193,0.029962
1.400,639.149,0.065786
1.410,704.830,0.123282
1.420,582.930,0.168173
1.430,583.388,0.129513
1.440,583.317,0.138525
1.450,582.006,0.126541
1.460,584.060,0.129906
1.470,596.975,0.080781
1.480,610.008,0.031883
1.490,322.818,0.030261
1.500,322.978,0.043206
1.510,324.580,0.039197
1.520,332.412,0.035775
1.530,331.792,0.061569
1.540,428.602,0.081692
1.550,400.200,0.102613
1.560,400.722,0.110110
1.570,326.491,0.062495
1.580,646.639,0.123093
1.590,578.683,0.112509
1.600,584.652,0.165927
1.610,595.082,0.128500
1.620,595.865,0.138441
1.630,651.252,0.138816
1.640,595.069,0.086846
1.650,701.196,0.113266
1.660,709.854,0.053429
1.670,591.416,0.072053
1.680,397.506,0.066252
1.690,594.085,0.068448
1.700,529.919,0.069794
1.710,502.901,0.058180
1.720,304.728,0.067891
1.730,304.828,0.060630
1.740,327.829,0.066031
1.750,328.698,0.031241
1.760,643.301,0.076702
1.770,646.548,0.141486
1.780,32.491,0.047073
1.790,583.239,0.107145
1.800,585.411,0.161669
1.810,586.530,0.199274
1.820,659.556,0.105307
1.830,582.421,0.132164
1.840,581.706,0.159117
1.850,584.402,0.170145
1.860,583.861,0.124020
1.870,537.924,0.121214
1.880,537.309,0.125144
1.890,535.449,0.105382
1.900,593.539,0.112172
1.910,594.888,0.174207
1.920,595.586,0.161555
1.930,589.577,0.133651
1.940,1576.840,0.107227
1.950,659.243,0.079283
1.960,597.134,0.088936
1.970,597.926,0.055856
1.980,659.969,0.037013
1.990,1981.213,0.123286
2.000,1978.986,0.056194
2.010,1976.104,0.033394
2.020,649.484,0.060385
2.030,700.631,0.150870
2.040,576.866,0.175571
2.050,583.879,0.129392
2.060,584.300,0.144330
2.070,590.477,0.140184
2.080,649.708,0.095725
2.090,597.396,0.073283
2.100,600.691,0.048595
2.110,304.762,0.044946
2.120,304.647,0.052878
2.130,329.089,0.057931
2.140,411.748,0.073384
2.150,400.203,0.100754
2.160,327.506,0.087918
2.170,324.132,0.070579
2.180,537.730,0.060719
2.190,580.218,0.119811
2.200,585.346,0.134844
2.210,593.613,0.102689
2.220,594.466,0.138800
2.230,591.418,0.155634
2.240,590.539,0.189372
2.250,587.225,0.087907
2.260,1578.164,0.036675
2.270,598.204,0.099508
2.280,602.221,0.075280
2.290,600.983,0.038132
2.300,327.567,0.034166
2.310,328.793,0.074073
2.320,415.680,0.108716
2.330,649.087,0.094671
2.340,658.016,0.079384
2.350,659.316,0.078122
2.360,596.210,0.050568
2.370,537.875,0.034492
2.380,416.038,0.042695
2.390,626.804,0.077255
2.400,633.240,0.181776
2.410,629.939,0.050484
2.420,581.679,0.044931
2.430,595.619,0.047832
2.440,391.952,0.057486
2.450,391.866,0.146115
2.460,392.572,0.246092
2.470,586.107,0.144631
2.480,584.475,0.111855
2.490,596.575,0.066735
2.500,322.587,0.025566
2.510,321.222,0.023771
2.520,321.360,0.041459
2.530,324.055,0.026231
2.540,339.057,0.013524
2.550,339.097,0.016800
2.560,429.656,0.033568
2.570,429.591,0.141332
