time,frequency,confidence
0.000,540.626,0.088609
0.010,578.829,0.146195
0.020,588.752,0.108369
0.030,598.282,0.073204
0.040,245.257,0.118629
0.050,243.758,0.103205
0.060,514.311,0.537306
0.070,514.689,0.677286
0.080,516.481,0.665525
0.090,518.338,0.661968
0.100,518.558,0.805812
0.110,519.177,0.813926
0.120,519.842,0.813650
0.130,520.556,0.809479
0.140,521.658,0.840891
0.150,521.778,0.888557
0.160,521.975,0.863925
0.170,521.081,0.838375
0.180,522.116,0.831046
0.190,521.479,0.854571
0.200,521.076,0.871188
0.210,518.366,0.761263
0.220,517.136,0.589315
0.230,519.046,0.466882
0.240,518.797,0.628837
0.250,517.182,0.632752
0.260,516.434,0.709178
0.270,515.985,0.768060
0.280,516.419,0.780470
0.290,519.390,0.684509
0.300,524.048,0.576577
0.310,526.134,0.466249
0.320,525.782,0.412603
0.330,522.020,0.445545
0.340,520.744,0.617183
0.350,520.857,0.764763
0.360,521.956,0.776152
0.370,523.368,0.736972
0.380,525.375,0.530827
0.390,528.573,0.509282
0.400,526.804,0.443938
0.410,526.602,0.330381
0.420,528.586,0.075361
0.430,308.036,0.034729
0.440,308.861,0.052323
0.450,340.947,0.036122
0.460,435.465,0.054209
0.470,435.508,0.115737
0.480,435.253,0.100171
0.490,513.311,0.119267
0.500,517.991,0.160713
0.510,519.295,0.258219
0.520,519.386,0.372318
0.530,522.913,0.355878
0.540,524.568,0.515254
0.550,526.790,0.480732
0.560,526.899,0.393469
0.570,527.406,0.321875
0.580,527.622,0.270699
0.590,528.025,0.231647
0.600,526.099,0.220134
0.610,526.698,0.141919
0.620,528.776,0.087873
0.630,601.026,0.045121
0.640,304.345,0.049528
0.650,305.009,0.070585
0.660,513.313,0.107807
0.670,519.262,0.131378
0.680,520.705,0.151437
0.690,522.662,0.263789
0.700,524.430,0.374652
0.710,524.147,0.476880
0.720,521.952,0.585518
0.730,520.293,0.741259
0.740,520.575,0.713280
0.750,520.945,0.603588
0.760,523.203,0.405167
0.770,527.747,0.101725
0.780,527.054,0.197750
0.790,528.235,0.160662
0.800,529.121,0.203445
0.810,530.713,0.247864
0.820,528.918,0.136900
0.830,532.396,0.062093
0.840,309.056,0.025664
0.850,309.512,0.041033
0.860,322.196,0.038380
0.870,324.754,0.025115
0.880,339.452,0.024897
0.890,428.935,0.047808
0.900,428.806,0.085715
0.910,427.390,0.102645
0.920,412.285,0.130416
0.930,647.341,0.054820
0.940,638.100,0.118394
0.950,633.708,0.137937
0.960,582.771,0.172884
0.970,584.166,0.127398
0.980,585.027,0.103507
0.990,529.651,0.112054
1.000,529.589,0.137556
1.010,595.392,0.114611
1.020,596.448,0.078683
1.030,596.269,0.065663
1.040,530.854,0.066191
1.050,304.281,0.057259
1.060,500.069,0.080364
1.070,417.396,0.086890
