time,frequency,confidence
0.000,1579.917,0.086116
0.010,188.728,0.039033
0.020,184.476,0.356884
0.030,192.255,0.437097
0.040,194.444,0.643566
0.050,194.811,0.841587
0.060,194.749,0.891931
0.070,194.191,0.870607
0.080,194.058,0.864869
0.090,193.814,0.868791
0.100,193.776,0.875627
0.110,194.037,0.871993
0.120,194.034,0.854382
0.130,193.888,0.833487
0.140,194.173,0.843272
0.150,194.184,0.855287
0.160,194.326,0.867225
0.170,194.514,0.876660
0.180,194.487,0.876268
0.190,194.267,0.863948
0.200,194.237,0.884729
0.210,193.930,0.863786
0.220,193.782,0.866803
0.230,193.912,0.893955
0.240,193.949,0.877852
0.250,194.275,0.876492
0.260,194.506,0.865255
0.270,194.630,0.872091
0.280,194.455,0.853670
0.290,194.578,0.836702
0.300,194.438,0.833620
0.310,194.098,0.841908
0.320,194.261,0.871187
0.330,194.313,0.883199
0.340,194.041,0.876246
0.350,194.166,0.870933
0.360,194.131,0.792323
0.370,194.345,0.662217
0.380,194.164,0.609661
0.390,194.237,0.581759
0.400,194.692,0.675385
0.410,194.176,0.765181
0.420,193.962,0.848933
0.430,193.938,0.877662
0.440,194.135,0.866688
0.450,194.414,0.870116
0.460,194.589,0.877492
0.470,194.423,0.878515
0.480,194.068,0.883949
0.490,193.694,0.876206
0.500,193.733,0.874900
0.510,194.083,0.892566
0.520,194.337,0.903819
0.530,194.133,0.891200
0.540,194.028,0.898196
0.550,194.127,0.901031
0.560,193.972,0.867910
0.570,193.856,0.798558
0.580,194.031,0.732663
0.590,193.977,0.748409
0.600,194.728,0.810929
0.610,194.606,0.825398
0.620,194.018,0.830664
0.630,194.001,0.854577
0.640,194.475,0.871641
0.650,194.516,0.859677
0.660,194.455,0.786514
0.670,194.237,0.676032
0.680,193.896,0.653427
0.690,194.629,0.665380
0.700,194.653,0.745417
0.710,194.162,0.800660
0.720,194.041,0.838095
0.730,194.278,0.874227
0.740,194.243,0.856681
0.750,194.316,0.844201
0.760,194.688,0.861911
0.770,194.242,0.866183
0.780,193.770,0.847839
0.790,193.979,0.847217
0.800,194.233,0.820692
0.810,194.299,0.745889
0.820,194.419,0.669593
0.830,194.418,0.574938
0.840,194.210,0.546836
0.850,194.236,0.629410
0.860,194.105,0.692902
0.870,193.987,0.516663
0.880,193.137,0.368244
0.890,192.835,0.285293
0.900,194.759,0.268063
0.910,195.054,0.194128
0.920,194.221,0.430644
0.930,193.596,0.641328
0.940,193.742,0.764234
