time,frequency,confidence
0.000,1796.539,0.024706
0.010,78.103,0.035780
0.020,98.823,0.026294
0.030,52.807,0.154524
0.040,53.203,0.346328
0.050,53.338,0.440126
0.060,53.663,0.564943
0.070,53.511,0.467322
0.080,53.867,0.191721
0.090,33.230,0.142697
0.100,362.272,0.116350
0.110,361.557,0.288951
0.120,364.889,0.098308
0.130,365.687,0.071198
0.140,371.214,0.029684
0.150,1876.314,0.014263
0.160,132.311,0.023169
0.170,54.386,0.113563
0.180,369.778,0.081871
0.190,370.683,0.115503
0.200,33.509,0.044107
0.210,54.957,0.174109
0.220,369.890,0.098135
0.230,54.706,0.067058
0.240,54.814,0.388407
0.250,54.752,0.640937
0.260,54.664,0.523183
0.270,54.714,0.413126
0.280,266.320,0.070866
0.290,262.258,0.030978
0.300,265.648,0.052248
0.310,353.686,0.094130
0.320,65.320,0.125258
0.330,353.572,0.073336
0.340,55.500,0.038055
0.350,64.876,0.027164
0.360,54.599,0.045488
0.370,55.198,0.011231
0.380,54.942,0.029600
0.390,721.807,0.024399
0.400,707.082,0.020897
0.410,53.834,0.440346
0.420,54.044,0.251774
0.430,273.019,0.186097
0.440,363.809,0.298496
0.450,364.123,0.419873
0.460,364.501,0.614512
0.470,365.059,0.394565
0.480,725.359,0.114945
0.490,134.808,0.034212
0.500,32.853,0.031376
0.510,133.888,0.034741
0.520,1323.757,0.018064
0.530,720.164,0.104975
0.540,721.248,0.288170
0.550,717.860,0.248819
0.560,713.343,0.270481
0.570,707.898,0.055637
0.580,545.974,0.079081
0.590,546.779,0.052813
0.600,545.500,0.054608
0.610,541.976,0.035587
0.620,1440.560,0.020881
0.630,1069.569,0.020385
0.640,176.781,0.032184
0.650,163.980,0.422290
0.660,164.110,0.775717
0.670,163.875,0.887054
0.680,163.873,0.936574
0.690,163.587,0.945709
0.700,163.503,0.949290
0.710,163.433,0.944355
0.720,163.245,0.941425
0.730,163.119,0.949006
0.740,162.928,0.942794
0.750,162.929,0.932067
0.760,163.061,0.933673
0.770,163.215,0.941697
0.780,163.169,0.942240
0.790,162.971,0.936538
0.800,162.818,0.933408
0.810,163.024,0.945702
0.820,163.073,0.949667
0.830,162.998,0.945965
0.840,163.045,0.946140
0.850,163.004,0.947034
0.860,163.103,0.948394
0.870,163.183,0.955996
0.880,163.156,0.952246
0.890,163.060,0.954007
0.900,162.883,0.945533
0.910,162.905,0.938676
0.920,162.909,0.944237
0.930,162.928,0.944090
0.940,162.923,0.948028
0.950,163.146,0.957821
0.960,163.082,0.951508
0.970,163.024,0.949491
0.980,162.988,0.945752
0.990,162.873,0.940316
1.000,163.112,0.948273
1.010,163.011,0.947207
1.020,163.047,0.945244
1.030,163.118,0.955914
1.040,162.952,0.946588
1.050,162.940,0.951739
1.060,162.790,0.946629
1.070,162.450,0.927605
1.080,162.475,0.926814
1.090,162.594,0.925708
1.100,162.868,0.931136
1.110,163.998,0.907188
1.120,165.212,0.838863
1.130,166.850,0.664934
1.140,168.238,0.447694
1.150,165.596,0.276453
1.160,161.051,0.083181
1.170,474.422,0.091812
1.180,434.981,0.163810
1.190,592.218,0.019714
1.200,547.105,0.061345
1.210,547.946,0.074247
1.220,546.799,0.052755
1.230,541.943,0.021303
1.240,1442.945,0.019998
1.250,1057.219,0.012009
1.260,163.454,0.035595
1.270,164.751,0.481424
1.280,164.394,0.759360
1.290,164.102,0.876824
1.300,163.939,0.934130
1.310,163.428,0.945821
1.320,163.275,0.947678
1.330,163.117,0.944751
1.340,163.003,0.942559
1.350,162.816,0.941179
1.360,162.617,0.932419
1.370,162.583,0.919408
1.380,162.716,0.929196
1.390,162.615,0.927742
1.400,162.731,0.909243
1.410,163.768,0.916665
1.420,165.080,0.748602
1.430,169.005,0.321453
1.440,179.587,0.219044
1.450,188.999,0.450282
1.460,191.726,0.237584
1.470,594.784,0.064792
1.480,592.476,0.117747
1.490,593.333,0.314169
1.500,600.228,0.169897
1.510,653.593,0.107041
1.520,590.717,0.117686
1.530,975.532,0.025075
1.540,1032.165,0.027322
1.550,195.246,0.355686
1.560,196.977,0.562005
1.570,196.040,0.843333
1.580,195.726,0.914465
1.590,195.586,0.930971
1.600,195.214,0.941093
1.610,195.053,0.952510
1.620,194.949,0.957701
1.630,194.636,0.957014
1.640,194.469,0.949886
1.650,194.515,0.952731
1.660,194.513,0.953869
1.670,194.480,0.956044
1.680,194.721,0.956646
1.690,194.557,0.958288
1.700,194.189,0.943780
1.710,194.172,0.939334
1.720,194.360,0.940013
1.730,194.198,0.925667
1.740,194.842,0.916823
1.750,194.974,0.902258
1.760,194.626,0.804916
1.770,193.896,0.683317
1.780,193.378,0.503331
1.790,590.097,0.210333
1.800,591.418,0.324736
1.810,594.217,0.396913
1.820,599.555,0.402366
1.830,649.257,0.123286
1.840,1966.941,0.035394
1.850,75.929,0.029941
1.860,164.995,0.038346
1.870,164.851,0.383779
1.880,164.912,0.720857
1.890,164.644,0.842809
1.900,164.693,0.925497
1.910,164.381,0.905449
1.920,164.080,0.918834
1.930,163.696,0.935925
1.940,163.429,0.932820
1.950,163.386,0.927356
1.960,163.340,0.923956
1.970,163.324,0.906411
1.980,163.217,0.916912
1.990,163.303,0.901320
2.000,163.508,0.926722
2.010,163.548,0.921438
2.020,163.262,0.897972
2.030,163.116,0.919333
2.040,163.123,0.920970
2.050,162.897,0.919632
2.060,163.008,0.925194
2.070,163.125,0.903194
2.080,163.955,0.902689
2.090,164.808,0.906118
2.100,164.999,0.893134
2.110,164.494,0.862738
2.120,164.180,0.860124
2.130,163.586,0.880711
2.140,163.324,0.877237
2.150,163.310,0.839740
2.160,163.285,0.797479
2.170,162.719,0.677768
2.180,162.727,0.495891
2.190,163.506,0.448239
2.200,165.933,0.039966
2.210,147.590,0.026773
2.220,149.119,0.277209
2.230,151.823,0.434948
2.240,151.951,0.758697
2.250,151.872,0.828945
2.260,151.776,0.879642
2.270,151.378,0.895060
2.280,150.997,0.924782
2.290,150.599,0.916636
2.300,150.300,0.920143
2.310,150.031,0.898478
2.320,150.084,0.914370
2.330,149.887,0.913365
2.340,149.780,0.923569
2.350,149.150,0.930839
2.360,148.567,0.920382
2.370,147.836,0.945710
2.380,147.466,0.953851
2.390,146.852,0.897707
2.400,145.967,0.734894
2.410,146.635,0.622208
2.420,148.860,0.138020
2.430,340.332,0.053569
2.440,434.838,0.084562
2.450,428.478,0.136265
2.460,427.258,0.199370
2.470,1977.872,0.069810
2.480,1981.945,0.059569
2.490,1985.439,0.049739
2.500,134.263,0.091662
2.510,131.024,0.466734
2.520,131.089,0.657228
2.530,131.342,0.818847
2.540,131.561,0.910425
2.550,130.963,0.931194
2.560,130.556,0.916027
2.570,130.452,0.902205
2.580,130.303,0.911631
2.590,130.217,0.912655
2.600,130.220,0.915200
2.610,130.286,0.913067
2.620,130.422,0.916622
2.630,130.421,0.924291
2.640,130.464,0.929051
2.650,130.407,0.920263
2.660,130.350,0.922279
2.670,130.614,0.937446
2.680,130.519,0.936152
2.690,130.493,0.933918
2.700,130.401,0.918577
2.710,130.335,0.915444
2.720,130.259,0.912660
2.730,130.333,0.911369
2.740,130.124,0.920002
2.750,130.098,0.908425
2.760,130.080,0.911577
2.770,130.324,0.913933
2.780,130.094,0.916987
2.790,129.860,0.915604
2.800,129.906,0.912560
2.810,129.930,0.921589
2.820,130.047,0.919213
