time,frequency,confidence
0.000,577.248,0.105828
0.010,401.023,0.090085
0.020,403.102,0.093082
0.030,403.010,0.055660
0.040,403.809,0.067027
0.050,243.452,0.069543
0.060,243.694,0.068653
0.070,82.704,0.047755
0.080,578.704,0.049220
0.090,595.999,0.100519
0.100,596.504,0.091923
0.110,399.486,0.118817
0.120,400.139,0.106640
0.130,82.937,0.102242
0.140,85.123,0.103093
0.150,85.150,0.060110
0.160,83.472,0.058902
0.170,243.021,0.079565
0.180,598.485,0.082918
0.190,657.697,0.074669
0.200,644.977,0.074628
0.210,583.520,0.187766
0.220,584.231,0.188099
0.230,595.245,0.118451
0.240,596.874,0.107411
0.250,597.113,0.067560
0.260,585.515,0.083019
0.270,596.883,0.051378
0.280,657.296,0.076271
0.290,205.676,0.064766
0.300,99.842,0.087750
0.310,99.799,0.037899
0.320,1051.676,0.016201
0.330,1049.705,0.022671
0.340,542.096,0.023529
0.350,559.509,0.047505
0.360,326.404,0.481570
0.370,328.271,0.829069
0.380,328.930,0.903857
0.390,328.858,0.937527
0.400,328.979,0.952641
0.410,328.978,0.957941
0.420,329.297,0.965298
0.430,329.335,0.967713
0.440,329.248,0.969154
0.450,329.241,0.971479
0.460,329.103,0.963587
0.470,329.058,0.960398
0.480,328.756,0.953917
0.490,328.679,0.947040
0.500,328.947,0.954222
0.510,329.065,0.960168
0.520,329.006,0.960407
0.530,328.946,0.959570
0.540,329.085,0.961246
0.550,329.078,0.961367
0.560,328.889,0.958845
0.570,328.939,0.956574
0.580,329.104,0.959768
0.590,329.199,0.963877
0.600,329.093,0.963039
0.610,329.167,0.967032
0.620,329.271,0.968417
0.630,329.033,0.961909
0.640,328.840,0.954994
0.650,328.856,0.954188
0.660,329.163,0.961215
0.670,329.226,0.965649
0.680,329.175,0.967391
0.690,329.369,0.972008
0.700,329.266,0.967230
0.710,329.051,0.961064
0.720,328.846,0.955169
0.730,328.866,0.951779
0.740,329.133,0.961585
0.750,329.153,0.966751
0.760,329.210,0.971306
0.770,329.124,0.967738
0.780,329.105,0.963995
0.790,328.927,0.962267
0.800,328.716,0.954116
0.810,328.843,0.953988
0.820,329.063,0.962744
0.830,329.204,0.969178
0.840,328.972,0.964850
0.850,328.911,0.957871
0.860,328.864,0.956344
0.870,328.748,0.949207
0.880,328.836,0.949289
0.890,329.066,0.958595
0.900,329.162,0.966285
0.910,329.132,0.966733
0.920,329.055,0.962958
0.930,329.062,0.965446
0.940,329.076,0.965105
0.950,328.972,0.957063
0.960,328.795,0.943550
0.970,328.943,0.951966
0.980,329.178,0.966600
0.990,329.335,0.970315
1.000,329.202,0.966393
1.010,329.122,0.966158
1.020,329.093,0.961639
1.030,329.010,0.955659
1.040,329.061,0.953731
1.050,329.135,0.952251
1.060,328.803,0.902793
1.070,330.165,0.825352
1.080,330.883,0.802649
1.090,329.539,0.846480
1.100,328.975,0.834253
1.110,328.351,0.694836
1.120,328.284,0.751033
1.130,328.272,0.807348
1.140,329.838,0.810162
1.150,329.844,0.729645
1.160,328.190,0.716174
1.170,327.434,0.809232
1.180,327.695,0.885439
1.190,328.481,0.921875
1.200,328.939,0.942477
1.210,329.106,0.958289
1.220,329.322,0.964748
1.230,329.288,0.966224
1.240,329.038,0.961469
1.250,329.107,0.962286
1.260,329.148,0.961852
