time,frequency,confidence
0.000,279.545,0.295800
0.010,323.154,0.229721
0.020,325.226,0.303764
0.030,326.437,0.629961
0.040,327.060,0.817878
0.050,327.225,0.890205
0.060,325.925,0.929523
0.070,325.364,0.914054
0.080,325.492,0.921160
0.090,326.303,0.953160
0.100,326.438,0.962441
0.110,326.416,0.963150
0.120,326.671,0.945596
0.130,326.872,0.934207
0.140,327.556,0.924310
0.150,328.047,0.909541
0.160,327.374,0.905044
0.170,326.359,0.894960
0.180,325.348,0.879888
0.190,324.973,0.879791
0.200,325.095,0.857091
0.210,326.218,0.799846
0.220,326.694,0.879955
0.230,326.585,0.941427
0.240,326.575,0.961881
0.250,326.536,0.962260
0.260,326.471,0.950998
0.270,327.216,0.942874
0.280,327.752,0.925039
0.290,327.545,0.920803
0.300,326.378,0.907352
0.310,325.475,0.892723
0.320,324.992,0.875360
0.330,324.915,0.846852
0.340,325.564,0.834663
0.350,326.325,0.867495
0.360,326.225,0.928275
0.370,326.450,0.928171
0.380,326.690,0.911017
0.390,326.540,0.879726
0.400,325.528,0.837413
0.410,324.632,0.757851
0.420,324.119,0.650076
0.430,324.689,0.312964
0.440,326.556,0.259545
0.450,327.001,0.443511
0.460,326.885,0.662194
0.470,327.000,0.782262
0.480,326.283,0.848850
0.490,325.368,0.756135
0.500,326.433,0.682060
0.510,329.222,0.660212
0.520,328.760,0.736309
0.530,327.432,0.776680
0.540,326.156,0.810055
0.550,325.343,0.873624
0.560,324.878,0.902758
0.570,325.166,0.920020
0.580,325.027,0.921576
0.590,325.409,0.924347
0.600,325.649,0.926656
0.610,325.898,0.937182
0.620,325.876,0.934669
0.630,326.584,0.938637
0.640,326.875,0.935660
0.650,325.919,0.901358
0.660,324.885,0.862863
0.670,324.570,0.875014
0.680,324.833,0.877836
0.690,325.982,0.898157
0.700,326.214,0.920728
0.710,326.150,0.932669
0.720,326.482,0.928408
0.730,326.671,0.918087
0.740,325.553,0.904796
0.750,325.089,0.909274
0.760,325.230,0.931026
0.770,325.478,0.940331
0.780,325.400,0.936689
0.790,325.675,0.936550
0.800,325.638,0.922735
0.810,325.582,0.913498
0.820,325.197,0.886687
0.830,326.265,0.847851
0.840,327.653,0.770326
0.850,329.024,0.747386
0.860,327.722,0.697934
0.870,326.354,0.703411
0.880,325.118,0.659172
0.890,324.242,0.537460
0.900,324.757,0.314877
0.910,326.689,0.365830
0.920,327.007,0.671039
0.930,326.273,0.738017
0.940,325.585,0.692114
