time,frequency,confidence
0.000,192.061,0.251764
0.010,195.168,0.681125
0.020,195.445,0.816587
0.030,195.663,0.870503
0.040,195.592,0.906377
0.050,195.351,0.916756
0.060,195.124,0.929009
0.070,195.077,0.935238
0.080,194.783,0.943925
0.090,194.700,0.946255
0.100,194.647,0.942269
0.110,194.526,0.938847
0.120,194.488,0.938697
0.130,194.321,0.941392
0.140,194.382,0.937084
0.150,194.179,0.926760
0.160,194.072,0.924311
0.170,193.986,0.918283
0.180,194.127,0.925728
0.190,194.246,0.927216
0.200,194.366,0.927130
0.210,194.294,0.924105
0.220,194.230,0.926819
0.230,194.208,0.929554
0.240,194.028,0.926768
0.250,193.883,0.919500
0.260,193.863,0.924331
0.270,193.801,0.917272
0.280,193.713,0.908106
0.290,193.770,0.901250
0.300,193.819,0.893874
0.310,193.784,0.882936
0.320,193.938,0.897419
0.330,193.889,0.903650
0.340,194.000,0.908034
0.350,193.921,0.906240
0.360,194.040,0.921859
0.370,194.102,0.923365
0.380,193.995,0.923730
0.390,193.809,0.910805
0.400,193.601,0.884103
0.410,193.585,0.869364
0.420,193.875,0.882349
0.430,193.912,0.888083
0.440,193.933,0.911446
0.450,193.979,0.915960
0.460,193.995,0.915391
0.470,193.716,0.894711
0.480,193.519,0.876922
0.490,193.738,0.888730
0.500,193.850,0.883687
0.510,194.078,0.899795
0.520,194.263,0.912805
0.530,193.985,0.899427
0.540,193.942,0.904849
0.550,193.903,0.911730
0.560,193.570,0.884637
0.570,193.426,0.886661
0.580,193.533,0.900492
0.590,193.476,0.897142
0.600,193.581,0.909660
0.610,193.825,0.925319
0.620,193.550,0.910720
0.630,193.529,0.905055
0.640,193.664,0.908543
0.650,193.431,0.896245
0.660,193.389,0.887219
0.670,193.570,0.900813
0.680,193.627,0.902571
0.690,193.733,0.908585
0.700,193.864,0.910981
0.710,193.711,0.899172
0.720,193.529,0.869694
0.730,193.509,0.851044
0.740,193.744,0.855559
0.750,194.082,0.861945
0.760,194.450,0.884816
0.770,194.198,0.889876
0.780,194.015,0.862519
0.790,194.180,0.886462
0.800,194.065,0.908267
0.810,193.594,0.891309
0.820,193.704,0.897163
0.830,193.893,0.903060
0.840,194.048,0.902854
0.850,194.187,0.908109
0.860,193.917,0.896716
0.870,193.593,0.860683
0.880,193.604,0.824234
0.890,193.767,0.829059
0.900,194.045,0.812722
0.910,194.580,0.805586
0.920,194.378,0.830020
0.930,194.317,0.812952
0.940,194.601,0.821570
0.950,194.501,0.835694
0.960,194.284,0.849223
0.970,194.431,0.840001
0.980,194.371,0.865678
0.990,194.187,0.862558
1.000,194.107,0.867895
1.010,193.918,0.892682
1.020,193.845,0.892270
1.030,193.839,0.907521
1.040,193.796,0.917761
1.050,193.637,0.905741
1.060,193.656,0.895828
1.070,193.725,0.900233
1.080,193.653,0.893861
1.090,194.047,0.895167
1.100,194.264,0.889036
1.110,194.084,0.873164
1.120,194.250,0.860383
1.130,194.306,0.859691
1.140,194.192,0.847192
1.150,194.442,0.846479
1.160,194.630,0.867862
1.170,194.308,0.870471
1.180,193.992,0.849890
1.190,193.676,0.820673
1.200,193.828,0.805565
1.210,194.302,0.833671
1.220,194.301,0.847294
1.230,194.335,0.831303
1.240,194.434,0.804826
1.250,194.371,0.831045
1.260,194.309,0.855992
