time,frequency,confidence
0.000,240.535,0.525941
0.010,240.417,0.761444
0.020,241.395,0.847455
0.030,242.529,0.915805
0.040,243.424,0.921908
0.050,244.783,0.948568
0.060,245.191,0.954172
0.070,244.491,0.946856
0.080,244.466,0.951797
0.090,244.654,0.954624
0.100,245.012,0.959373
0.110,245.073,0.956164
0.120,245.216,0.951375
0.130,245.086,0.958349
0.140,245.146,0.957883
0.150,244.846,0.957813
0.160,244.334,0.940968
0.170,244.094,0.928292
0.180,243.821,0.920875
0.190,244.066,0.921944
0.200,244.561,0.929819
0.210,244.967,0.937546
0.220,244.866,0.938958
0.230,244.994,0.948948
0.240,245.013,0.947330
0.250,245.136,0.945279
0.260,244.950,0.940061
0.270,245.097,0.945034
0.280,245.339,0.944923
0.290,245.403,0.942500
0.300,245.033,0.950399
0.310,244.523,0.954960
0.320,244.087,0.937495
0.330,244.040,0.937741
0.340,244.249,0.938277
0.350,244.066,0.934113
0.360,243.985,0.936674
0.370,244.122,0.940807
0.380,244.186,0.942424
0.390,244.331,0.945723
0.400,244.163,0.941876
0.410,244.217,0.937547
0.420,244.343,0.936913
0.430,244.611,0.942707
0.440,244.451,0.938387
0.450,244.549,0.939721
0.460,244.570,0.939200
0.470,244.819,0.942918
0.480,245.369,0.943732
0.490,245.420,0.938192
0.500,244.539,0.919017
0.510,243.702,0.924449
0.520,243.380,0.929285
0.530,243.627,0.919102
0.540,243.991,0.901395
0.550,243.749,0.889577
0.560,243.862,0.890505
0.570,244.225,0.920705
0.580,244.673,0.933168
0.590,244.620,0.941755
0.600,244.321,0.944025
0.610,244.172,0.949034
0.620,244.168,0.951748
0.630,244.020,0.950490
0.640,244.307,0.952028
0.650,244.253,0.950945
0.660,244.439,0.950026
0.670,244.325,0.939435
0.680,244.588,0.943167
0.690,244.596,0.934484
0.700,244.966,0.938314
0.710,244.121,0.910690
0.720,243.555,0.916423
0.730,243.371,0.906042
0.740,243.491,0.908611
0.750,243.758,0.895268
0.760,243.664,0.899483
0.770,243.430,0.893745
0.780,243.272,0.906591
0.790,243.327,0.913484
0.800,243.397,0.911796
0.810,243.260,0.888756
0.820,243.216,0.865813
0.830,243.704,0.889351
0.840,244.052,0.880966
0.850,244.183,0.895460
0.860,244.573,0.911273
0.870,244.528,0.912376
0.880,244.367,0.915020
0.890,244.116,0.889235
0.900,244.167,0.848312
0.910,244.788,0.772674
0.920,245.861,0.704333
0.930,246.456,0.740602
0.940,246.002,0.775006
0.950,244.766,0.860391
0.960,243.915,0.874763
0.970,243.037,0.880900
0.980,241.781,0.758203
0.990,240.920,0.277318
1.000,242.494,0.091786
1.010,244.566,0.261141
1.020,245.160,0.599603
1.030,244.845,0.852861
1.040,244.656,0.872446
1.050,244.862,0.909880
1.060,245.568,0.918122
1.070,245.671,0.915881
1.080,245.273,0.925872
1.090,244.398,0.894792
1.100,244.069,0.895146
1.110,243.940,0.899336
1.120,244.051,0.905757
1.130,243.544,0.861728
1.140,243.515,0.866780
1.150,243.898,0.865885
1.160,244.191,0.804098
1.170,244.072,0.746236
1.180,243.796,0.685361
1.190,243.535,0.747857
1.200,243.359,0.441965
1.210,484.596,0.148408
1.220,591.319,0.125110
1.230,488.041,0.120887
1.240,486.007,0.162723
1.250,480.186,0.143136
1.260,483.876,0.193244
1.270,492.851,0.329136
1.280,493.001,0.360114
1.290,490.855,0.258520
1.300,488.027,0.381450
1.310,486.524,0.309280
1.320,484.139,0.305289
1.330,479.779,0.289531
1.340,478.383,0.274684
1.350,478.680,0.191567
1.360,581.852,0.200104
1.370,582.849,0.236267
1.380,590.994,0.198542
1.390,491.811,0.213580
1.400,491.728,0.399913
1.410,244.614,0.523917
1.420,244.124,0.622913
1.430,244.517,0.550582
1.440,491.480,0.627435
1.450,491.193,0.745311
1.460,492.076,0.701350
1.470,492.217,0.676135
1.480,490.948,0.611790
1.490,490.013,0.454042
1.500,244.685,0.294229
1.510,244.568,0.497109
1.520,243.761,0.435785
1.530,490.266,0.261041
1.540,491.450,0.264475
1.550,493.687,0.172928
1.560,499.665,0.137497
1.570,530.267,0.087855
1.580,532.142,0.132679
1.590,584.392,0.153707
1.600,590.209,0.172869
1.610,529.442,0.233505
1.620,531.881,0.255005
1.630,544.715,0.150706
1.640,582.425,0.215819
1.650,597.302,0.139467
1.660,243.966,0.099714
1.670,244.245,0.224750
1.680,243.758,0.214242
1.690,484.939,0.196196
1.700,494.804,0.344576
1.710,246.593,0.528574
1.720,243.963,0.323843
1.730,242.982,0.128333
1.740,480.871,0.167277
1.750,577.932,0.115753
1.760,480.258,0.129383
1.770,537.429,0.133613
1.780,537.029,0.118626
1.790,530.214,0.115502
1.800,528.537,0.173596
1.810,528.055,0.178588
1.820,530.237,0.152856
1.830,161.080,0.094133
1.840,658.227,0.079811
1.850,602.800,0.094855
1.860,244.613,0.092146
1.870,244.236,0.063137
1.880,297.085,0.046755
1.890,467.726,0.028917
1.900,429.685,0.048796
1.910,429.760,0.069619
1.920,489.371,0.122730
1.930,496.076,0.188249
1.940,245.556,0.275284
1.950,484.949,0.131595
1.960,481.037,0.153817
1.970,584.443,0.194489
1.980,590.067,0.241013
1.990,529.387,0.269357
2.000,527.696,0.294268
2.010,485.278,0.123225
2.020,476.017,0.165447
2.030,475.425,0.154015
2.040,581.940,0.218306
2.050,583.569,0.206379
2.060,650.319,0.130225
2.070,243.795,0.093860
2.080,244.496,0.115642
2.090,243.351,0.179799
2.100,487.033,0.220941
2.110,491.654,0.345559
2.120,492.755,0.283875
2.130,494.264,0.248956
2.140,500.033,0.072659
2.150,649.766,0.063939
2.160,578.704,0.086109
2.170,584.094,0.187490
2.180,585.522,0.198406
2.190,597.177,0.144662
2.200,648.224,0.082442
2.210,243.762,0.076340
2.220,243.768,0.121300
2.230,243.876,0.167739
2.240,492.991,0.290436
2.250,495.750,0.197869
2.260,490.357,0.182670
2.270,485.704,0.179575
2.280,242.914,0.320962
2.290,242.592,0.242839
2.300,243.661,0.183965
2.310,244.080,0.217862
2.320,243.798,0.256173
2.330,243.664,0.189340
2.340,244.485,0.112699
2.350,531.079,0.097289
2.360,632.951,0.196945
2.370,650.727,0.110003
2.380,244.151,0.145959
2.390,244.450,0.402509
2.400,243.063,0.258285
2.410,242.523,0.207993
2.420,630.964,0.101666
2.430,584.897,0.191985
2.440,585.459,0.193344
2.450,595.261,0.194457
2.460,496.832,0.191236
2.470,245.276,0.172226
2.480,242.677,0.141273
2.490,482.866,0.039431
2.500,242.741,0.134837
2.510,243.234,0.193526
2.520,243.508,0.139161
2.530,242.877,0.087230
2.540,469.527,0.083834
2.550,502.011,0.094907
2.560,625.746,0.107514
2.570,537.662,0.098570
2.580,584.596,0.132463
2.590,592.697,0.121157
2.600,531.474,0.119563
2.610,531.241,0.189046
2.620,536.256,0.155909
2.630,535.968,0.136446
2.640,596.839,0.152570
2.650,658.609,0.218205
2.660,589.925,0.083322
2.670,717.292,0.018095
2.680,241.527,0.023368
2.690,241.793,0.117355
2.700,597.494,0.087727
2.710,537.537,0.073652
2.720,467.889,0.072533
2.730,498.335,0.063118
2.740,296.646,0.041277
2.750,327.281,0.038372
2.760,528.806,0.043169
2.770,430.457,0.073687
2.780,634.188,0.066340
2.790,242.371,0.060967
2.800,1679.070,0.080957
2.810,239.110,0.078307
2.820,575.997,0.097638
2.830,583.108,0.158422
2.840,583.984,0.159221
2.850,593.679,0.159600
2.860,595.709,0.159209
2.870,649.186,0.152198
2.880,596.621,0.166805
2.890,492.582,0.247721
2.900,492.718,0.152288
2.910,497.743,0.164715
2.920,498.105,0.100252
2.930,468.677,0.105717
2.940,469.732,0.070961
2.950,495.025,0.060756
2.960,327.639,0.047591
2.970,530.033,0.052576
2.980,531.726,0.083453
2.990,586.167,0.152750
3.000,591.733,0.095125
3.010,658.802,0.094847
3.020,242.794,0.120665
3.030,242.398,0.109956
3.040,241.354,0.082216
3.050,635.021,0.107748
3.060,583.357,0.166790
3.070,585.372,0.184197
3.080,651.410,0.126478
3.090,598.983,0.081808
3.100,244.274,0.059150
3.110,244.371,0.050091
3.120,304.503,0.037229
3.130,328.159,0.030889
3.140,431.111,0.070678
3.150,429.908,0.134378
3.160,325.460,0.064316
3.170,244.909,0.064337
3.180,531.355,0.043692
3.190,531.128,0.075333
3.200,597.898,0.140330
3.210,634.812,0.131750
3.220,778.426,0.113641
3.230,1573.494,0.267498
3.240,1604.344,0.099379
3.250,575.533,0.064537
3.260,577.270,0.123149
3.270,583.398,0.126468
3.280,591.812,0.107730
3.290,530.700,0.097771
3.300,530.754,0.120415
3.310,594.436,0.147476
3.320,597.041,0.187144
3.330,650.894,0.188164
3.340,713.555,0.066580
3.350,707.076,0.042388
3.360,661.309,0.075087
3.370,657.911,0.089070
3.380,596.371,0.088563
3.390,600.665,0.078606
3.400,242.861,0.046345
3.410,304.303,0.048429
3.420,328.823,0.063430
3.430,329.601,0.073000
3.440,331.026,0.084593
3.450,330.059,0.083168
3.460,323.443,0.069165
3.470,625.131,0.046368
3.480,538.139,0.072039
3.490,581.031,0.092544
3.500,591.884,0.083110
3.510,395.848,0.051194
3.520,394.413,0.117541
3.530,395.613,0.181046
3.540,396.259,0.202046
3.550,396.604,0.146621
3.560,397.541,0.118357
3.570,397.556,0.135495
3.580,595.266,0.132425
3.590,590.277,0.109539
3.600,1597.156,0.067768
3.610,575.193,0.113385
3.620,580.588,0.167758
3.630,583.459,0.163705
3.640,589.649,0.158972
3.650,651.475,0.126909
3.660,597.754,0.083314
3.670,601.447,0.033886
3.680,308.695,0.038266
3.690,323.365,0.046305
3.700,339.761,0.042424
3.710,332.905,0.040533
3.720,429.392,0.101545
3.730,330.670,0.107938
3.740,400.481,0.098599
3.750,326.836,0.076927
3.760,634.819,0.070939
3.770,579.211,0.097673
3.780,584.853,0.154235
3.790,593.284,0.135961
3.800,594.300,0.118661
3.810,595.167,0.117804
3.820,653.507,0.078833
3.830,652.431,0.092394
3.840,597.578,0.072244
3.850,602.399,0.052259
3.860,466.328,0.041902
3.870,495.479,0.047634
3.880,327.478,0.061653
3.890,326.513,0.065523
3.900,640.027,0.079104
3.910,580.041,0.151624
3.920,585.723,0.150628
3.930,593.671,0.117200
3.940,594.952,0.151011
3.950,591.381,0.149441
3.960,776.967,0.106008
3.970,588.386,0.060274
3.980,597.435,0.079322
3.990,602.501,0.053705
4.000,466.710,0.038524
4.010,304.361,0.047276
4.020,324.083,0.065748
4.030,324.390,0.046257
4.040,537.514,0.059462
4.050,585.586,0.101664
4.060,592.655,0.155591
4.070,397.537,0.182410
4.080,396.614,0.151508
4.090,394.594,0.113242
4.100,590.022,0.106407
4.110,1575.967,0.056140
4.120,583.113,0.086055
4.130,595.574,0.077837
4.140,597.767,0.064661
4.150,602.581,0.047245
4.160,431.440,0.041136
4.170,327.668,0.070894
4.180,332.744,0.082168
4.190,414.304,0.077307
4.200,327.546,0.065494
4.210,648.159,0.134928
4.220,583.831,0.128179
4.230,585.562,0.152399
4.240,596.341,0.116276
4.250,598.294,0.061101
