time,frequency,confidence
0.000,586.378,0.092982
0.010,1572.183,0.173328
0.020,546.908,0.067629
0.030,264.859,0.426357
0.040,261.035,0.538454
0.050,258.801,0.681258
0.060,259.010,0.860946
0.070,259.145,0.917139
0.080,259.516,0.932310
0.090,259.907,0.938034
0.100,259.670,0.940572
0.110,260.089,0.947253
0.120,260.143,0.942028
0.130,260.049,0.943895
0.140,260.216,0.945572
0.150,260.078,0.938596
0.160,260.137,0.945658
0.170,260.234,0.934893
0.180,259.944,0.939849
0.190,259.981,0.947034
0.200,259.749,0.946555
0.210,259.652,0.954272
0.220,259.898,0.946133
0.230,260.059,0.943144
0.240,260.453,0.937732
0.250,260.305,0.933349
0.260,260.051,0.945448
0.270,259.834,0.946180
0.280,259.710,0.943305
0.290,260.312,0.935232
0.300,260.394,0.927363
0.310,260.086,0.945388
0.320,259.760,0.952344
0.330,259.554,0.949375
0.340,259.922,0.944858
0.350,260.220,0.931794
0.360,260.232,0.942095
0.370,260.096,0.943064
0.380,259.683,0.943591
0.390,259.703,0.947043
0.400,259.702,0.940912
0.410,259.777,0.948336
0.420,259.981,0.942678
0.430,259.784,0.947177
0.440,259.768,0.950342
0.450,259.741,0.941218
0.460,259.789,0.949888
0.470,259.798,0.944796
0.480,259.984,0.946462
0.490,259.959,0.946831
0.500,259.863,0.942348
0.510,259.593,0.950907
0.520,259.478,0.954761
0.530,259.777,0.948689
0.540,259.816,0.949567
0.550,259.926,0.947494
0.560,259.969,0.946528
0.570,259.816,0.948645
0.580,259.882,0.934984
0.590,260.314,0.930054
0.600,260.502,0.915491
0.610,260.662,0.912255
0.620,260.248,0.931706
0.630,260.124,0.939595
0.640,259.681,0.942882
0.650,259.653,0.939990
0.660,259.822,0.934157
0.670,260.036,0.928086
0.680,260.479,0.916545
0.690,260.698,0.875777
0.700,261.029,0.830318
0.710,261.449,0.793172
0.720,261.433,0.798683
0.730,261.182,0.806696
0.740,260.572,0.854177
0.750,260.127,0.897660
0.760,260.178,0.907711
0.770,259.669,0.924848
0.780,259.690,0.932169
0.790,259.806,0.927759
0.800,259.775,0.905723
0.810,259.610,0.895027
0.820,259.056,0.872675
0.830,259.620,0.869204
0.840,260.137,0.825948
0.850,260.553,0.815753
0.860,261.144,0.863098
0.870,260.573,0.882301
0.880,260.316,0.902184
0.890,260.363,0.909000
0.900,260.196,0.900090
0.910,260.459,0.890947
0.920,260.462,0.881704
0.930,260.054,0.866814
0.940,260.113,0.804434
0.950,259.599,0.709645
0.960,258.539,0.626630
0.970,258.357,0.474670
0.980,259.184,0.391020
0.990,259.117,0.199968
1.000,258.928,0.087160
1.010,530.474,0.053756
1.020,395.824,0.100460
1.030,392.991,0.126362
1.040,259.795,0.177743
1.050,259.935,0.377800
1.060,259.515,0.448335
1.070,256.633,0.292841
1.080,253.428,0.138447
1.090,307.933,0.134385
1.100,306.682,0.167334
1.110,306.906,0.082498
1.120,323.505,0.048404
1.130,430.110,0.054168
1.140,429.756,0.090669
1.150,315.174,0.079365
1.160,307.359,0.149268
1.170,317.960,0.076265
1.180,319.581,0.036439
1.190,339.708,0.026880
1.200,340.158,0.035708
1.210,331.700,0.051727
1.220,331.162,0.084370
1.230,428.101,0.102447
1.240,398.222,0.108811
1.250,256.861,0.165635
1.260,257.077,0.146969
1.270,635.086,0.111308
1.280,630.554,0.037121
1.290,538.322,0.033036
1.300,537.558,0.036554
1.310,393.810,0.083142
1.320,392.881,0.143842
1.330,394.135,0.240944
1.340,394.717,0.352281
1.350,395.350,0.351359
1.360,531.857,0.116943
1.370,536.882,0.089676
1.380,536.331,0.070620
1.390,395.154,0.079085
1.400,396.087,0.193120
1.410,396.152,0.234110
1.420,397.880,0.126912
1.430,531.393,0.103253
1.440,530.263,0.093929
1.450,257.727,0.207747
1.460,260.040,0.667610
1.470,261.166,0.733107
1.480,260.398,0.673680
1.490,261.553,0.548201
1.500,262.111,0.542295
1.510,261.809,0.380444
1.520,260.182,0.516819
1.530,258.365,0.258025
1.540,253.182,0.097307
1.550,308.443,0.083253
1.560,309.420,0.103350
1.570,306.188,0.051301
1.580,340.595,0.049443
1.590,327.268,0.054602
1.600,319.554,0.074516
1.610,323.881,0.064441
1.620,327.638,0.047075
1.630,428.793,0.063316
1.640,429.227,0.114618
1.650,255.423,0.137199
1.660,251.931,0.134502
1.670,325.697,0.068268
1.680,326.184,0.086128
1.690,258.964,0.107520
1.700,257.275,0.163192
1.710,257.289,0.137920
1.720,260.003,0.120407
1.730,265.350,0.144807
1.740,265.546,0.137312
1.750,583.288,0.124197
1.760,649.110,0.099801
1.770,253.650,0.046813
1.780,250.318,0.057425
1.790,304.740,0.077319
1.800,304.208,0.169906
1.810,304.595,0.073408
1.820,327.302,0.079392
1.830,327.110,0.076233
1.840,637.804,0.072860
1.850,263.506,0.115423
1.860,261.595,0.277857
1.870,259.358,0.281000
1.880,251.293,0.076740
1.890,246.114,0.047738
1.900,304.955,0.077560
1.910,304.726,0.079362
1.920,328.004,0.070788
1.930,328.230,0.078208
1.940,327.149,0.080631
1.950,645.454,0.070724
1.960,256.351,0.152093
1.970,253.740,0.193480
1.980,249.882,0.119205
1.990,304.802,0.072456
2.000,326.615,0.075032
2.010,259.912,0.082134
2.020,260.201,0.121068
2.030,259.732,0.129030
2.040,264.935,0.162409
2.050,537.924,0.155674
2.060,581.586,0.132356
2.070,588.874,0.079814
2.080,598.523,0.081251
2.090,602.868,0.040827
2.100,322.818,0.030183
2.110,304.656,0.060544
2.120,328.367,0.083375
2.130,330.477,0.098690
2.140,327.226,0.082172
2.150,326.600,0.085087
2.160,644.838,0.079467
2.170,633.357,0.089757
2.180,584.256,0.155167
2.190,593.271,0.115460
2.200,595.335,0.117458
2.210,647.303,0.097016
2.220,650.733,0.119384
2.230,261.545,0.098369
2.240,257.694,0.018187
2.250,264.141,0.015765
2.260,273.875,0.027272
2.270,705.635,0.088000
2.280,577.580,0.139752
2.290,583.831,0.134173
2.300,535.505,0.115853
2.310,535.249,0.093408
2.320,592.803,0.100110
2.330,594.458,0.132885
2.340,257.234,0.104175
2.350,257.124,0.227886
2.360,259.136,0.358557
2.370,255.982,0.245765
2.380,249.974,0.175532
2.390,305.378,0.070322
2.400,330.182,0.049972
2.410,427.626,0.067109
2.420,430.091,0.069739
2.430,257.197,0.100010
2.440,253.814,0.428026
2.450,251.745,0.378682
2.460,251.311,0.155795
2.470,251.682,0.133375
2.480,253.845,0.048913
2.490,638.102,0.033280
2.500,643.401,0.093622
2.510,584.134,0.098517
2.520,590.405,0.100482
2.530,646.077,0.086032
2.540,596.047,0.053911
2.550,537.521,0.047889
2.560,243.885,0.070374
2.570,305.397,0.035443
2.580,532.670,0.045297
2.590,645.076,0.081617
2.600,650.958,0.139285
2.610,583.736,0.082153
2.620,1579.290,0.117436
2.630,587.431,0.077420
2.640,597.843,0.087752
2.650,601.841,0.050115
2.660,601.173,0.028838
2.670,430.534,0.047908
2.680,400.604,0.077545
2.690,411.239,0.124503
2.700,414.367,0.084571
2.710,647.857,0.100566
2.720,699.579,0.137580
2.730,575.988,0.160216
2.740,581.899,0.132761
2.750,581.888,0.167072
2.760,584.568,0.139873
2.770,649.879,0.111215
2.780,598.230,0.065614
2.790,602.580,0.043444
2.800,430.858,0.032750
2.810,327.485,0.063011
2.820,411.218,0.078707
2.830,414.842,0.069952
2.840,648.215,0.132022
2.850,583.907,0.112732
2.860,582.718,0.178632
2.870,583.509,0.149450
2.880,651.902,0.096889
2.890,597.335,0.074292
2.900,597.229,0.060401
2.910,544.265,0.038491
2.920,411.811,0.050116
2.930,401.122,0.087204
2.940,327.122,0.050661
2.950,648.622,0.141332
2.960,640.823,0.119092
2.970,582.481,0.200059
2.980,584.082,0.155659
2.990,584.645,0.120304
3.000,596.152,0.103756
3.010,598.766,0.050446
3.020,331.110,0.048582
3.030,330.835,0.054988
3.040,326.973,0.097637
3.050,400.007,0.091815
3.060,414.300,0.072084
3.070,647.266,0.096687
3.080,648.212,0.099156
3.090,581.329,0.054826
3.100,579.056,0.123461
3.110,589.263,0.092792
3.120,598.373,0.072293
3.130,601.642,0.042928
3.140,305.110,0.036825
3.150,304.895,0.105016
3.160,333.347,0.090133
3.170,329.880,0.080969
3.180,331.155,0.067650
3.190,328.439,0.059148
3.200,645.274,0.190688
3.210,654.539,0.120879
3.220,660.201,0.014958
3.230,241.376,0.030575
3.240,399.294,0.034413
3.250,400.743,0.050611
3.260,658.683,0.081471
3.270,647.281,0.136641
3.280,641.103,0.113174
3.290,582.900,0.184475
3.300,584.696,0.120956
3.310,581.260,0.145177
3.320,584.047,0.155521
3.330,644.888,0.117054
3.340,598.170,0.071554
3.350,597.988,0.067765
3.360,430.310,0.048329
3.370,625.824,0.068343
3.380,636.138,0.117902
3.390,633.384,0.095437
3.400,584.490,0.121830
3.410,584.905,0.144012
3.420,584.725,0.107415
3.430,592.464,0.084067
3.440,593.689,0.116503
3.450,595.294,0.169449
3.460,590.861,0.172954
3.470,777.378,0.121369
3.480,587.925,0.069930
3.490,596.903,0.111711
3.500,601.043,0.050899
3.510,308.843,0.038739
3.520,323.209,0.046071
3.530,328.219,0.044029
3.540,339.696,0.044378
3.550,428.932,0.065512
3.560,330.511,0.102760
3.570,329.795,0.118271
3.580,331.034,0.049026
3.590,418.183,0.054864
3.600,645.962,0.200151
3.610,657.440,0.184788
3.620,595.408,0.051442
3.630,399.384,0.038589
3.640,406.073,0.033152
3.650,494.806,0.041393
3.660,400.338,0.073071
3.670,401.313,0.079322
3.680,1974.442,0.040367
3.690,648.670,0.073861
3.700,644.064,0.085835
3.710,577.038,0.154063
3.720,581.607,0.141327
3.730,580.991,0.172983
3.740,588.915,0.111070
3.750,650.456,0.100028
3.760,597.451,0.072986
3.770,601.980,0.055864
3.780,304.332,0.037302
3.790,327.044,0.048215
3.800,324.376,0.048393
3.810,537.366,0.058882
3.820,585.280,0.110246
3.830,586.179,0.134394
3.840,589.262,0.089658
3.850,584.412,0.118086
3.860,589.409,0.127015
3.870,597.259,0.100497
3.880,603.621,0.057546
3.890,604.962,0.038413
3.900,620.683,0.043315
3.910,328.037,0.051806
3.920,645.607,0.101756
3.930,647.474,0.090967
3.940,581.434,0.044808
3.950,578.967,0.098553
3.960,579.163,0.141013
3.970,581.432,0.147370
3.980,581.182,0.147212
3.990,582.388,0.114881
4.000,653.001,0.069076
4.010,598.104,0.067800
4.020,602.038,0.052772
4.030,544.329,0.032790
4.040,327.631,0.052525
4.050,400.514,0.087414
4.060,414.400,0.074520
4.070,651.604,0.080666
4.080,647.545,0.142022
4.090,583.153,0.167164
4.100,594.681,0.137115
4.110,597.317,0.052989
4.120,324.026,0.028487
4.130,323.856,0.049255
4.140,325.162,0.045772
4.150,339.590,0.047267
4.160,429.323,0.062028
4.170,429.418,0.142388
4.180,398.878,0.076312
4.190,1975.913,0.076086
4.200,658.476,0.050558
4.210,649.094,0.105127
4.220,657.792,0.102052
4.230,589.833,0.107821
4.240,596.442,0.078685
4.250,597.124,0.060799
4.260,596.384,0.047007
4.270,441.941,0.044475
4.280,400.545,0.072382
4.290,327.237,0.056695
4.300,650.703,0.104329
4.310,640.019,0.096577
4.320,583.572,0.171358
4.330,585.537,0.158127
4.340,593.257,0.115950
4.350,595.072,0.130875
4.360,650.475,0.132232
4.370,650.810,0.086014
4.380,595.948,0.068836
4.390,430.847,0.036507
4.400,1980.672,0.036351
4.410,414.704,0.042575
4.420,327.507,0.045512
4.430,645.195,0.068007
4.440,583.761,0.127962
4.450,583.532,0.201320
4.460,584.627,0.155483
4.470,595.341,0.128005
4.480,597.361,0.086224
4.490,597.883,0.063030
4.500,596.606,0.044697
4.510,621.000,0.055709
4.520,625.195,0.119636
4.530,624.801,0.065703
4.540,594.078,0.097111
4.550,591.910,0.123004
4.560,586.029,0.119163
4.570,398.002,0.106111
4.580,593.748,0.123491
4.590,595.388,0.144047
4.600,590.497,0.135775
4.610,779.407,0.159375
4.620,590.976,0.075235
4.630,598.000,0.073404
4.640,601.002,0.044401
4.650,304.281,0.043063
4.660,333.098,0.060815
4.670,415.328,0.073258
4.680,415.415,0.073416
4.690,648.561,0.134143
4.700,583.007,0.120714
4.710,583.757,0.171256
4.720,535.774,0.129738
4.730,589.100,0.123738
4.740,594.740,0.133478
4.750,595.125,0.129361
4.760,658.405,0.071529
4.770,603.290,0.054182
4.780,308.785,0.030655
4.790,309.149,0.044635
4.800,306.080,0.067763
4.810,340.178,0.046733
4.820,339.947,0.043673
4.830,331.991,0.030911
4.840,339.400,0.024111
4.850,332.914,0.023461
4.860,429.497,0.100328
4.870,429.607,0.136990
4.880,1966.160,0.056254
4.890,327.443,0.055791
4.900,327.392,0.047934
4.910,645.849,0.094802
4.920,584.582,0.134244
4.930,584.184,0.127326
4.940,581.272,0.103411
4.950,589.856,0.066252
4.960,598.443,0.066302
4.970,602.148,0.049467
4.980,601.197,0.029637
4.990,431.080,0.048351
5.000,400.022,0.087815
5.010,401.475,0.129558
5.020,413.707,0.050406
5.030,651.998,0.143173
5.040,640.070,0.128548
5.050,579.628,0.184792
5.060,593.148,0.137120
5.070,594.882,0.150657
5.080,596.660,0.133588
5.090,652.950,0.133111
5.100,595.588,0.109520
5.110,699.728,0.051853
5.120,702.000,0.056862
5.130,700.368,0.101897
5.140,576.670,0.167483
5.150,583.518,0.139357
5.160,583.648,0.137617
5.170,536.219,0.114864
5.180,593.937,0.122474
5.190,596.881,0.066593
5.200,603.964,0.033186
5.210,326.920,0.035100
5.220,306.081,0.053102
5.230,305.325,0.076151
5.240,333.902,0.053273
5.250,331.379,0.042981
5.260,428.785,0.061808
5.270,329.025,0.086778
5.280,330.075,0.097201
5.290,332.508,0.088972
5.300,327.807,0.070097
5.310,327.213,0.067733
5.320,645.503,0.084718
5.330,583.609,0.136853
5.340,586.085,0.172526
5.350,591.066,0.172463
5.360,650.690,0.158385
5.370,597.178,0.119154
5.380,589.703,0.063495
5.390,702.214,0.054135
5.400,575.502,0.092798
5.410,583.226,0.170077
5.420,596.515,0.133201
5.430,597.973,0.066480
5.440,604.170,0.040648
5.450,327.292,0.036268
5.460,327.256,0.053120
5.470,328.257,0.078180
5.480,415.507,0.067728
5.490,416.609,0.064160
5.500,651.847,0.142288
5.510,648.512,0.093133
5.520,596.253,0.095616
5.530,602.195,0.035689
5.540,308.934,0.028299
5.550,321.849,0.040391
5.560,324.244,0.038892
5.570,339.597,0.041559
5.580,430.619,0.076409
5.590,429.971,0.161925
5.600,329.143,0.060789
5.610,332.471,0.058291
5.620,327.779,0.047838
5.630,647.141,0.103622
5.640,585.110,0.125213
5.650,585.218,0.154426
5.660,595.978,0.104679
5.670,598.289,0.071904
5.680,597.777,0.054278
5.690,430.690,0.044915
5.700,400.135,0.090037
5.710,401.754,0.048008
5.720,647.795,0.076302
5.730,641.973,0.168002
5.740,577.500,0.162949
5.750,583.280,0.176807
5.760,584.231,0.118846
5.770,535.854,0.103006
5.780,593.208,0.136830
5.790,595.836,0.115388
5.800,597.063,0.067006
5.810,598.877,0.042483
5.820,331.116,0.046222
5.830,334.339,0.071600
5.840,329.624,0.093709
5.850,328.205,0.133876
5.860,327.206,0.111007
5.870,324.289,0.083521
5.880,642.431,0.046425
5.890,644.693,0.158555
5.900,590.304,0.104571
5.910,778.954,0.097317
5.920,1569.708,0.178393
5.930,588.095,0.057529
5.940,594.441,0.070600
5.950,596.393,0.075258
5.960,602.394,0.059143
5.970,304.141,0.047037
5.980,323.927,0.039694
5.990,324.384,0.045716
6.000,537.176,0.059751
6.010,592.846,0.118769
6.020,594.159,0.146861
6.030,595.075,0.163391
6.040,590.902,0.148225
6.050,588.901,0.122222
6.060,1576.877,0.065673
6.070,596.244,0.056175
6.080,602.592,0.050092
6.090,304.439,0.039602
6.100,304.432,0.061641
6.110,327.879,0.068700
6.120,411.299,0.090255
6.130,415.013,0.103032
6.140,646.765,0.099583
6.150,643.946,0.159651
6.160,577.942,0.131780
6.170,583.266,0.162758
6.180,583.908,0.132386
6.190,583.815,0.109283
6.200,583.647,0.107024
6.210,593.807,0.116655
6.220,597.101,0.069333
6.230,604.510,0.031355
6.240,327.645,0.036754
6.250,323.490,0.039251
6.260,330.913,0.047122
6.270,428.677,0.075892
6.280,430.250,0.155293
6.290,324.945,0.075899
6.300,306.011,0.057054
6.310,304.976,0.052463
6.320,328.694,0.067154
6.330,330.795,0.092172
6.340,326.679,0.090440
6.350,626.073,0.056851
6.360,537.763,0.058388
6.370,593.249,0.110752
6.380,592.820,0.116394
6.390,396.657,0.135474
6.400,397.209,0.122791
6.410,594.105,0.088871
6.420,589.801,0.093105
6.430,650.912,0.099009
6.440,599.306,0.061386
6.450,602.811,0.024964
6.460,323.802,0.031149
6.470,331.336,0.040441
6.480,428.886,0.076812
6.490,400.177,0.120943
6.500,400.736,0.062480
