time,frequency,confidence
0.000,543.182,0.411765
0.010,522.981,0.730173
0.020,518.669,0.923711
0.030,516.791,0.939088
0.040,516.399,0.941442
0.050,516.935,0.938841
0.060,516.831,0.942776
0.070,517.147,0.937282
0.080,517.443,0.928122
0.090,517.042,0.925659
0.100,517.238,0.920297
0.110,517.854,0.916491
0.120,517.745,0.917767
0.130,518.182,0.905319
0.140,518.529,0.889620
0.150,518.408,0.892225
0.160,518.642,0.872936
0.170,518.816,0.906295
0.180,518.283,0.909871
0.190,518.409,0.899806
0.200,517.296,0.895767
0.210,516.859,0.886744
0.220,517.391,0.858123
0.230,517.382,0.859491
0.240,518.063,0.853566
0.250,519.313,0.803523
0.260,520.155,0.763631
0.270,521.405,0.718031
0.280,521.329,0.737052
0.290,520.354,0.821106
0.300,520.030,0.873076
0.310,520.256,0.904511
0.320,519.208,0.924440
0.330,518.596,0.920576
0.340,518.312,0.910473
0.350,518.376,0.916924
0.360,518.531,0.902815
0.370,518.882,0.894492
0.380,519.059,0.924592
0.390,519.347,0.931568
0.400,519.418,0.925348
0.410,518.289,0.930304
0.420,518.045,0.927571
0.430,517.943,0.910475
0.440,518.185,0.919070
0.450,518.799,0.910350
0.460,518.920,0.871477
0.470,518.483,0.886526
0.480,519.173,0.902145
0.490,518.955,0.884471
0.500,517.075,0.846375
0.510,515.219,0.821760
0.520,515.735,0.790257
0.530,516.948,0.832825
0.540,518.119,0.840098
0.550,518.154,0.840352
0.560,518.337,0.843872
0.570,518.646,0.856567
0.580,518.859,0.857899
0.590,519.204,0.828582
0.600,520.633,0.643839
0.610,520.951,0.556017
0.620,521.561,0.580024
0.630,526.252,0.454353
0.640,530.640,0.417202
0.650,529.012,0.356429
0.660,528.380,0.319086
0.670,527.037,0.244597
0.680,525.702,0.250964
0.690,523.028,0.240466
0.700,524.024,0.312389
0.710,521.149,0.329767
0.720,519.806,0.182299
0.730,527.379,0.068956
0.740,521.468,0.071647
0.750,520.120,0.155743
0.760,528.731,0.146236
0.770,531.239,0.140993
0.780,530.794,0.181399
0.790,526.673,0.195606
0.800,525.974,0.270491
0.810,524.109,0.524093
0.820,523.739,0.500149
0.830,524.563,0.494240
0.840,527.008,0.278374
0.850,1578.806,0.188975
0.860,532.731,0.173314
0.870,536.670,0.194828
0.880,532.024,0.118582
0.890,596.810,0.092919
0.900,602.655,0.056339
0.910,601.167,0.036764
0.920,304.799,0.046767
0.930,400.327,0.070784
0.940,410.512,0.097328
0.950,327.667,0.068216
0.960,650.698,0.098017
0.970,644.984,0.101410
0.980,583.393,0.182225
0.990,583.458,0.148236
1.000,583.030,0.131825
1.010,649.714,0.109942
1.020,598.264,0.071854
1.030,603.094,0.029295
1.040,308.954,0.031442
1.050,322.622,0.038418
1.060,330.950,0.040562
1.070,331.520,0.043182
1.080,430.027,0.132525
1.090,430.381,0.118053
1.100,305.331,0.061588
1.110,327.477,0.047896
1.120,416.211,0.097842
1.130,646.776,0.081219
1.140,650.411,0.083045
1.150,700.576,0.051909
1.160,579.219,0.104818
1.170,585.932,0.118237
1.180,1593.709,0.095411
1.190,1605.978,0.051782
1.200,572.260,0.069037
1.210,573.322,0.144346
1.220,589.279,0.113378
1.230,597.162,0.093804
1.240,602.110,0.052840
1.250,601.523,0.029667
1.260,305.282,0.055786
1.270,327.522,0.045746
1.280,330.617,0.059406
1.290,328.628,0.048285
1.300,427.340,0.079279
1.310,646.876,0.184605
1.320,659.875,0.077402
1.330,662.080,0.042902
1.340,335.293,0.052203
1.350,1978.555,0.028812
1.360,657.113,0.123650
1.370,635.605,0.166084
1.380,578.504,0.144897
1.390,593.391,0.119790
1.400,593.132,0.103307
1.410,395.905,0.172125
1.420,585.131,0.106217
1.430,583.714,0.120707
1.440,589.236,0.128222
1.450,596.820,0.101613
1.460,598.524,0.058761
1.470,597.371,0.049179
1.480,430.137,0.055021
1.490,305.767,0.055724
1.500,625.926,0.131683
1.510,625.103,0.062615
1.520,594.051,0.047714
1.530,595.639,0.119280
1.540,595.048,0.153290
1.550,394.947,0.242084
1.560,393.327,0.194614
1.570,778.574,0.101884
1.580,589.451,0.104227
1.590,598.680,0.060041
1.600,309.436,0.020959
1.610,310.084,0.032035
1.620,322.960,0.031093
1.630,331.598,0.022940
1.640,429.673,0.031302
1.650,429.758,0.095873
1.660,328.171,0.112674
1.670,329.654,0.069280
1.680,410.689,0.065064
1.690,410.756,0.075738
1.700,332.702,0.094177
1.710,327.891,0.088671
1.720,327.836,0.079852
1.730,324.541,0.071301
