time,frequency,confidence
0.000,546.773,0.035795
0.010,185.092,0.192605
0.020,195.044,0.527288
0.030,195.548,0.748437
0.040,195.025,0.880753
0.050,194.810,0.921885
0.060,194.333,0.911498
0.070,193.685,0.895144
0.080,193.755,0.907153
0.090,194.049,0.923750
0.100,194.309,0.926655
0.110,194.158,0.923275
0.120,194.256,0.926010
0.130,194.490,0.931533
0.140,194.431,0.919832
0.150,194.327,0.880030
0.160,194.184,0.838306
0.170,194.272,0.814556
0.180,194.587,0.811432
0.190,194.745,0.828090
0.200,194.841,0.861436
0.210,194.529,0.891645
0.220,194.351,0.899370
0.230,194.397,0.895603
0.240,194.587,0.887481
0.250,194.543,0.888728
0.260,194.592,0.889685
0.270,194.627,0.889450
0.280,194.330,0.866254
0.290,194.265,0.833308
0.300,194.445,0.831289
0.310,194.572,0.835453
0.320,194.499,0.826176
0.330,194.232,0.864726
0.340,194.412,0.901605
0.350,194.327,0.879401
0.360,194.617,0.858126
0.370,194.782,0.843266
0.380,194.765,0.841966
0.390,194.882,0.848983
0.400,194.543,0.817011
0.410,194.011,0.796401
0.420,194.443,0.803344
0.430,194.826,0.775480
0.440,194.574,0.772259
0.450,194.138,0.836998
0.460,194.231,0.886398
0.470,194.387,0.910832
0.480,194.402,0.909822
0.490,194.692,0.906502
0.500,194.475,0.901914
0.510,194.120,0.894180
0.520,193.872,0.873488
0.530,193.601,0.826571
0.540,194.216,0.849376
0.550,194.431,0.851316
0.560,194.236,0.845364
0.570,194.129,0.885812
0.580,194.147,0.903322
0.590,194.060,0.905426
0.600,194.001,0.928496
0.610,193.602,0.910039
0.620,193.303,0.886127
0.630,193.545,0.897687
0.640,193.530,0.887527
0.650,193.864,0.898820
0.660,193.984,0.886202
0.670,194.126,0.875947
0.680,194.039,0.851977
0.690,193.797,0.800410
0.700,193.572,0.781888
0.710,194.044,0.736554
0.720,194.418,0.618866
0.730,389.725,0.463845
0.740,389.738,0.521208
0.750,389.209,0.594745
0.760,389.337,0.539957
0.770,193.849,0.488835
0.780,193.440,0.573967
0.790,193.296,0.599154
0.800,193.744,0.560939
0.810,194.182,0.532524
0.820,194.055,0.331457
0.830,389.963,0.211011
0.840,581.124,0.296695
0.850,194.050,0.377333
0.860,193.622,0.662980
0.870,193.729,0.769057
0.880,193.999,0.807237
0.890,194.122,0.800043
0.900,193.704,0.676545
0.910,193.736,0.427912
0.920,194.176,0.557537
0.930,194.067,0.630771
0.940,193.723,0.545261
0.950,193.881,0.547876
0.960,194.475,0.554108
0.970,194.584,0.438395
0.980,194.276,0.505068
0.990,194.051,0.683732
1.000,193.925,0.768677
1.010,194.107,0.737856
1.020,194.285,0.712375
1.030,194.205,0.596249
1.040,193.491,0.276926
1.050,192.969,0.211643
1.060,582.891,0.304221
1.070,391.809,0.286132
1.080,194.605,0.605961
1.090,194.162,0.792178
1.100,194.139,0.868230
1.110,194.144,0.853170
1.120,194.191,0.855183
1.130,194.407,0.856527
1.140,194.285,0.857556
1.150,193.866,0.780254
1.160,193.832,0.690750
1.170,194.216,0.674940
1.180,194.734,0.598192
1.190,194.627,0.638703
1.200,194.235,0.648252
1.210,193.625,0.527180
1.220,192.547,0.481729
1.230,192.171,0.334134
1.240,192.606,0.217960
1.250,194.004,0.381345
1.260,194.247,0.671577
1.270,193.638,0.728992
1.280,193.705,0.765092
1.290,194.210,0.829128
1.300,194.188,0.855783
1.310,194.147,0.866523
1.320,194.229,0.858538
1.330,194.095,0.803539
1.340,194.110,0.693512
1.350,194.132,0.507473
1.360,193.948,0.560703
1.370,193.501,0.504500
1.380,193.130,0.204359
1.390,579.073,0.152583
1.400,582.957,0.239537
1.410,194.843,0.246603
1.420,194.234,0.494950
1.430,194.005,0.656919
1.440,194.084,0.785728
1.450,194.334,0.833583
1.460,194.351,0.844202
1.470,194.294,0.862640
1.480,194.031,0.778842
1.490,193.922,0.562772
1.500,193.688,0.422982
1.510,194.371,0.402601
1.520,195.151,0.602770
1.530,194.643,0.748619
1.540,193.934,0.664369
1.550,192.461,0.560142
1.560,190.999,0.407213
1.570,386.639,0.287940
1.580,388.953,0.359222
1.590,389.850,0.342458
1.600,396.143,0.169097
1.610,642.612,0.096606
1.620,578.962,0.162053
1.630,584.235,0.245133
1.640,584.845,0.181582
1.650,394.282,0.196761
1.660,583.060,0.143119
1.670,394.460,0.158235
1.680,391.685,0.208140
1.690,388.266,0.203369
1.700,386.939,0.124869
1.710,387.440,0.065593
1.720,397.108,0.069832
1.730,398.121,0.105748
1.740,194.426,0.288784
1.750,193.909,0.568383
1.760,193.610,0.505944
1.770,192.381,0.295781
1.780,386.169,0.094332
1.790,385.597,0.087968
1.800,385.781,0.117502
1.810,386.591,0.086771
1.820,386.691,0.069782
1.830,387.548,0.044609
1.840,388.651,0.038986
1.850,398.124,0.059266
1.860,397.739,0.137509
1.870,194.345,0.262726
1.880,194.124,0.607347
1.890,194.495,0.689831
1.900,194.695,0.492898
1.910,193.514,0.239048
1.920,578.153,0.161410
1.930,582.450,0.184705
1.940,588.059,0.187834
1.950,394.190,0.198150
1.960,390.502,0.315563
1.970,387.044,0.373722
1.980,386.151,0.408465
1.990,390.769,0.287195
2.000,397.369,0.133651
2.010,635.141,0.095411
2.020,577.844,0.139141
2.030,584.621,0.198574
2.040,586.004,0.140426
2.050,392.448,0.203872
2.060,392.042,0.185137
2.070,394.315,0.210082
2.080,395.987,0.190200
2.090,391.872,0.070672
2.100,244.448,0.030660
2.110,383.478,0.019282
2.120,387.044,0.036301
2.130,397.333,0.085404
2.140,399.061,0.115521
2.150,397.960,0.101119
2.160,424.272,0.089869
2.170,579.269,0.146456
2.180,588.082,0.220032
2.190,394.598,0.164992
2.200,388.617,0.151417
2.210,386.091,0.157173
2.220,386.375,0.196149
2.230,389.687,0.313636
2.240,391.648,0.234484
2.250,393.621,0.086688
2.260,641.725,0.157040
2.270,576.806,0.110046
2.280,579.851,0.153513
2.290,584.823,0.146146
2.300,582.621,0.138087
2.310,584.330,0.133525
2.320,394.975,0.107503
2.330,394.614,0.061338
2.340,394.520,0.043461
2.350,386.911,0.031872
2.360,396.225,0.037831
2.370,398.122,0.060323
2.380,400.764,0.056982
2.390,428.492,0.106328
2.400,394.500,0.146605
2.410,390.705,0.330016
2.420,391.886,0.192308
2.430,392.605,0.049881
2.440,244.620,0.023502
2.450,308.604,0.016887
2.460,322.981,0.012599
2.470,325.238,0.013894
2.480,426.611,0.017987
2.490,428.632,0.084690
2.500,389.791,0.227777
2.510,388.539,0.390303
2.520,389.830,0.283137
2.530,391.676,0.104267
2.540,656.101,0.081826
2.550,578.388,0.109903
2.560,583.991,0.165294
2.570,584.227,0.140897
2.580,589.327,0.129814
2.590,393.991,0.265076
2.600,392.152,0.281211
2.610,393.237,0.146176
2.620,244.131,0.035794
2.630,244.663,0.024037
2.640,383.695,0.042336
2.650,389.227,0.082726
2.660,391.103,0.133846
2.670,391.661,0.183984
2.680,398.365,0.093458
2.690,654.687,0.065098
2.700,640.920,0.147222
2.710,577.449,0.147344
2.720,583.859,0.151624
2.730,584.689,0.096308
2.740,591.764,0.084502
2.750,592.812,0.100265
2.760,393.554,0.126938
2.770,392.322,0.160063
2.780,392.702,0.189080
2.790,392.454,0.172695
2.800,392.827,0.140420
2.810,390.986,0.205604
2.820,393.250,0.265057
2.830,392.046,0.095241
2.840,244.459,0.033849
2.850,396.639,0.023696
2.860,396.999,0.056133
2.870,399.589,0.075903
2.880,634.324,0.056351
2.890,633.388,0.085868
2.900,584.868,0.135064
2.910,590.530,0.154913
2.920,393.373,0.181434
2.930,389.451,0.416912
2.940,389.623,0.711234
2.950,389.361,0.479910
2.960,387.068,0.479746
2.970,392.511,0.217509
2.980,391.349,0.140369
2.990,382.921,0.101105
3.000,387.454,0.048469
3.010,390.720,0.099146
3.020,397.529,0.093921
3.030,398.424,0.067383
3.040,578.776,0.078723
3.050,579.060,0.133793
3.060,583.928,0.155173
3.070,584.286,0.155602
3.080,395.198,0.163773
3.090,394.019,0.221355
3.100,390.635,0.259739
3.110,389.607,0.336231
3.120,388.791,0.253201
3.130,390.588,0.099991
3.140,397.753,0.053412
3.150,656.141,0.050826
3.160,643.191,0.054457
3.170,582.315,0.098209
3.180,583.617,0.110998
3.190,596.514,0.084235
3.200,396.363,0.052679
3.210,602.332,0.031135
3.220,305.277,0.029971
3.230,327.624,0.047248
3.240,327.744,0.071167
3.250,327.186,0.059912
3.260,643.774,0.056456
3.270,583.572,0.102997
3.280,583.574,0.156106
3.290,584.194,0.132232
3.300,536.899,0.128947
3.310,583.355,0.107600
3.320,592.034,0.108202
3.330,393.427,0.069587
3.340,324.118,0.027516
3.350,323.990,0.036734
3.360,323.192,0.037444
3.370,324.593,0.025985
3.380,427.661,0.048552
3.390,429.064,0.225535
3.400,388.732,0.288014
3.410,388.595,0.231685
3.420,389.266,0.113856
3.430,390.020,0.057925
3.440,394.498,0.088996
3.450,393.336,0.066079
3.460,392.065,0.056291
3.470,396.138,0.073316
3.480,397.174,0.098037
3.490,1978.768,0.024649
3.500,658.113,0.123205
3.510,641.461,0.111194
3.520,577.996,0.183061
3.530,583.901,0.163296
3.540,588.968,0.136236
3.550,597.004,0.103024
3.560,603.479,0.050750
3.570,603.299,0.031112
3.580,430.525,0.032197
3.590,328.489,0.055932
3.600,399.500,0.106856
3.610,401.156,0.074252
3.620,415.571,0.059498
3.630,646.501,0.092260
3.640,646.430,0.121378
3.650,590.098,0.102198
3.660,396.353,0.095363
3.670,395.958,0.059515
3.680,544.848,0.043976
3.690,466.598,0.038702
3.700,398.868,0.059146
3.710,400.037,0.089106
3.720,415.032,0.078006
3.730,415.687,0.066929
3.740,648.103,0.117120
3.750,584.016,0.099630
3.760,583.359,0.164274
3.770,583.766,0.148629
3.780,645.593,0.113460
3.790,597.856,0.069793
3.800,597.204,0.050554
3.810,430.468,0.052554
3.820,399.389,0.080518
3.830,401.100,0.072743
3.840,652.300,0.060921
3.850,648.611,0.125524
3.860,582.581,0.114071
3.870,582.477,0.184607
3.880,582.449,0.174824
3.890,590.440,0.124004
3.900,597.135,0.085848
3.910,597.612,0.057028
3.920,601.686,0.040674
3.930,429.707,0.044559
3.940,327.881,0.062737
3.950,327.504,0.059790
3.960,646.118,0.073246
3.970,579.153,0.107985
3.980,583.309,0.187716
3.990,584.701,0.149734
4.000,583.931,0.136105
4.010,650.289,0.136868
4.020,650.619,0.117602
4.030,597.194,0.071365
4.040,596.660,0.056295
4.050,465.868,0.036627
4.060,400.304,0.053820
4.070,327.399,0.060879
4.080,650.461,0.076079
4.090,644.049,0.089034
4.100,583.599,0.160045
4.110,584.969,0.156997
4.120,584.231,0.116346
4.130,589.570,0.120027
4.140,596.787,0.106155
4.150,597.803,0.066428
4.160,597.550,0.054093
4.170,430.580,0.037870
4.180,400.585,0.069345
4.190,414.110,0.074370
4.200,651.145,0.073012
4.210,648.572,0.132264
4.220,582.961,0.119401
4.230,583.767,0.153191
4.240,590.848,0.091977
4.250,598.160,0.070266
4.260,602.195,0.046823
4.270,578.434,0.029321
4.280,304.873,0.051495
4.290,328.203,0.081853
4.300,327.544,0.073712
4.310,327.391,0.060319
4.320,644.252,0.095307
4.330,584.746,0.181794
4.340,590.426,0.202589
4.350,394.377,0.116574
4.360,396.223,0.106222
4.370,596.080,0.074264
4.380,243.543,0.060297
4.390,304.775,0.077921
4.400,305.099,0.053101
4.410,331.203,0.050932
4.420,330.879,0.062599
4.430,328.631,0.065185
4.440,427.881,0.124588
4.450,647.680,0.074690
4.460,1970.062,0.027762
4.470,1027.080,0.025722
4.480,1981.455,0.033274
4.490,1984.194,0.099184
4.500,626.819,0.089453
4.510,632.946,0.159329
4.520,579.233,0.055153
4.530,593.108,0.066982
4.540,593.922,0.060823
4.550,393.757,0.080188
4.560,394.440,0.238023
4.570,394.764,0.275445
4.580,530.925,0.123402
4.590,589.200,0.114999
4.600,596.205,0.114413
4.610,597.670,0.066556
4.620,598.560,0.052965
4.630,602.088,0.041700
4.640,305.040,0.054633
4.650,399.240,0.065219
4.660,399.899,0.071134
4.670,1962.878,0.050285
4.680,1971.280,0.072048
4.690,1974.034,0.090081
4.700,399.518,0.066678
4.710,656.995,0.063064
4.720,645.488,0.134645
4.730,578.367,0.101629
4.740,584.375,0.161115
4.750,592.400,0.117113
4.760,593.076,0.103154
4.770,594.645,0.117212
4.780,595.490,0.115993
4.790,652.520,0.119232
4.800,596.538,0.077693
4.810,596.843,0.089655
4.820,603.588,0.064745
4.830,304.422,0.058230
4.840,327.659,0.042483
4.850,328.553,0.034422
4.860,532.069,0.047288
4.870,646.108,0.151622
4.880,652.785,0.105704
4.890,597.949,0.074695
4.900,602.678,0.053476
4.910,430.519,0.036585
4.920,399.739,0.068098
4.930,400.713,0.109731
4.940,398.985,0.058594
4.950,1974.321,0.085195
4.960,1979.007,0.058216
4.970,658.788,0.062639
4.980,646.876,0.122259
4.990,633.269,0.106491
5.000,584.750,0.179405
5.010,595.182,0.159263
5.020,596.064,0.109046
5.030,653.046,0.115693
5.040,594.769,0.121805
5.050,1034.875,0.031340
5.060,32.439,0.077815
5.070,97.394,0.052550
5.080,308.294,0.058240
5.090,309.810,0.045518
5.100,323.009,0.030847
5.110,331.656,0.028461
5.120,331.894,0.044671
5.130,331.414,0.068360
5.140,428.799,0.126037
5.150,429.170,0.108792
5.160,1972.283,0.079607
5.170,660.362,0.068648
5.180,658.444,0.120858
5.190,634.618,0.130419
5.200,579.038,0.123331
5.210,593.484,0.098897
5.220,594.220,0.096302
5.230,395.596,0.243610
5.240,395.515,0.231609
5.250,584.520,0.141011
5.260,593.379,0.119529
5.270,595.839,0.138986
5.280,651.240,0.122512
5.290,98.673,0.122267
5.300,589.110,0.062247
5.310,698.323,0.031078
5.320,32.520,0.020399
5.330,599.010,0.051440
5.340,578.703,0.028862
5.350,323.590,0.041035
5.360,327.829,0.079219
5.370,400.089,0.076961
5.380,332.580,0.087902
5.390,326.659,0.089003
5.400,633.157,0.050553
5.410,579.134,0.069168
5.420,585.184,0.130057
5.430,592.260,0.118898
5.440,397.811,0.116886
5.450,593.394,0.099584
5.460,594.625,0.110400
5.470,650.785,0.120663
5.480,598.141,0.071032
5.490,597.643,0.058442
5.500,431.119,0.050916
5.510,332.933,0.081383
5.520,332.644,0.058059
5.530,327.253,0.063064
5.540,645.520,0.060289
5.550,579.014,0.089162
5.560,584.241,0.176522
5.570,586.415,0.165907
5.580,596.045,0.143869
5.590,651.485,0.105778
5.600,599.366,0.084874
5.610,624.658,0.134323
5.620,626.584,0.124144
5.630,579.670,0.083424
5.640,585.687,0.089053
5.650,591.877,0.109754
5.660,398.294,0.066296
5.670,593.678,0.086862
5.680,396.552,0.137703
5.690,395.598,0.228148
5.700,590.001,0.174836
5.710,1568.942,0.194673
5.720,1577.993,0.117715
5.730,595.588,0.081123
5.740,600.214,0.059476
5.750,538.194,0.043903
5.760,305.023,0.040166
5.770,327.593,0.038629
5.780,330.803,0.055507
5.790,427.520,0.064362
5.800,645.532,0.127796
5.810,652.639,0.132359
5.820,1024.357,0.032419
5.830,660.656,0.065522
5.840,659.486,0.096571
5.850,647.778,0.146049
5.860,640.121,0.114429
5.870,583.041,0.184857
5.880,585.727,0.126254
5.890,593.118,0.104174
5.900,585.527,0.102287
5.910,589.867,0.090192
5.920,653.176,0.077901
5.930,597.925,0.080978
5.940,600.965,0.050616
5.950,304.622,0.044577
5.960,304.885,0.056482
5.970,327.689,0.042603
5.980,331.173,0.051587
5.990,429.368,0.078094
6.000,429.599,0.124991
6.010,651.755,0.085283
6.020,305.762,0.047703
6.030,328.117,0.078364
6.040,398.949,0.101995
6.050,1976.201,0.035345
6.060,638.231,0.119895
6.070,634.554,0.126450
6.080,579.635,0.121475
6.090,592.427,0.097115
6.100,593.109,0.074375
6.110,396.626,0.155252
6.120,395.770,0.210921
6.130,397.232,0.119817
6.140,593.501,0.116071
6.150,596.157,0.091103
6.160,598.768,0.042812
6.170,327.593,0.032241
6.180,324.090,0.033319
6.190,331.069,0.050920
6.200,413.031,0.059956
6.210,428.861,0.144644
