time,frequency,confidence
0.000,546.646,0.093678
0.010,547.925,0.112729
0.020,218.304,0.220419
0.030,220.096,0.546541
0.040,219.937,0.567074
0.050,109.294,0.724464
0.060,108.938,0.807281
0.070,108.528,0.785727
0.080,108.187,0.797996
0.090,107.762,0.820659
0.100,107.743,0.808192
0.110,107.690,0.814988
0.120,107.644,0.818598
0.130,107.809,0.835790
0.140,107.694,0.837544
0.150,107.588,0.850819
0.160,107.773,0.865364
0.170,107.813,0.867983
0.180,107.676,0.865054
0.190,107.709,0.868285
0.200,107.800,0.852550
0.210,107.811,0.867758
0.220,107.717,0.882219
0.230,107.938,0.874115
0.240,108.064,0.868179
0.250,107.980,0.864640
0.260,107.979,0.860906
0.270,108.135,0.848050
0.280,108.038,0.847185
0.290,107.953,0.857379
0.300,107.997,0.880599
0.310,108.034,0.887494
0.320,108.069,0.893416
0.330,108.171,0.896649
0.340,108.245,0.895264
0.350,108.261,0.889439
0.360,108.316,0.873140
0.370,108.307,0.875678
0.380,108.461,0.880884
0.390,108.515,0.889450
0.400,108.305,0.883768
0.410,108.173,0.883661
0.420,108.455,0.873646
0.430,108.340,0.867438
0.440,108.193,0.876462
0.450,108.427,0.872928
0.460,108.460,0.873091
0.470,108.424,0.868201
0.480,108.253,0.871580
0.490,108.347,0.859697
0.500,108.594,0.882686
0.510,108.550,0.874375
0.520,108.418,0.868158
0.530,108.446,0.865317
0.540,108.543,0.866781
0.550,108.482,0.854939
0.560,108.504,0.873696
0.570,108.552,0.881505
0.580,108.502,0.869043
0.590,108.276,0.880995
0.600,108.197,0.896042
0.610,108.211,0.899987
0.620,108.208,0.903662
0.630,108.378,0.890127
0.640,108.515,0.898256
0.650,108.550,0.899664
0.660,108.522,0.888281
0.670,108.472,0.878227
0.680,108.548,0.888781
0.690,108.608,0.876931
0.700,108.568,0.880903
0.710,108.470,0.870918
0.720,108.249,0.885684
0.730,108.242,0.885140
0.740,108.481,0.863721
0.750,108.672,0.851563
0.760,108.808,0.841802
0.770,108.683,0.822032
0.780,108.408,0.827655
0.790,108.206,0.851571
0.800,108.393,0.879953
0.810,108.281,0.875004
0.820,108.306,0.888829
0.830,108.347,0.893770
0.840,108.326,0.887922
0.850,108.401,0.881431
0.860,108.574,0.862818
0.870,108.641,0.848190
0.880,108.750,0.835724
0.890,108.714,0.812450
0.900,108.609,0.790016
0.910,108.582,0.803188
0.920,108.449,0.837670
0.930,108.401,0.869570
0.940,108.310,0.884411
0.950,108.357,0.882753
0.960,108.563,0.879591
0.970,108.492,0.833067
0.980,108.559,0.807978
0.990,108.625,0.765998
1.000,108.567,0.713608
1.010,108.644,0.703932
1.020,108.511,0.668916
1.030,108.067,0.700748
1.040,107.967,0.703394
1.050,108.082,0.779061
1.060,107.892,0.824320
1.070,108.037,0.842210
1.080,108.218,0.856965
1.090,108.174,0.883554
1.100,108.146,0.895804
1.110,108.344,0.882126
1.120,108.405,0.876186
1.130,108.311,0.860135
1.140,108.183,0.844259
1.150,108.126,0.839312
1.160,108.070,0.809429
1.170,108.082,0.808064
1.180,107.980,0.817743
1.190,108.051,0.764924
1.200,108.253,0.719575
1.210,107.739,0.557626
1.220,108.187,0.586764
1.230,108.233,0.558944
1.240,107.959,0.554917
1.250,108.021,0.640695
1.260,108.266,0.700844
1.270,108.398,0.751416
1.280,108.247,0.768334
1.290,108.151,0.811645
1.300,108.239,0.840105
1.310,108.185,0.876795
1.320,108.050,0.878354
1.330,108.121,0.873835
1.340,108.117,0.877532
1.350,108.284,0.861757
1.360,108.429,0.849044
1.370,108.497,0.837091
1.380,108.292,0.819719
1.390,108.201,0.810596
1.400,108.073,0.826381
1.410,107.916,0.824167
1.420,108.014,0.834342
