time,frequency,confidence
0.000,549.745,0.050799
0.010,545.747,0.041374
0.020,547.682,0.094855
0.030,270.607,0.374504
0.040,259.766,0.514642
0.050,260.450,0.827518
0.060,259.917,0.934387
0.070,259.796,0.955402
0.080,259.996,0.957582
0.090,259.898,0.960264
0.100,260.087,0.956798
0.110,260.095,0.958266
0.120,259.800,0.962769
0.130,259.840,0.963656
0.140,259.718,0.965870
0.150,259.865,0.961515
0.160,260.050,0.956565
0.170,259.952,0.958124
0.180,260.098,0.956476
0.190,259.840,0.963793
0.200,259.915,0.960288
0.210,259.969,0.957049
0.220,260.053,0.956641
0.230,260.218,0.952472
0.240,260.102,0.959799
0.250,260.057,0.958979
0.260,259.833,0.960623
0.270,259.831,0.962586
0.280,260.121,0.952708
0.290,260.151,0.955315
0.300,260.290,0.947640
0.310,260.213,0.944138
0.320,260.170,0.944368
0.330,260.383,0.931895
0.340,260.440,0.937090
0.350,260.170,0.933609
0.360,259.775,0.937403
0.370,259.493,0.935175
0.380,259.613,0.935982
0.390,259.667,0.935907
0.400,260.012,0.922085
0.410,259.942,0.932923
0.420,259.976,0.945573
0.430,260.026,0.952799
0.440,259.915,0.960182
0.450,260.047,0.952906
0.460,259.993,0.951744
0.470,260.089,0.946983
0.480,260.229,0.945677
0.490,260.180,0.933070
0.500,260.298,0.903758
0.510,260.703,0.873069
0.520,261.076,0.834287
0.530,261.418,0.840306
0.540,261.409,0.828820
0.550,260.900,0.814553
0.560,260.555,0.862330
0.570,260.210,0.858282
0.580,259.797,0.812541
0.590,259.065,0.755022
0.600,259.032,0.794647
0.610,259.144,0.845265
0.620,259.993,0.859272
0.630,259.882,0.895937
0.640,260.389,0.909663
0.650,260.528,0.916916
0.660,260.418,0.906289
0.670,260.510,0.898011
0.680,260.020,0.880775
0.690,260.401,0.809817
0.700,260.565,0.736872
0.710,260.114,0.752099
0.720,259.954,0.712682
0.730,259.920,0.633814
0.740,260.448,0.487174
0.750,261.734,0.484381
0.760,261.710,0.446268
0.770,260.626,0.420722
0.780,259.854,0.685908
0.790,260.230,0.803055
0.800,259.578,0.845329
0.810,259.385,0.813246
0.820,259.562,0.751688
0.830,259.138,0.785862
0.840,259.336,0.837638
0.850,258.655,0.815782
0.860,258.515,0.801116
0.870,258.905,0.796855
0.880,258.617,0.770785
0.890,259.236,0.816196
0.900,259.471,0.846159
0.910,260.150,0.854891
0.920,260.847,0.811814
