time,frequency,confidence
0.000,1982.376,0.108824
0.010,1979.909,0.120812
0.020,398.265,0.046300
0.030,306.265,0.056568
0.040,1040.144,0.213326
0.050,520.357,0.727368
0.060,520.805,0.900501
0.070,520.799,0.902153
0.080,520.687,0.936321
0.090,520.479,0.933104
0.100,520.419,0.932117
0.110,520.249,0.929600
0.120,520.125,0.919328
0.130,520.203,0.911887
0.140,519.528,0.916064
0.150,519.162,0.905770
0.160,519.385,0.908965
0.170,518.838,0.906436
0.180,518.666,0.898429
0.190,519.356,0.882145
0.200,519.706,0.844369
0.210,520.079,0.841090
0.220,520.529,0.849025
0.230,521.680,0.841417
0.240,521.918,0.814921
0.250,520.482,0.823262
0.260,520.045,0.864730
0.270,520.779,0.906599
0.280,520.608,0.928440
0.290,520.170,0.935699
0.300,519.674,0.940026
0.310,518.879,0.935873
0.320,518.974,0.931870
0.330,519.395,0.928110
0.340,519.202,0.920338
0.350,519.721,0.912695
0.360,520.223,0.911489
0.370,520.961,0.879560
0.380,521.986,0.839288
0.390,521.582,0.846654
0.400,521.078,0.870232
0.410,520.351,0.883487
0.420,518.674,0.868441
0.430,517.871,0.807951
0.440,517.393,0.775922
0.450,516.883,0.762444
0.460,517.213,0.758690
0.470,516.959,0.806510
0.480,517.229,0.855662
0.490,518.101,0.859547
0.500,519.246,0.864684
0.510,519.500,0.862818
0.520,520.108,0.865383
0.530,520.627,0.910770
0.540,520.949,0.913275
0.550,520.634,0.910790
0.560,520.439,0.896027
0.570,520.983,0.826625
0.580,522.649,0.708276
0.590,523.227,0.660773
0.600,523.536,0.662856
0.610,523.503,0.646792
0.620,519.978,0.543914
0.630,518.598,0.373556
0.640,517.594,0.254394
0.650,513.218,0.201499
0.660,515.933,0.145148
0.670,525.332,0.135224
0.680,529.671,0.149933
0.690,527.544,0.196152
0.700,525.842,0.232554
0.710,525.732,0.238341
0.720,525.237,0.363858
0.730,523.907,0.533190
0.740,523.770,0.616404
0.750,521.626,0.581289
0.760,522.428,0.414692
0.770,520.052,0.436107
0.780,520.165,0.338561
0.790,522.577,0.253386
0.800,523.162,0.274920
0.810,522.247,0.362910
0.820,521.720,0.390250
0.830,523.744,0.327147
0.840,520.778,0.157287
0.850,520.078,0.072076
0.860,304.949,0.110580
0.870,514.300,0.098425
0.880,514.670,0.124526
0.890,515.932,0.233762
0.900,518.167,0.306565
0.910,517.988,0.421097
0.920,519.185,0.642136
0.930,519.770,0.712358
0.940,524.006,0.606688
0.950,527.131,0.434670
0.960,527.757,0.312502
0.970,526.078,0.214321
0.980,528.965,0.195953
0.990,525.174,0.458667
1.000,524.180,0.506396
1.010,525.956,0.518509
1.020,528.034,0.363253
1.030,526.194,0.252510
1.040,526.190,0.153694
1.050,527.813,0.048551
1.060,305.126,0.051650
1.070,305.484,0.071179
1.080,431.869,0.058045
1.090,429.580,0.089426
1.100,429.521,0.108426
1.110,518.427,0.131960
1.120,524.539,0.128250
1.130,530.106,0.161351
1.140,583.226,0.204099
1.150,525.752,0.281760
1.160,522.194,0.372029
1.170,520.563,0.515516
1.180,520.437,0.452837
1.190,519.509,0.386319
1.200,517.572,0.293326
1.210,513.225,0.176093
1.220,508.194,0.208131
1.230,518.162,0.142826
1.240,527.057,0.123523
1.250,526.478,0.145201
1.260,527.728,0.156912
1.270,528.090,0.260238
1.280,527.111,0.280447
1.290,525.629,0.186802
1.300,528.071,0.107422
1.310,528.148,0.090011
1.320,515.022,0.070846
1.330,502.224,0.074361
1.340,499.434,0.078437
1.350,415.205,0.076514
1.360,634.931,0.079763
1.370,633.653,0.096974
1.380,583.788,0.135231
1.390,584.460,0.163724
1.400,585.265,0.124637
1.410,526.235,0.141221
1.420,526.294,0.137928
1.430,529.643,0.116915
1.440,596.794,0.073460
1.450,597.222,0.063072
1.460,530.799,0.058389
1.470,514.077,0.078067
1.480,512.795,0.082476
1.490,522.052,0.057392
1.500,637.993,0.100526
1.510,531.125,0.119020
1.520,582.238,0.160474
1.530,583.812,0.153573
1.540,529.473,0.149395
1.550,525.438,0.153166
1.560,529.845,0.146635
1.570,530.352,0.060264
1.580,531.393,0.030502
1.590,309.868,0.050591
1.600,323.881,0.043816
1.610,339.155,0.042465
1.620,429.886,0.067043
1.630,430.676,0.210758
1.640,1969.760,0.071161
1.650,1974.286,0.081118
1.660,1975.881,0.033072
1.670,648.939,0.094864
1.680,581.263,0.116739
1.690,580.804,0.201497
1.700,587.850,0.133303
1.710,595.795,0.102137
1.720,597.764,0.060356
1.730,327.821,0.036777
1.740,340.142,0.053652
1.750,328.372,0.083520
1.760,428.725,0.093632
1.770,401.763,0.079054
1.780,644.723,0.092946
1.790,533.841,0.089249
1.800,583.203,0.145955
1.810,585.445,0.140704
1.820,594.503,0.128116
1.830,594.801,0.151181
1.840,395.404,0.189426
1.850,526.794,0.164497
1.860,1571.188,0.130892
1.870,589.330,0.058033
1.880,597.592,0.054854
1.890,601.128,0.035387
1.900,304.506,0.039743
1.910,327.873,0.060312
1.920,332.939,0.077558
1.930,327.788,0.076870
1.940,326.905,0.070002
1.950,634.802,0.075486
1.960,579.536,0.135198
1.970,584.719,0.159510
1.980,592.823,0.109057
1.990,594.092,0.133915
2.000,591.453,0.139543
2.010,591.592,0.086277
2.020,594.658,0.071608
2.030,536.495,0.075690
2.040,535.386,0.071039
2.050,461.895,0.063666
2.060,495.330,0.064611
2.070,326.953,0.061101
2.080,323.766,0.076488
2.090,538.233,0.052238
2.100,537.662,0.084488
2.110,584.875,0.091753
2.120,592.592,0.071217
2.130,397.708,0.084851
2.140,396.852,0.171779
2.150,395.934,0.172930
2.160,530.843,0.147298
2.170,588.868,0.108237
2.180,650.309,0.125176
2.190,649.423,0.077524
2.200,597.293,0.061911
2.210,429.924,0.052867
2.220,656.553,0.062648
2.230,656.233,0.112524
2.240,640.596,0.102084
2.250,579.311,0.176281
2.260,584.008,0.175575
2.270,535.231,0.115359
2.280,530.716,0.117537
2.290,595.303,0.147332
2.300,650.033,0.129188
2.310,652.530,0.107899
2.320,588.725,0.074880
2.330,528.626,0.098506
2.340,304.756,0.055695
2.350,305.275,0.036973
2.360,328.209,0.041301
2.370,430.104,0.080542
2.380,429.037,0.119523
2.390,325.563,0.080526
2.400,326.623,0.062580
2.410,333.416,0.071609
2.420,399.798,0.096287
2.430,399.007,0.107456
2.440,401.061,0.060707
2.450,656.999,0.072375
2.460,648.044,0.131107
2.470,583.270,0.149117
2.480,584.374,0.192417
2.490,646.396,0.108754
2.500,597.816,0.071212
2.510,602.805,0.051960
2.520,601.618,0.032603
2.530,429.752,0.058521
2.540,411.012,0.119022
2.550,402.604,0.058352
2.560,648.231,0.069417
2.570,698.406,0.123941
2.580,577.065,0.164990
2.590,582.404,0.154729
2.600,583.817,0.143774
2.610,536.635,0.130959
2.620,589.236,0.136930
2.630,596.986,0.117703
2.640,649.731,0.092990
2.650,651.642,0.100975
2.660,659.248,0.092690
2.670,660.114,0.092778
2.680,648.681,0.108916
2.690,582.672,0.094053
2.700,584.015,0.161423
2.710,590.897,0.090322
2.720,598.132,0.070893
2.730,601.285,0.050413
2.740,538.264,0.035749
2.750,304.350,0.064137
2.760,333.839,0.068035
2.770,333.019,0.092734
2.780,327.756,0.076167
2.790,328.171,0.046229
2.800,532.619,0.049130
2.810,584.749,0.124136
2.820,584.648,0.172136
2.830,590.396,0.129561
2.840,649.053,0.085885
2.850,598.187,0.063203
2.860,596.570,0.048130
2.870,430.661,0.056201
2.880,399.519,0.079592
2.890,657.387,0.066391
2.900,650.829,0.127096
2.910,639.671,0.096633
2.920,579.664,0.164854
2.930,584.782,0.146036
2.940,535.606,0.099742
2.950,593.387,0.123877
2.960,595.755,0.136884
2.970,651.171,0.170779
2.980,594.877,0.121136
2.990,584.797,0.078618
3.000,701.924,0.081433
3.010,575.953,0.144567
3.020,583.221,0.146583
3.030,582.811,0.150621
3.040,582.523,0.147042
3.050,651.615,0.107336
3.060,597.734,0.071445
3.070,322.617,0.024548
3.080,322.947,0.033798
3.090,324.716,0.045170
3.100,340.183,0.047873
3.110,429.624,0.059186
3.120,429.672,0.124229
3.130,399.626,0.102764
3.140,326.743,0.090289
3.150,324.239,0.047375
3.160,537.894,0.069840
3.170,585.205,0.131395
3.180,592.461,0.119846
3.190,398.208,0.106412
3.200,594.804,0.111733
3.210,650.747,0.118794
3.220,652.568,0.096449
3.230,652.394,0.074345
3.240,601.579,0.067830
3.250,536.912,0.053496
3.260,462.057,0.080710
3.270,468.975,0.052966
3.280,332.882,0.046918
3.290,332.847,0.068236
3.300,327.437,0.077962
3.310,324.547,0.076643
3.320,538.170,0.042065
3.330,538.062,0.084778
3.340,584.577,0.097848
3.350,592.896,0.073254
3.360,397.758,0.081443
3.370,396.722,0.155124
3.380,396.009,0.162897
3.390,592.928,0.114944
3.400,584.638,0.089438
3.410,650.942,0.121576
3.420,598.153,0.071611
3.430,603.893,0.058163
3.440,603.796,0.048236
3.450,415.778,0.066050
3.460,650.876,0.066991
3.470,649.169,0.097600
3.480,583.090,0.088621
3.490,583.196,0.156465
3.500,590.623,0.106465
3.510,650.633,0.079528
3.520,595.840,0.080546
3.530,539.117,0.059971
3.540,303.191,0.044505
3.550,333.236,0.045509
3.560,327.925,0.061407
3.570,327.278,0.063792
3.580,647.724,0.143848
3.590,583.201,0.152665
3.600,590.236,0.142668
3.610,596.675,0.095060
3.620,604.815,0.039000
3.630,327.520,0.039334
3.640,323.353,0.037775
3.650,325.274,0.030903
3.660,328.357,0.033496
3.670,645.387,0.145309
3.680,651.828,0.137965
3.690,634.401,0.117805
3.700,633.561,0.144419
3.710,632.990,0.126476
3.720,645.359,0.158558
3.730,658.535,0.141463
3.740,710.731,0.063237
3.750,106.636,0.027535
3.760,699.045,0.040931
3.770,1589.200,0.129382
3.780,633.415,0.062086
3.790,578.557,0.102383
3.800,593.876,0.109918
3.810,594.645,0.143908
3.820,395.536,0.178344
3.830,393.345,0.158782
3.840,584.499,0.118077
3.850,589.268,0.094042
3.860,649.844,0.087411
3.870,601.887,0.066738
3.880,538.280,0.053360
3.890,304.254,0.056494
3.900,304.687,0.071519
3.910,332.653,0.072842
3.920,328.129,0.079062
3.930,401.223,0.087142
3.940,327.378,0.082602
3.950,645.605,0.089963
3.960,578.750,0.088724
3.970,583.952,0.163137
3.980,585.114,0.157442
3.990,583.369,0.119534
4.000,584.318,0.120930
4.010,595.198,0.133091
4.020,597.911,0.085690
4.030,596.718,0.077716
4.040,531.666,0.072422
4.050,305.096,0.071959
4.060,306.043,0.086076
4.070,323.078,0.039415
4.080,339.521,0.028496
4.090,332.430,0.026357
4.100,332.014,0.048151
4.110,428.179,0.069903
4.120,328.050,0.103398
4.130,412.009,0.125467
4.140,1970.751,0.034989
4.150,660.842,0.013788
4.160,699.769,0.090253
4.170,575.578,0.094499
4.180,578.373,0.167395
4.190,584.930,0.133375
4.200,584.051,0.108462
4.210,593.010,0.106948
4.220,594.647,0.126644
4.230,597.098,0.093332
4.240,598.725,0.063759
4.250,602.034,0.033871
4.260,305.471,0.042279
4.270,304.840,0.051761
4.280,333.511,0.054858
4.290,330.892,0.057408
4.300,427.394,0.083796
4.310,327.584,0.107203
4.320,650.225,0.093067
4.330,643.870,0.136629
4.340,583.993,0.136442
4.350,593.759,0.182520
4.360,595.615,0.163946
4.370,651.586,0.204918
4.380,590.935,0.236217
4.390,587.346,0.125785
4.400,32.085,0.005915
4.410,634.511,0.052606
4.420,577.661,0.147739
4.430,583.787,0.161898
4.440,592.213,0.123571
4.450,592.916,0.094861
4.460,593.732,0.092389
4.470,650.099,0.119292
4.480,597.396,0.086300
4.490,604.099,0.038350
4.500,309.316,0.029404
4.510,322.122,0.038586
4.520,324.696,0.036919
4.530,339.891,0.035911
4.540,429.383,0.047466
4.550,429.391,0.090157
4.560,330.318,0.118481
