time,frequency,confidence
0.000,626.432,0.074206
0.010,538.203,0.058377
0.020,580.302,0.078943
0.030,592.750,0.119011
0.040,593.158,0.120996
0.050,397.089,0.132014
0.060,593.188,0.105170
0.070,526.457,0.101602
0.080,524.949,0.140254
0.090,523.969,0.111901
0.100,522.135,0.080169
0.110,519.272,0.072203
0.120,516.746,0.087732
0.130,513.388,0.120706
0.140,519.768,0.110031
0.150,524.364,0.115100
0.160,524.843,0.216281
0.170,523.937,0.381452
0.180,524.801,0.486585
0.190,525.186,0.450846
0.200,524.187,0.458562
0.210,521.340,0.564941
0.220,520.451,0.672167
0.230,520.652,0.669007
0.240,519.383,0.508391
0.250,516.284,0.348036
0.260,513.590,0.207656
0.270,512.695,0.129770
0.280,513.733,0.123799
0.290,1032.895,0.283262
0.300,1038.399,0.403946
0.310,1046.470,0.178787
0.320,532.843,0.240018
0.330,532.340,0.193083
0.340,529.806,0.162234
0.350,529.662,0.134174
0.360,525.653,0.217883
0.370,523.958,0.332045
0.380,524.045,0.498412
0.390,1048.671,0.355754
0.400,522.217,0.148818
0.410,516.170,0.068458
0.420,303.996,0.060068
0.430,304.624,0.078375
0.440,411.479,0.051610
0.450,330.968,0.066484
0.460,412.372,0.063985
0.470,417.054,0.055311
0.480,527.533,0.082441
0.490,1040.903,0.227420
0.500,527.545,0.240175
0.510,530.308,0.203862
0.520,529.582,0.219833
0.530,529.753,0.206335
0.540,535.237,0.167644
0.550,531.288,0.156016
0.560,594.698,0.126188
0.570,596.186,0.081882
0.580,596.773,0.058442
0.590,531.196,0.065073
0.600,518.887,0.093637
0.610,502.297,0.093846
0.620,495.275,0.054899
0.630,328.217,0.052185
0.640,328.421,0.054240
0.650,416.347,0.063670
0.660,427.991,0.070633
0.670,525.329,0.071768
0.680,525.772,0.204006
0.690,527.102,0.107943
0.700,596.117,0.061848
0.710,536.123,0.054009
0.720,304.120,0.052091
0.730,326.794,0.042158
0.740,532.605,0.041413
0.750,533.159,0.066082
0.760,585.793,0.142162
0.770,585.526,0.115908
0.780,582.786,0.130731
0.790,530.023,0.203996
0.800,531.041,0.185510
0.810,650.321,0.113266
0.820,597.444,0.079206
0.830,699.248,0.087028
0.840,582.570,0.082358
0.850,590.545,0.118066
0.860,597.209,0.081161
0.870,598.051,0.061038
0.880,596.631,0.039276
0.890,327.525,0.065264
0.900,415.738,0.083563
0.910,651.391,0.077160
0.920,659.257,0.121350
0.930,582.177,0.164890
0.940,584.878,0.164022
0.950,590.595,0.150846
0.960,596.418,0.099372
0.970,596.986,0.080524
0.980,596.481,0.067075
0.990,465.347,0.038614
1.000,508.165,0.046712
1.010,634.033,0.107791
1.020,537.617,0.074025
1.030,584.215,0.120881
1.040,585.809,0.135575
1.050,593.746,0.141952
1.060,594.904,0.159467
1.070,590.550,0.149541
1.080,777.473,0.115136
1.090,595.501,0.078862
1.100,598.297,0.064031
1.110,603.556,0.020689
1.120,323.926,0.029040
1.130,339.398,0.038856
1.140,429.242,0.054315
1.150,429.490,0.153417
1.160,429.639,0.073029
1.170,1970.842,0.060323
1.180,1974.896,0.054638
1.190,306.903,0.064161
1.200,626.011,0.091458
1.210,538.152,0.062118
1.220,594.304,0.107916
1.230,594.875,0.156190
1.240,593.897,0.161576
1.250,593.909,0.141008
1.260,584.217,0.154695
1.270,584.137,0.176905
1.280,644.574,0.143082
1.290,650.140,0.115149
1.300,657.688,0.124302
1.310,659.627,0.097859
1.320,690.249,0.080136
1.330,644.562,0.113336
1.340,581.438,0.133340
1.350,584.969,0.147832
1.360,596.364,0.112708
1.370,598.007,0.069005
1.380,602.844,0.050222
1.390,602.559,0.035688
1.400,415.778,0.039950
1.410,415.344,0.056012
1.420,647.708,0.129654
1.430,657.944,0.095938
1.440,589.800,0.126057
1.450,597.809,0.067874
1.460,321.607,0.032637
1.470,321.991,0.039245
1.480,324.075,0.043582
1.490,339.821,0.034988
1.500,339.357,0.030780
1.510,429.845,0.101649
1.520,429.522,0.130894
1.530,399.028,0.064249
1.540,326.610,0.069618
1.550,634.522,0.066167
1.560,580.011,0.103906
1.570,594.579,0.179341
1.580,596.762,0.180040
1.590,592.221,0.133998
1.600,587.842,0.148724
1.610,32.502,0.028380
1.620,587.919,0.034071
1.630,596.168,0.062535
1.640,242.569,0.046976
1.650,304.156,0.048562
1.660,327.412,0.060383
1.670,400.675,0.075571
1.680,327.199,0.082591
1.690,635.467,0.100293
1.700,538.300,0.087678
1.710,584.287,0.129912
1.720,592.768,0.098326
1.730,398.143,0.084561
1.740,396.974,0.149463
1.750,397.039,0.149841
1.760,593.503,0.102418
1.770,595.518,0.109972
1.780,597.762,0.074501
1.790,605.032,0.035375
1.800,327.861,0.035163
1.810,330.899,0.041410
1.820,429.216,0.055510
1.830,429.262,0.139815
1.840,432.038,0.117678
1.850,244.444,0.059204
1.860,603.468,0.041370
1.870,328.549,0.075680
1.880,327.392,0.112773
1.890,429.542,0.078123
1.900,658.752,0.038671
1.910,82.286,0.052188
1.920,308.413,0.037542
1.930,323.246,0.033045
1.940,324.649,0.034983
1.950,331.917,0.054007
1.960,417.112,0.096693
1.970,412.501,0.076861
1.980,1974.524,0.023674
1.990,1044.474,0.012713
2.000,706.371,0.012463
2.010,707.250,0.049132
2.020,571.677,0.100301
2.030,576.144,0.159171
2.040,588.766,0.124316
2.050,596.689,0.092849
2.060,603.432,0.039104
2.070,327.586,0.029013
2.080,324.072,0.040551
2.090,328.708,0.059217
2.100,412.304,0.074156
2.110,400.849,0.126405
2.120,401.915,0.102470
2.130,651.115,0.059825
2.140,648.180,0.150605
2.150,578.108,0.136634
2.160,582.686,0.209377
2.170,584.772,0.145358
2.180,595.658,0.117882
2.190,598.932,0.060672
2.200,605.883,0.042178
2.210,331.130,0.042693
2.220,331.124,0.066241
2.230,399.622,0.103121
2.240,1971.800,0.090750
2.250,1975.192,0.065334
2.260,658.041,0.064227
2.270,648.679,0.132395
2.280,582.423,0.147368
2.290,585.782,0.153485
2.300,596.425,0.106140
2.310,604.352,0.046685
2.320,327.315,0.030336
2.330,323.708,0.034063
2.340,328.421,0.061459
2.350,415.199,0.087187
2.360,645.129,0.107743
2.370,648.357,0.050825
2.380,700.719,0.050311
2.390,570.983,0.065238
2.400,578.886,0.110579
2.410,582.062,0.141380
2.420,584.499,0.133830
2.430,594.649,0.145060
2.440,597.412,0.109060
2.450,650.029,0.087868
2.460,651.417,0.080485
2.470,416.122,0.051893
2.480,1982.516,0.088164
2.490,1977.749,0.080677
2.500,1974.744,0.064747
2.510,1975.350,0.059247
2.520,1975.812,0.037217
2.530,327.277,0.047902
2.540,327.545,0.055255
2.550,645.683,0.081620
2.560,584.225,0.147814
2.570,586.511,0.155465
2.580,596.229,0.098210
2.590,604.980,0.044750
2.600,328.037,0.033771
2.610,331.105,0.042506
2.620,329.068,0.053515
2.630,429.067,0.131962
2.640,649.730,0.107516
2.650,306.087,0.054492
2.660,399.215,0.049722
2.670,401.053,0.093023
2.680,657.021,0.061615
2.690,642.157,0.202746
2.700,632.680,0.115873
2.710,579.723,0.105505
2.720,594.706,0.082792
2.730,594.871,0.068739
2.740,394.745,0.245799
2.750,394.705,0.272547
2.760,584.901,0.126548
2.770,583.346,0.119329
2.780,593.521,0.106407
2.790,597.961,0.029921
2.800,323.786,0.029930
2.810,324.057,0.046209
2.820,325.054,0.038692
2.830,340.143,0.032720
2.840,429.082,0.032842
2.850,428.730,0.059971
2.860,428.155,0.091287
2.870,400.734,0.111038
2.880,430.224,0.104372
2.890,398.621,0.066409
2.900,305.157,0.070526
2.910,305.213,0.053228
2.920,304.786,0.044160
2.930,333.662,0.049746
2.940,330.632,0.063963
2.950,412.584,0.102362
2.960,411.930,0.107076
2.970,647.853,0.108426
2.980,642.186,0.171495
2.990,632.554,0.110121
3.000,537.726,0.135976
3.010,536.889,0.086958
3.020,593.302,0.053447
3.030,396.987,0.111705
3.040,395.415,0.269331
3.050,395.335,0.221400
3.060,395.051,0.108108
3.070,593.287,0.115484
3.080,595.768,0.126472
3.090,649.568,0.087759
3.100,599.680,0.072469
3.110,598.293,0.071545
3.120,430.710,0.054959
3.130,431.851,0.060132
3.140,650.758,0.077499
3.150,305.266,0.054877
3.160,304.937,0.035197
3.170,324.161,0.043139
3.180,331.783,0.050614
3.190,331.549,0.066609
3.200,330.911,0.090246
3.210,330.042,0.105313
3.220,324.388,0.077759
3.230,324.790,0.043145
3.240,579.524,0.073646
3.250,584.515,0.132089
3.260,592.376,0.108704
3.270,586.026,0.115977
3.280,397.679,0.190895
3.290,397.055,0.159611
3.300,394.228,0.132137
3.310,590.471,0.066602
3.320,55.495,0.122018
3.330,61.533,0.095216
3.340,1178.611,0.037591
3.350,1964.892,0.029791
3.360,183.159,0.023269
3.370,633.223,0.171218
3.380,632.741,0.219605
3.390,621.839,0.066516
3.400,596.054,0.112629
3.410,595.339,0.123157
3.420,393.577,0.187724
3.430,392.927,0.227038
3.440,584.551,0.130238
3.450,594.271,0.126215
3.460,597.339,0.079783
3.470,604.221,0.036114
3.480,323.611,0.028617
3.490,322.897,0.041721
3.500,328.286,0.060755
3.510,330.520,0.088420
3.520,330.549,0.080733
3.530,418.239,0.087112
3.540,429.585,0.106764
3.550,1951.540,0.018169
3.560,57.876,0.023606
3.570,243.109,0.054141
3.580,305.037,0.054023
3.590,326.859,0.044674
3.600,328.497,0.077130
3.610,399.399,0.089558
3.620,329.548,0.055729
3.630,326.800,0.057094
3.640,327.722,0.053959
3.650,533.530,0.052209
3.660,644.918,0.122582
3.670,651.927,0.132842
3.680,657.270,0.133977
3.690,660.944,0.092542
3.700,108.929,0.020931
3.710,1977.923,0.095742
3.720,660.787,0.048568
3.730,657.330,0.094188
3.740,633.587,0.112241
3.750,585.124,0.167383
3.760,595.742,0.177145
3.770,597.443,0.162290
3.780,653.240,0.135546
3.790,661.905,0.118200
3.800,581.442,0.144729
3.810,582.350,0.204168
3.820,583.764,0.156179
3.830,584.810,0.129933
3.840,594.714,0.155868
3.850,591.852,0.149506
3.860,590.228,0.155518
3.870,583.598,0.100211
3.880,582.597,0.137186
3.890,595.907,0.106616
3.900,598.224,0.056953
3.910,602.799,0.021989
3.920,322.728,0.026732
3.930,327.903,0.035575
3.940,428.132,0.043638
3.950,430.490,0.136692
3.960,430.042,0.101138
3.970,305.978,0.080132
3.980,305.711,0.041793
3.990,328.167,0.044837
4.000,329.538,0.065145
4.010,399.743,0.097697
4.020,400.592,0.121038
4.030,327.567,0.075867
4.040,651.126,0.106421
4.050,641.279,0.109784
4.060,579.227,0.173458
4.070,583.628,0.175752
4.080,583.554,0.120723
4.090,535.490,0.108689
4.100,592.944,0.116848
4.110,595.439,0.137264
4.120,649.817,0.110953
4.130,652.212,0.119238
4.140,657.082,0.063314
4.150,662.077,0.035422
4.160,661.516,0.046460
4.170,658.306,0.112531
4.180,647.018,0.109133
4.190,582.553,0.174308
4.200,584.095,0.164435
4.210,585.011,0.135345
