time,frequency,confidence
0.000,598.296,0.061623
0.010,602.467,0.047230
0.020,578.822,0.028320
0.030,327.442,0.053034
0.040,328.088,0.072839
0.050,414.766,0.082114
0.060,648.378,0.116583
0.070,584.166,0.069930
0.080,580.632,0.191922
0.090,579.929,0.097162
0.100,325.796,0.043705
0.110,328.614,0.097043
0.120,329.762,0.056095
0.130,330.316,0.073596
0.140,330.228,0.192436
0.150,328.198,0.155273
0.160,326.792,0.152769
0.170,646.514,0.089358
0.180,583.497,0.098420
0.190,584.662,0.134299
0.200,535.168,0.085657
0.210,595.508,0.034441
0.220,329.584,0.152225
0.230,328.871,0.275635
0.240,328.564,0.380508
0.250,327.111,0.535734
0.260,325.306,0.304668
0.270,326.716,0.127332
0.280,324.352,0.076271
0.290,536.169,0.079525
0.300,327.044,0.051479
0.310,327.536,0.121692
0.320,325.467,0.137852
0.330,330.204,0.173558
0.340,328.370,0.267652
0.350,328.225,0.179890
0.360,325.753,0.039533
0.370,326.397,0.134509
0.380,645.740,0.069516
0.390,578.165,0.111972
0.400,583.592,0.130860
0.410,584.221,0.107036
0.420,534.996,0.089172
0.430,594.749,0.041206
0.440,329.538,0.120537
0.450,328.653,0.249609
0.460,325.480,0.272098
0.470,325.430,0.437267
0.480,326.169,0.390537
0.490,324.989,0.439885
0.500,324.417,0.260755
0.510,325.881,0.227973
0.520,108.499,0.063454
0.530,321.653,0.156057
0.540,311.966,0.096530
0.550,323.442,0.081587
0.560,325.150,0.058584
0.570,338.890,0.054307
0.580,331.911,0.065412
0.590,331.427,0.087159
0.600,330.008,0.108556
0.610,329.756,0.190766
0.620,327.478,0.207901
0.630,326.326,0.256036
0.640,323.374,0.436698
0.650,323.555,0.415266
0.660,323.695,0.137400
0.670,578.372,0.058529
0.680,323.957,0.067991
0.690,326.587,0.075589
0.700,324.586,0.088933
0.710,329.986,0.134228
0.720,328.162,0.237998
0.730,326.865,0.108095
0.740,652.714,0.086572
0.750,708.247,0.108586
0.760,581.708,0.131228
0.770,583.707,0.135132
0.780,583.623,0.140271
0.790,594.976,0.115395
0.800,598.190,0.066517
0.810,647.659,0.053875
0.820,330.067,0.070307
0.830,324.569,0.116438
0.840,326.532,0.112228
0.850,652.384,0.099460
0.860,584.919,0.112762
0.870,596.194,0.073303
0.880,597.917,0.051035
0.890,597.546,0.045542
0.900,327.572,0.057690
0.910,327.897,0.103572
0.920,327.010,0.076080
0.930,645.835,0.084459
0.940,583.287,0.152572
0.950,584.651,0.123423
0.960,582.556,0.100738
0.970,595.228,0.079428
